,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
325,66.49,14.809,21.1,1090,1146,1188,0.058,2,180,136.29861,79.79761
326,61.631,7.888,16.1,1462,1605,1783,1.089,27,1551,122.10969,46.251377
327,61.89,7.158,33.0,1319,1412,1561,0.123,19,391,127.78059,63.946712
328,61.781,7.272,14.5,1440,1672,1897,1.53,210,1899,63.232006,25.539906
329,61.884,7.177,30.7,1266,1425,1561,0.212,10,544,134.49287,62.67511
330,61.862,7.465,14.0,1374,1576,1786,3.571,41,2702,121.97835,30.930504
331,61.867,7.4,8.3,1202,1606,1739,8.53,354,3016,55.10396,13.01239
332,69.785,20.189,17.2,549,811,1109,2.632,34,3014,128.28302,34.460106
333,62.209,7.198,22.7,1381,1442,1522,0.124,37,358,117.561424,64.46486
334,69.491,19.954,17.1,532,919,1694,5.108,120,3998,107.21488,20.81637
335,61.753,5.705,13.3,1025,1080,1155,0.084,6,585,138.51546,82.75767
336,61.612,6.324,31.2,1181,1254,1351,0.042,72,293,105.82931,63.85261
337,61.51,7.94,9.7,1576,1601,1664,0.125,120,540,78.43123,45.741478
338,62.198,7.694,30.4,1581,1728,1874,0.112,49,493,111.61275,48.804173
339,66.441,13.704,15.5,913,1128,1242,1.253,13,1050,131.86786,57.855274
340,65.545,13.034,15.5,1009,1076,1120,0.071,202,467,71.16229,41.91757
341,61.609,8.749,16.0,1753,1860,2030,0.59,11,1264,126.75522,49.972374
342,62.112,8.011,25.0,1542,1636,1712,0.129,17,404,126.326195,61.862038
343,66.493,14.668,12.8,885,935,1062,0.197,158,788,76.43086,46.299755
344,60.629,7.488,17.4,1422,1472,1510,0.112,78,230,99.301765,60.971462
345,62.594,8.647,25.7,1421,1636,1768,0.34,55,782,111.51675,45.686005
346,61.466,8.327,28.8,1578,1738,1881,0.234,46,490,113.14246,48.78655
347,61.405,6.832,28.2,1288,1344,1408,0.102,17,304,130.08823,74.11016
348,59.773,6.637,18.4,1324,1424,1495,0.086,55,354,111.602264,63.64665
349,61.58,6.945,19.4,1112,1491,1664,1.497,90,1812,103.09127,32.791958
350,60.675,7.342,6.8,1467,1490,1525,0.143,94,528,90.39994,56.276337
351,61.523,8.703,15.5,1814,1944,2094,0.629,46,1056,110.48069,44.758606
352,68.523,15.442,22.3,735,816,1049,0.352,229,793,64.19477,31.367973
353,66.654,13.686,9.4,842,900,915,0.102,315,391,73.551,39.5566
354,66.408,13.636,9.8,957,1002,1047,0.315,140,614,82.368935,52.47564
355,66.542,14.55,17.6,1011,1103,1201,0.332,67,584,106.46944,58.649803
356,59.841,7.089,16.6,1372,1420,1456,0.059,66,305,106.13218,66.1637
357,61.608,8.469,26.5,1674,1792,1946,0.229,67,551,101.49663,44.86232
358,62.522,8.249,9.2,1425,1432,1509,0.154,274,452,53.118073,29.123268
359,59.765,7.137,23.0,1367,1495,1573,0.192,75,475,102.374664,54.901695
360,67.299,16.12,23.7,1108,1185,1247,0.092,64,350,108.14227,60.471794
361,60.632,7.609,8.8,1592,1648,1675,0.134,10,508,128.1956,67.61884
362,69.677,19.5,27.3,650,743,847,0.111,76,431,110.56218,65.05603
363,69.536,19.383,27.6,748,957,1096,0.347,42,723,122.32111,57.47695
364,66.891,14.496,22.7,917,1166,1353,0.686,34,1067,123.426315,49.895134
365,61.41,8.721,17.4,1678,1784,1874,0.18,35,705,116.361725,53.35444
366,62.714,8.241,13.9,1221,1251,1276,0.055,69,224,105.633766,69.80567
367,61.601,7.498,5.4,1466,1549,1601,1.764,116,1611,76.75489,34.596893
368,59.804,6.568,19.9,1340,1401,1460,0.051,348,316,60.18349,31.578176
369,62.552,8.652,20.1,1500,1520,1547,0.012,111,103,84.329796,52.894703
370,66.737,14.404,13.0,944,987,1021,0.042,300,326,69.30149,36.24644
371,68.137,16.928,15.1,912,1163,1416,0.637,56,1848,115.63421,40.303787
372,69.111,19.951,32.6,1165,1250,1313,0.066,48,250,114.79594,59.482124
373,61.425,7.908,15.4,1457,1550,1694,0.279,94,868,89.96136,44.175495
374,61.503,6.48,19.2,1179,1238,1502,0.354,321,922,48.797264,24.31742
375,60.547,7.511,16.3,1566,1642,1680,0.126,90,380,92.0954,51.868546
376,65.263,13.58,10.6,1218,1256,1291,0.071,39,407,117.04483,69.67644
377,62.248,7.707,16.3,1535,1578,1632,0.07,10,404,128.06467,67.99138
378,61.304,6.86,14.4,1428,1482,1524,0.059,7,347,131.79922,73.034065
379,67.364,15.889,12.8,869,1001,1065,0.199,49,1008,118.03146,63.092766
380,61.613,8.107,33.8,1767,1894,2039,0.107,355,471,49.583496,24.23021
381,61.755,7.846,26.7,1730,1826,1927,0.135,312,428,48.05125,25.68936
382,61.614,6.309,26.8,1284,1331,1403,0.083,344,309,59.520157,30.958397
383,69.383,19.883,33.9,905,1005,1084,0.072,43,316,120.747635,66.14737
384,68.271,17.486,21.6,1018,1098,1262,0.2,347,672,59.31172,24.38061
385,62.098,8.075,7.1,1542,1837,1880,3.029,102,1763,88.33307,27.156488
386,69.623,19.981,32.9,689,762,939,0.149,119,283,93.49676,54.155018
387,69.53,19.937,39.9,1114,1221,1357,0.025,43,285,117.41825,56.125916
388,66.734,14.647,4.8,1137,1140,1164,0.069,242,293,65.36615,37.52634
389,66.854,15.564,13.8,1178,1194,1225,0.035,12,195,129.16104,78.12573
390,60.569,7.986,5.4,1752,1819,1835,0.502,38,1039,113.113205,54.78801
391,61.764,7.508,19.0,1494,1555,1639,0.189,341,437,51.74569,25.46102
392,67.631,16.212,23.6,1082,1192,1234,0.112,59,180,111.06748,62.228638
393,69.72,18.447,28.1,772,819,908,0.078,213,230,76.487434,43.191647
394,61.388,6.648,12.2,1212,1223,1302,0.148,297,403,59.92067,32.51145
