,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,59-28,2318.0,2299.0,2304.0,df3,0,0.1,0.2,100,11.612535781860352,11.42521942138672,1.3538938141469103,1.202728523438187,4.090386390686035,3.7005889415740967
1,59-28,2318.0,2299.0,2304.0,df3,0,0.01,0.2,100,11.612423210144042,12.055673522949219,1.548751752781976,0.49438871635598913,2.90299916267395,1.6611943244934082
2,59-28,2318.0,2299.0,2304.0,df3,0,0.001,0.2,100,12.784166755676269,13.264525871276856,1.4262417193643537,0.415542837454278,2.4091928005218506,0.7387122511863708
3,37-20,1170.0,1151.0,2304.0,df3,0,0.1,0.2,100,11.375669136047364,11.46146743774414,1.3052955152287609,1.0212067397846698,2.967425584793091,3.297217607498169
4,37-20,1170.0,1151.0,2304.0,df3,0,0.01,0.2,100,11.69161563873291,12.063766555786133,1.4398042399701099,0.4908951897948136,1.9636772871017456,1.5057793855667114
5,37-20,1170.0,1151.0,2304.0,df3,0,0.001,0.2,100,13.005632514953612,13.644275436401367,1.4801502106679885,0.427590790031137,2.5095627307891846,0.831941545009613
6,10-5,180.0,161.0,2304.0,df3,0,0.1,0.2,100,11.593284378051758,11.963056373596192,1.2989919223680468,0.8400349677917595,2.9087448120117188,2.305083990097046
7,10-5,180.0,161.0,2304.0,df3,0,0.01,0.2,100,13.667385444641113,14.448835563659667,5.992889562975069,7.416968811441004,10.359984397888184,10.340641021728516
8,10-5,180.0,161.0,2304.0,df3,0,0.001,0.2,100,21.244392700195313,22.15418960571289,6.267663366340925,5.98452970944292,9.50638198852539,9.194076538085938
9,59-28,2318.0,2299.0,2304.0,df3,0,0.001,0.2,50,14.146043739318849,14.692917098999024,1.9133930201854197,0.4935699662744188,2.6214046478271484,1.211916446685791
10,37-20,1170.0,1151.0,2304.0,df3,0,0.001,0.2,60,14.431886901855469,15.02302719116211,1.8167918785912154,0.7179120670492152,2.415269374847412,0.9819004535675049
11,10-5,180.0,161.0,2304.0,df3,0,0.01,0.2,20,14.865162239074706,15.389076881408691,2.7364005573943344,1.439903871455435,3.5028269290924072,2.69108247756958
12,10-5,180.0,161.0,2304.0,df3,0,0.01,0.2,25,13.556650466918946,14.035591583251954,1.7357001575167101,0.6466676321866662,2.3849802017211914,1.418130874633789
