,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,180.0,161.0,3834.0,df7,1,0.01,0.2,100,23.85012031555176,22.291564712524416,3.4973457467721394,0.8065175330788161,4.2943501472473145,1.137610912322998
1,10-5,180.0,161.0,3834.0,df7,1,0.1,0.2,100,23.236795120239258,21.930664520263672,3.544363957006353,1.420382301935509,6.380354404449463,5.019096374511719
2,10-5,180.0,161.0,3834.0,df7,1,0.001,0.2,100,29.647512969970702,28.616720809936524,5.724535250029645,2.069664641445914,4.931936740875244,4.138678073883057
3,50-28,1976.0,1957.0,3834.0,df7,1,0.1,0.2,100,20.028465347290037,19.527147903442383,3.3388843740339738,1.291158627185688,7.2293806076049805,5.083309173583984
4,50-28,1976.0,1957.0,3834.0,df7,1,0.01,0.2,100,22.561177825927736,21.07163246154785,3.3314356093018804,0.9224401009402887,4.072864055633545,2.156376600265503
5,50-28,1976.0,1957.0,3834.0,df7,1,0.001,0.2,100,25.135845947265626,23.584325942993164,3.4951638298734635,0.8935501271736204,3.440217971801758,1.0717015266418457
6,64-48,3828.0,3809.0,3834.0,df7,1,0.1,0.2,100,19.618950958251954,18.981481552124023,3.454821931989908,1.3959478531028828,6.8491411209106445,4.450140953063965
7,64-48,3828.0,3809.0,3834.0,df7,1,0.01,0.2,100,22.64874897003174,20.791936416625976,3.469679177018441,0.9081616322715033,4.3941497802734375,2.1980929374694824
8,64-48,3828.0,3809.0,3834.0,df7,1,0.001,0.2,100,24.876548995971678,23.097362365722656,3.406595692090915,0.8861862776505992,3.4612200260162354,1.0081682205200195
9,50-28,1976.0,1957.0,3834.0,df7,1,0.1,0.2,50,23.56386558532715,22.28911003112793,3.1020335189723305,1.3764292133907294,6.120009899139404,6.682119846343994
10,50-28,1976.0,1957.0,3834.0,df7,1,0.01,0.2,50,24.068328857421875,22.18808036804199,3.448561575759483,0.8330404614062235,3.8123457431793213,1.9395473003387451
11,64-48,3828.0,3809.0,3834.0,df7,1,0.01,0.2,50,23.815811729431154,22.100874252319336,3.604020326600105,0.9088718397849258,4.230496406555176,2.596175193786621
