,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,50-28,1976.0,1957.0,3834.0,df2,1,0.1,0.2,100,20.181267280578613,19.556951217651367,2.629075228522897,1.6431849402710168,7.771707057952881,5.021609306335449
1,50-28,1976.0,1957.0,3834.0,df2,1,0.01,0.2,100,22.691316986083983,21.13469612121582,3.3812731842092574,0.8406953046432355,4.295443534851074,2.320905923843384
2,50-28,1976.0,1957.0,3834.0,df2,1,0.001,0.2,100,25.08419853210449,23.562476882934572,3.549717892475889,0.9386565231142631,3.8095738887786865,0.8265491724014282
3,10-5,180.0,161.0,3834.0,df2,1,0.1,0.2,100,23.147187576293945,22.304445571899414,3.7982273524864354,3.0114098169740453,7.303823947906494,4.823187351226807
4,10-5,180.0,161.0,3834.0,df2,1,0.01,0.2,100,25.735240936279297,23.52655532836914,8.812403754409456,6.5351387321121885,10.130850791931152,9.744633674621582
5,10-5,180.0,161.0,3834.0,df2,1,0.001,0.2,100,30.43616439819336,29.7623974609375,6.1282003198881565,7.87316495566617,10.927141189575195,10.642333030700684
6,64-48,3828.0,3809.0,3834.0,df2,1,0.1,0.2,100,19.915980949401856,19.14494934082031,3.043196895553181,1.1664950424498928,5.787774562835693,5.178886890411377
7,64-48,3828.0,3809.0,3834.0,df2,1,0.01,0.2,100,22.33219856262207,20.895848388671876,2.9263947356918663,1.0221414239581186,4.477042198181152,2.612313985824585
8,64-48,3828.0,3809.0,3834.0,df2,1,0.001,0.2,100,24.838815002441407,23.129306869506834,3.5343007144894107,0.9142448114957761,3.6964519023895264,1.0339343547821045
9,50-28,1976.0,1957.0,3834.0,df2,1,0.1,0.2,40,24.999859161376953,23.468241729736327,3.532553709598571,1.8396513935555512,8.651466369628906,5.877144813537598
10,10-5,180.0,161.0,3834.0,df2,1,0.1,0.2,40,25.26382110595703,23.711115188598633,4.539865433377009,3.5716388514056674,8.0794677734375,5.934418201446533
11,64-48,3828.0,3809.0,3834.0,df2,1,0.01,0.2,40,23.886249313354494,22.319768295288085,3.4538942979216642,0.9466129065404325,4.612525939941406,1.6237796545028687
