,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
0,34.4713,79.4939,0.432,22.0,37.16091,5.936735
1,35.5452,77.9513,0.367,25.4,36.67884,6.0650816
2,35.5188,77.9295,0.07,27.3,35.39546,6.495717
3,35.5252,77.9237,0.255,16.9,35.022335,6.046125
4,35.5309,77.9141,0.261,19.0,35.749115,5.7640843
5,35.5399,77.9144,0.061,20.3,35.69426,5.6093426
6,35.5535,77.9115,0.048,16.5,34.530285,6.03242
7,35.5577,77.9099,0.053,9.1,32.610043,7.50279
8,35.5594,77.9048,0.21,26.8,35.91594,6.331387
9,35.569,77.9242,0.026,21.6,35.924442,5.6820097
10,35.5658,77.931,0.102,11.7,33.156967,7.0431156
11,35.5463,78.4649,0.219,34.2,33.586178,9.417076
12,35.5637,78.4519,0.268,35.1,33.33938,9.803316
13,35.5749,78.0681,0.649,30.2,36.09687,7.166376
14,35.5637,78.4388,0.934,26.5,38.074516,6.0028586
15,35.5631,78.448,0.023,40.2,30.260723,10.607205
16,35.5606,78.3496,1.319,25.5,39.11584,6.0347376
17,35.5606,78.4502,0.076,39.8,30.552378,10.592678
18,35.557,78.4489,0.172,31.9,34.28021,8.259541
19,35.5632,78.1002,0.438,23.4,37.196144,5.9495497
20,35.5551,78.3392,0.809,31.6,36.17816,7.6758084
21,35.5473,78.3711,0.136,36.7,32.168667,10.178192
22,35.5599,78.1071,0.538,26.4,36.96147,6.1498404
23,35.555,78.1117,0.405,25.5,36.80573,6.0635943
24,35.5428,78.3702,0.21,28.6,35.497272,6.8064027
25,35.5501,78.3618,1.755,23.7,39.680843,6.2732763
26,35.553,78.3493,0.12,35.8,32.506397,10.0120945
27,35.5424,78.3561,0.125,29.7,34.870773,7.2768736
28,35.5387,78.3502,0.304,36.0,32.97533,10.014003
29,35.5404,78.3587,0.023,34.3,32.918667,9.585707
30,35.5349,78.3547,0.609,29.9,36.18885,7.066796
31,35.6178,78.0092,0.103,31.2,34.17186,7.988773
32,35.6171,78.0458,0.063,28.7,34.915226,6.92573
33,35.6655,78.2877,0.356,33.4,34.171776,8.894683
34,35.6721,78.3212,0.565,30.8,35.711605,7.471621
35,35.6704,78.2863,0.305,33.1,34.13416,8.778519
36,35.701,78.3024,0.407,33.3,34.34666,8.806115
37,35.6972,78.276,0.11,34.3,33.09225,9.568657
38,35.6905,78.305,0.215,34.5,33.34171,9.607772
39,35.6808,78.2133,0.582,28.4,36.533794,6.567946
40,35.684,78.256,0.497,31.4,35.288765,7.797295
41,35.6872,78.2957,0.322,30.3,35.172157,7.4126143
42,35.6761,78.2511,0.074,32.7,33.612453,8.76433
43,35.6754,78.2894,0.675,28.3,36.838566,6.4993815
44,35.6705,78.2958,0.079,33.9,33.188393,9.393351
45,35.6586,78.2748,1.305,21.3,38.284927,6.004924
46,35.6538,78.3766,0.187,32.4,34.089184,8.510048
47,35.6564,78.236,0.251,28.7,35.509434,6.818763
48,35.6489,78.076,0.911,23.6,38.216156,5.966727
49,35.6499,78.1016,0.11,29.1,34.92094,7.049828
50,35.6485,78.0826,0.044,33.4,33.219776,9.158716
51,35.6445,78.0923,1.437,28.4,38.80452,6.1543126
52,35.6437,78.135,0.106,29.3,34.853275,7.131598
53,35.6466,78.0617,0.429,30.2,35.44442,7.297574
54,35.6472,78.0695,0.851,26.1,37.821304,5.9640436
55,35.6388,78.1768,0.086,28.1,35.231213,6.7101455
56,35.6367,78.1813,0.096,33.1,33.517803,8.950715
57,35.6435,78.1595,0.254,31.2,34.63722,7.876509
58,35.6388,78.1603,0.067,32.8,33.536453,8.817741
59,35.6375,78.0864,0.11,21.6,36.15685,5.6501617
60,35.637,78.1414,0.626,30.5,35.9384,7.3036413
61,35.6407,78.1118,2.222,21.5,39.741894,6.483376
62,35.6286,78.0162,0.439,33.1,34.43277,8.669944
63,35.6386,78.1225,1.561,23.1,39.1663,6.152136
64,35.6324,78.1402,0.054,21.1,35.918377,5.604444
65,35.6277,78.197,1.831,24.9,39.993153,6.249378
66,35.6232,78.2049,0.215,29.7,35.05818,7.2232194
67,35.6315,78.1746,0.071,28.7,34.97849,6.921925
68,35.6314,78.1787,0.123,29.5,34.85229,7.2014422
69,35.6304,78.1447,0.072,24.9,36.05554,6.127404
70,35.6285,78.1505,0.085,29.2,34.836563,7.1041493
71,35.6249,78.1538,0.109,17.7,35.107384,5.835939
72,35.6342,78.1223,0.025,16.9,34.68977,5.937553
73,35.6323,78.1196,0.193,23.8,36.587837,6.05675
74,35.6271,78.127,0.193,17.0,35.004482,5.9658127
75,35.6381,78.0974,0.4,21.6,36.811775,5.6677394
76,35.6323,78.0943,0.073,16.7,34.693573,5.9795713
77,35.6276,78.1126,0.277,17.5,35.32117,5.926577
78,35.6231,78.1088,0.038,19.9,35.592648,5.5815854
79,35.6226,78.1672,1.37,25.7,39.146233,6.0125895
80,35.6197,78.1484,0.326,13.3,34.018723,6.7955813
81,35.6195,78.0962,0.025,34.6,32.658096,9.714991
82,35.6179,78.1007,0.149,21.7,36.271954,5.6608243
83,35.6174,78.0134,0.067,29.0,34.81042,7.036442
84,35.6137,78.1224,0.076,29.3,34.770267,7.1494927
85,35.6018,78.0232,0.652,32.6,35.23202,8.255041
86,35.5976,78.0239,0.041,23.0,36.21991,5.97112
87,35.5898,78.0201,0.626,33.3,34.903645,8.625964
88,35.5928,78.031,1.977,21.5,39.3517,6.3917027
89,35.602,78.0278,0.049,31.7,33.85097,8.270435
90,35.5698,78.4656,0.146,28.4,35.410538,6.7756896
91,35.5697,78.4505,0.329,37.3,32.436695,10.27942
92,35.5883,78.044,2.019,25.6,40.34337,6.2900066
93,35.6283,78.1046,0.893,16.7,36.074463,6.291765
94,35.6238,78.0934,0.54,24.3,37.37584,5.9858627
95,35.6265,78.1386,0.189,22.2,36.467182,5.73451
