,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,180.0,161.0,3834.0,df7,0,0.01,0.2,100,25.032290573120118,23.66272300720215,6.528711141123473,7.191763152149992,10.160368919372559,9.642500877380371
1,10-5,180.0,161.0,3834.0,df7,0,0.1,0.2,100,23.347840423583985,21.566725311279296,3.2220715708438825,1.1730261990112199,5.091355323791504,4.755341529846191
2,10-5,180.0,161.0,3834.0,df7,0,0.001,0.2,100,30.719779586791994,29.889715728759764,6.529497801373629,7.9421359824507585,11.394196510314941,10.913125038146973
3,50-28,1976.0,1957.0,3834.0,df7,0,0.1,0.2,100,20.696209373474122,20.21497016906738,2.6946410923930966,1.6777558606006393,8.642094612121582,5.592712879180908
4,50-28,1976.0,1957.0,3834.0,df7,0,0.01,0.2,100,22.925220642089844,21.113651275634766,3.606206062224334,1.02482499267044,3.9378345012664795,2.152601718902588
5,50-28,1976.0,1957.0,3834.0,df7,0,0.001,0.2,100,25.110423278808593,23.56619873046875,3.5021840357207306,0.9329489131658568,3.4010872840881348,1.0871247053146362
6,64-48,3828.0,3809.0,3834.0,df7,0,0.1,0.2,100,20.059460830688476,19.628290634155274,2.549976574379964,1.2513910273635085,8.163459777832031,5.486978530883789
7,64-48,3828.0,3809.0,3834.0,df7,0,0.01,0.2,100,22.61115825653076,20.97464660644531,3.2355439857929293,0.937582604332336,4.880826950073242,2.390968084335327
8,64-48,3828.0,3809.0,3834.0,df7,0,0.001,0.2,100,24.88582092285156,23.13781623840332,3.41133248645049,0.8710444124016522,3.5572144985198975,1.0550479888916016
9,50-28,1976.0,1957.0,3834.0,df7,0,0.1,0.2,50,23.1325626373291,22.146908950805663,3.610949664212721,1.574108935263779,7.13761043548584,5.599341869354248
10,50-28,1976.0,1957.0,3834.0,df7,0,0.01,0.2,50,24.024015426635742,22.35684684753418,3.268710875067293,1.0131937933967294,4.057676792144775,1.7156720161437988
11,64-48,3828.0,3809.0,3834.0,df7,0,0.01,0.2,50,23.724024963378906,22.074015426635743,3.185868451604157,0.9007570660692351,3.557835340499878,2.3577170372009277
