,layer architecture,model parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,40-30,1554.0,1704.0,df031,1,0.01,0.2,100,13.767577934265137,11.079130668640136,0.40386034385143244,0.29105347587163205,1.0071773529052734,0.8437150120735168
1,32-16,782.0,1704.0,df031,1,0.01,0.2,100,13.979911193847656,11.310970306396484,0.44906939942771473,0.34276100920179825,0.9481150507926941,0.7665264010429382
2,40-30,1554.0,1704.0,df031,1,0.01,0.2,25,14.262075004577637,12.180654525756836,0.360412934176153,0.11524988666652138,1.2677397727966309,1.2466574907302856
