,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,192.0,171.0,2860.0,df9,0,0.1,0.2,100,13.738669662475585,14.5559130859375,2.902047377258114,1.9621805550552338,5.444048881530762,3.733717918395996
1,10-5,192.0,171.0,2860.0,df9,0,0.01,0.2,100,14.6724458694458,15.686174049377442,7.126717952126151,6.545653158309721,10.277256965637207,9.529528617858887
2,10-5,192.0,171.0,2860.0,df9,0,0.001,0.2,100,20.35213836669922,20.68073387145996,4.716175870548141,2.6810115810756106,5.593575954437256,5.284912109375
3,45-24,1645.0,1624.0,2860.0,df9,0,0.1,0.2,100,12.70431137084961,13.503237190246582,2.020526328699175,0.8650884262050529,5.120591640472412,3.4371747970581055
4,45-24,1645.0,1624.0,2860.0,df9,0,0.01,0.2,100,12.786162872314453,13.806170692443848,2.1793705920293016,0.7031757727347261,3.803957223892212,2.234395742416382
5,45-24,1645.0,1624.0,2860.0,df9,0,0.001,0.2,100,14.403546218872071,15.562522315979004,2.3185227158684785,0.6130219365781571,3.9516384601593018,1.189058542251587
6,64-40,3366.0,3345.0,2860.0,df9,0,0.1,0.2,100,12.388721313476562,13.443044319152833,2.098578317035911,1.0100091350882683,4.851664066314697,2.125093936920166
7,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,100,12.66723768234253,13.641448440551757,2.198080060434215,0.7315421673902895,4.725890636444092,1.6361640691757202
8,64-40,3366.0,3345.0,2860.0,df9,0,0.001,0.2,100,13.948028030395507,15.123622436523437,2.3790036710526454,0.6228648717338243,4.239545822143555,0.9398986101150513
9,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,25,13.503381576538086,14.71217514038086,2.4054623574184393,0.6480312944402733,4.308081150054932,1.1807304620742798
10,64-40,3366.0,3345.0,2860.0,df9,0,0.1,0.2,25,15.10557544708252,15.450192375183105,2.5511283859761793,1.3499509515315573,4.825977325439453,3.2888271808624268
11,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,10,14.556425301924996,15.847715129023014,2.1056962944370827,0.5366880182807445,4.177052974700928,1.2802940607070923
12,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,15,13.84370964050293,15.144281272888184,2.249002652867075,0.5690388991011861,3.9570798873901367,1.2905595302581787
13,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,20,17.652737617492676,14.533783435821533,0.25173091888427734,0.35818910598754883,0.3934803009033203,0.3097877502441406
14,64-40,3366.0,3345.0,2860.0,df9,0,0.01,0.2,999,16.417992401123048,17.357941780090332,2.839658787234538,1.6177514990895083,5.221886157989502,3.375941276550293
15,64-40,3366.0,3345.0,2860.0,df9,0,0.001,0.2,999,17.45967803955078,18.35654487609863,3.266165117318958,1.1062368245237022,3.8423805236816406,2.8795385360717773
16,64-40,3366.0,3345.0,2860.0,df9,0,0.1,0.2,999,15.591469802856444,16.592741317749024,2.796942257694401,2.109077308122094,5.322643756866455,5.369258880615234
