,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,16-8,234.0,225.0,440.0,df1,1,0.1,0.2,100,28.819094085693358,20.531304550170898,26.996813349464876,7.52148398636351,30.313886642456055,8.598150253295898
1,16-8,234.0,225.0,440.0,df1,1,0.01,0.2,100,35.47302261352539,25.631826515197755,33.26461429785877,8.643634898997814,36.49553298950195,9.020482063293457
2,16-8,234.0,225.0,440.0,df1,1,0.001,0.2,100,44.29414672851563,37.73288604736328,16.55657175008335,4.862152805071524,21.670259475708008,6.219898700714111
3,24-12,442.0,433.0,440.0,df1,1,0.1,0.2,100,19.525705490112305,17.964665565490723,13.938760650569384,6.328217548327495,16.866167068481445,9.132370948791504
4,24-12,442.0,433.0,440.0,df1,1,0.01,0.2,100,35.40668565750122,24.686248054504393,33.316700069812555,8.001928995112722,36.83169174194336,8.261242866516113
5,24-12,442.0,433.0,440.0,df1,1,0.001,0.2,100,39.62590713500977,33.123097534179685,27.830959861020435,7.625892126890002,32.179046630859375,12.918469429016113
6,10-5,120.0,111.0,440.0,df1,1,0.1,0.2,100,29.990507259368897,21.701400680541994,31.681877705767526,10.107029403463727,33.92167282104492,11.030805587768555
7,10-5,120.0,111.0,440.0,df1,1,0.01,0.2,100,34.51279411315918,25.31985782623291,31.784833637922535,8.377192799977399,35.399436950683594,8.887408256530762
8,10-5,120.0,111.0,440.0,df1,1,0.001,0.2,100,43.9825415802002,43.192956085205076,8.324067004026341,3.2021142179665785,8.125886917114258,5.332925319671631
9,16-8,234.0,225.0,440.0,df1,1,0.1,0.2,20,36.63264358520508,24.779491577148438,33.456411718593294,8.016781007389193,36.40321731567383,9.955236434936523
10,24-12,442.0,433.0,440.0,df1,1,0.1,0.2,20,39.05052143096924,25.22376853942871,40.45362288111972,8.80789086212526,44.004638671875,9.828293800354004
11,10-5,120.0,111.0,440.0,df1,1,0.1,0.2,20,37.051388854980466,26.863250732421875,36.38354295503386,10.033726103650233,40.3261833190918,9.538351058959961
