,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,180.0,161.0,3015.0,df4,0,0.1,0.2,100,12.527822914123535,13.067502250671387,2.077362021258124,0.7241304078131942,3.0719399452209473,2.8406972885131836
1,10-5,180.0,161.0,3015.0,df4,0,0.01,0.2,100,12.628151454925536,12.996247940063476,2.402212233317112,0.6167926496824547,1.910315752029419,0.9992455244064331
2,10-5,180.0,161.0,3015.0,df4,0,0.001,0.2,100,18.514497375488283,18.66473705291748,6.67668942947945,6.128699860053973,8.835189819335938,8.7008638381958
3,47-21,1519.0,1500.0,3015.0,df4,0,0.1,0.2,100,11.229659080505371,11.776067733764648,1.5443643158128249,0.9276123041265936,3.9523932933807373,3.2471959590911865
4,47-21,1519.0,1500.0,3015.0,df4,0,0.01,0.2,100,12.12877872467041,12.639186706542969,2.3819552130453254,0.6390218378632944,2.183692455291748,1.2077369689941406
5,47-21,1519.0,1500.0,3015.0,df4,0,0.001,0.2,100,13.489209098815918,13.784435310363769,2.3841360653347192,0.5772698030288319,1.8641210794448853,0.5350735783576965
6,64-36,3036.0,3017.0,3015.0,df4,0,0.1,0.2,100,11.73708148956299,11.793007125854492,1.7336732935213803,0.8227178159334321,3.0751519203186035,3.799300193786621
7,64-36,3036.0,3017.0,3015.0,df4,0,0.01,0.2,100,12.038212165832519,12.492311325073242,2.193617626612662,0.6540921007418605,2.991896867752075,1.7676810026168823
8,64-36,3036.0,3017.0,3015.0,df4,0,0.001,0.2,100,13.271116218566895,13.580903358459473,2.3381734011559603,0.5855455036668912,1.8786559104919434,0.5287757515907288
9,10-5,180.0,161.0,3015.0,df4,0,0.01,0.2,20,14.736628532409668,14.916427268981934,2.483924539661148,0.8217587289990401,2.314411163330078,0.8198561072349548
10,47-21,1519.0,1500.0,3015.0,df4,0,0.01,0.2,20,15.126415252685547,13.273844718933105,0.0,0.0,0.0,0.0
11,47-21,1519.0,1500.0,3015.0,df4,0,0.01,0.2,15,13.437354842821756,13.84251324335734,2.379628993288758,0.5517162165670384,1.9338217973709106,0.831376314163208
12,64-36,3036.0,3017.0,3015.0,df4,0,0.001,0.2,30,16.277061805725097,16.423011436462403,2.459702701894468,0.6883274146365336,2.2675540447235107,0.7852294445037842
