,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,43.2003,42.0891,43.2,3054,3202,3391,0.078,163,424,75.96157,7.044525
1,43.1992,42.7121,21.5,3271,3340,3363,0.042,49,177,84.27452,7.369973
2,43.3543,41.8426,28.8,3387,3623,3717,0.13,79,388,83.68656,7.3687487
3,42.8031,43.8138,24.7,2368,3409,4130,4.187,353,5295,86.87369,6.904498
4,43.1191,42.6611,51.6,3751,3848,3961,0.033,145,158,73.72584,8.197785
5,43.1583,42.5158,31.9,3352,3508,3680,0.176,197,538,72.12509,7.560024
6,42.9523,43.52,34.4,3661,3846,3984,0.125,240,508,69.91023,7.772469
7,43.0973,43.2427,34.3,3365,3482,3606,0.101,333,428,65.58817,7.6914973
8,43.3002,41.4506,33.8,2558,2912,3331,0.39,217,1182,78.46663,6.5005264
9,42.7584,43.7575,27.6,3208,3617,3903,0.553,245,1630,76.13728,7.49213
10,42.6974,44.4001,23.1,3231,3844,4292,1.688,166,3290,88.65908,6.8822002
11,42.9564,43.5074,30.4,3629,3740,4051,0.357,237,863,70.47798,7.527158
12,43.0834,43.2422,42.0,3307,3506,3730,0.136,104,464,82.19514,7.1243167
13,43.3778,42.4276,22.6,3053,4098,5611,12.843,357,6902,76.11189,6.9179435
14,43.2768,41.5514,32.7,2871,3150,3321,0.221,93,641,85.56578,6.826429
15,43.2675,42.8305,36.0,3482,3693,4079,0.343,298,1466,71.757065,7.6318607
16,43.1282,42.3454,25.9,3109,3199,3489,0.21,74,723,85.47722,6.909321
17,43.2352,42.9086,35.6,3543,3674,3972,0.163,84,459,82.91257,7.3994837
18,43.261,42.877,19.5,3083,3212,3902,0.62,23,2034,97.740906,7.1750717
19,42.6964,44.5204,33.1,4722,4922,5007,0.134,105,391,77.9876,9.955875
20,42.713,44.1351,32.8,3424,3635,3741,0.2,124,540,78.99042,7.2721934
21,43.16,42.4675,17.4,3316,3334,3367,0.036,246,182,65.810974,7.435517
22,42.8614,43.5906,27.9,2471,2971,3501,1.424,9,1931,101.7968,7.0725355
23,42.988,43.5216,19.8,3510,3635,3716,0.176,103,704,80.08548,7.363372
24,42.859,43.587,28.2,2980,3047,3139,0.015,12,302,90.73842,7.5161896
25,42.8681,43.4682,39.8,3097,3276,3535,0.124,318,501,67.837494,7.6202273
26,43.2903,42.2136,27.2,3127,3294,3430,0.166,347,615,66.12024,7.8315983
27,42.9743,43.469,48.5,3624,3840,3950,0.051,8,285,90.905334,7.9650183
28,43.1319,42.1122,21.5,3131,3170,3211,0.031,178,224,71.15276,7.2736278
29,43.2019,41.8618,30.5,2599,2763,3024,0.233,61,605,88.763985,6.7839828
30,43.1413,42.6937,20.0,1865,3212,4138,8.396,134,6912,100.86414,5.9365387
31,43.3297,42.615,23.7,3158,3545,3902,1.834,20,1863,93.94753,6.814571
32,43.0261,43.0031,33.0,3766,4222,4471,0.423,127,1210,83.569626,8.358359
33,43.1728,42.5275,17.4,2687,3309,4413,6.711,126,5847,91.19766,5.4853096
34,43.2106,42.8294,47.1,3369,3485,3566,0.012,343,180,64.73536,7.907894
35,43.2101,41.6184,45.9,2659,2830,3115,0.102,117,440,82.84427,6.6480145
36,42.9634,43.4607,37.9,3645,3861,4013,0.241,230,682,71.03696,7.7743645
37,43.4299,41.594,24.1,3103,3210,3438,0.495,28,974,90.28244,7.0868673
38,43.2387,42.2211,25.4,3110,3285,3379,0.148,56,629,87.20378,7.1125484
39,43.252,41.639,37.2,2849,3010,3223,0.109,317,483,67.06724,7.641142
40,42.9169,43.4078,42.3,3170,3301,3476,0.068,285,320,67.30319,7.4198155
41,43.3375,42.3964,27.2,3932,4736,4937,0.757,205,911,79.97355,9.80202
42,43.1645,42.0314,31.5,2934,3080,3285,0.101,70,572,86.597244,6.9342566
43,43.1757,42.5393,28.2,3289,3447,3576,0.205,204,490,71.246574,7.499269
44,42.5439,43.9928,20.0,3139,3200,3252,0.052,56,266,84.47425,7.2122297
45,42.7372,44.1301,51.5,3727,3917,4137,0.126,355,276,67.17211,8.478751
46,43.3281,42.6497,33.7,3210,3539,3842,0.386,344,944,70.03844,7.9904447
47,43.189,42.6081,33.7,3156,3200,3256,0.023,332,180,63.589268,7.6976233
