,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,67.93,33.83,5.8,235,242,250,0.03,55,180,89.16762,2.960919
1,67.87,33.5,5.7,228,239,246,0.03,352,177,76.85034,3.7199826
2,67.82,33.75,18.8,701,726,749,0.02,341,135,72.69528,3.7896905
3,67.83,33.77,20.1,671,696,725,0.02,329,125,72.9912,3.695037
4,67.139,16.345,8.5,926,1268,1807,21.469,152,9308,57.270912,2.0273511
5,68.083,18.055,7.5,1160,1399,1468,4.886,96,1920,68.79577,2.0134509
6,68.104,18.153,10.2,1138,1171,1215,0.137,138,512,74.421074,3.0319395
7,68.145,18.166,17.0,1153,1261,1403,0.531,68,890,80.17956,3.176234
8,68.118,18.206,16.4,1219,1394,1480,0.734,123,879,74.67413,3.0885057
9,68.122,18.085,14.2,1254,1329,1423,0.303,13,814,84.81811,3.3310091
10,68.105,18.099,6.5,1434,1484,1532,0.374,193,832,69.00543,3.3300648
11,68.567,18.446,19.7,1018,1120,1179,0.135,121,423,76.72843,3.031882
12,68.545,18.332,11.3,1037,1117,1263,1.048,76,1095,79.35116,2.9298828
13,67.775,16.813,22.4,1162,1336,1452,0.563,35,662,82.36843,3.289558
14,67.135,16.471,7.7,1097,1352,1701,11.306,145,5416,60.133,1.1545298
15,67.154,16.444,26.2,1204,1436,1833,0.906,40,1399,83.35268,3.4922886
16,67.187,16.697,21.2,1279,1402,1644,0.808,122,1012,74.51208,3.2236583
17,67.227,16.893,31.1,1257,1376,1538,0.109,53,496,81.11311,3.4072254
18,67.365,17.317,13.3,1252,1433,1636,1.069,301,1893,67.51482,3.7321715
19,67.217,16.914,20.9,1329,1455,1487,0.133,41,337,80.78604,3.359019
20,67.41,17.443,11.3,1092,1371,1679,5.591,32,4196,79.76223,2.2557888
21,67.362,17.392,25.4,1155,1431,1655,0.44,27,1152,85.26187,3.4859574
22,67.262,17.353,24.4,1320,1497,1628,0.286,36,845,82.66093,3.421737
23,67.302,17.444,13.9,1191,1379,1744,2.547,152,2282,71.8669,2.8270571
24,67.369,17.33,23.6,1288,1533,1598,0.286,42,736,81.95567,3.416086
25,67.292,17.341,17.3,1312,1538,1719,0.88,75,1391,78.99896,3.283885
26,67.298,17.312,19.2,1285,1477,1642,0.684,57,1166,80.640945,3.3283126
27,67.352,16.999,13.3,1220,1316,1426,0.377,122,928,75.41938,3.1285365
28,67.357,17.458,21.0,1282,1511,1641,0.425,42,973,82.28998,3.4206955
29,67.508,17.315,24.6,1170,1419,1659,0.645,50,1309,82.881355,3.3805296
30,67.424,17.421,10.7,1226,1380,1524,1.617,353,1421,65.045105,3.915402
31,67.393,17.49,14.8,1162,1402,1655,1.811,132,2090,74.8214,2.9005632
32,67.313,17.413,15.9,1289,1454,1727,0.693,359,1504,67.31209,4.2620277
33,67.392,17.435,17.1,1132,1291,1458,0.742,140,1096,74.45973,3.0387259
34,67.297,17.275,15.6,1333,1460,1562,0.437,14,677,83.490326,3.361042
35,67.315,17.43,21.1,1511,1637,1697,0.288,359,615,64.8647,4.326868
36,67.25,17.421,12.9,1388,1567,1894,1.633,135,1672,72.51921,3.2018783
37,67.361,17.362,19.2,1277,1454,1729,0.822,162,1246,72.354836,3.2697687
38,67.21,17.382,25.2,1263,1363,1475,0.151,108,460,75.99005,3.2621331
39,67.241,17.379,12.0,1248,1483,1867,3.137,143,2678,71.69793,2.773116
40,67.217,17.346,18.7,1436,1566,1726,0.541,114,935,74.564415,3.3358595
41,67.258,17.393,12.4,1106,1514,1828,2.968,57,3589,82.726875,2.8815842
42,67.323,17.489,16.0,1379,1511,1696,0.564,329,1270,66.3266,4.0943265
43,67.228,17.34,22.5,1338,1452,1734,0.452,68,998,79.74476,3.4340858
44,67.351,17.415,13.8,1099,1353,1600,3.166,6,2341,83.29503,2.894759
45,67.158,17.218,22.8,1244,1375,1483,0.292,90,764,77.89954,3.2380307
46,67.187,17.322,20.3,1412,1495,1644,0.236,131,644,73.38885,3.3527226
47,66.991,17.069,24.2,1443,1538,1678,0.289,59,581,78.93466,3.4222126
48,67.779,17.922,13.2,1257,1317,1493,0.49,41,827,81.70412,3.304641
49,67.909,17.47,24.1,1127,1302,1464,0.827,78,778,78.60454,3.1527789
50,67.9,17.5,16.7,1340,1404,1503,0.246,92,576,76.64515,3.2791882
51,67.785,17.917,27.3,1262,1374,1545,0.289,99,679,77.253265,3.2877889
52,67.798,17.917,15.3,1148,1340,1495,1.788,55,1568,79.784164,2.9434836
53,67.719,17.833,24.1,1386,1504,1610,0.123,67,440,78.80731,3.4255238
54,67.577,17.405,25.0,1416,1668,1813,0.463,26,1242,83.92523,3.4866846
55,67.709,17.831,16.7,1235,1365,1599,1.024,86,1429,78.3221,3.138024
56,67.583,17.468,17.3,1394,1601,1954,1.189,14,2029,85.59574,3.5113661
57,67.573,17.486,25.4,1228,1477,1851,0.546,151,1542,75.493,3.448456
58,67.722,17.713,17.1,1372,1510,1576,0.319,53,727,80.095535,3.3574243
59,67.716,17.737,13.1,1291,1384,1462,0.359,42,654,81.131584,3.2976718
60,67.581,17.5,21.7,1317,1671,1972,0.765,105,1740,78.38668,3.5010102
61,67.703,17.84,23.5,1291,1442,1623,0.228,33,791,83.28686,3.4528582
62,67.569,17.399,26.3,1246,1482,1703,0.479,147,1053,74.22441,3.3413851
63,67.686,17.931,16.0,1390,1543,1626,0.283,75,832,78.462326,3.3756988
64,67.683,17.944,19.4,1359,1445,1550,0.131,37,506,81.66954,3.400345
65,67.686,17.875,20.9,1295,1379,1540,0.46,105,800,76.16454,3.2245162
66,67.686,17.875,17.1,1542,1690,1724,0.243,56,486,78.43064,3.4492755
67,67.576,17.386,25.3,1182,1571,1756,0.629,19,1555,86.60717,3.5280135
68,67.592,17.507,16.9,1571,1625,1698,0.136,1,438,83.690956,3.432362
69,67.572,17.47,26.7,1224,1507,1877,0.584,153,1407,74.98625,3.4891381
70,67.722,17.811,23.2,1348,1544,1678,0.312,54,758,80.66437,3.452885
71,67.577,17.431,14.6,1160,1457,1753,2.421,38,3143,84.24112,3.0076969
72,67.588,17.511,14.5,1579,1681,1774,0.271,90,728,75.704865,3.447186
73,67.695,17.858,22.4,1259,1403,1600,0.532,50,1040,81.719635,3.343099
74,67.715,17.791,14.3,1245,1557,1733,2.062,174,1971,70.38269,2.964745
75,67.301,17.846,21.6,1380,1478,1597,0.191,58,641,79.84065,3.3995605
76,67.327,17.494,24.7,1672,1811,1930,0.256,358,453,64.19586,4.3654437
77,67.4,17.714,18.3,1428,1520,1609,0.285,157,708,71.36721,3.3137062
78,67.285,17.48,20.4,1470,1635,1760,0.324,162,784,71.04707,3.4620306
79,67.35,17.575,22.7,1175,1405,1804,0.97,39,1781,84.54111,3.4405322
80,67.226,17.781,14.6,1205,1382,1627,1.069,357,1939,67.865204,4.0989265
81,67.209,17.831,27.1,1668,1762,1821,0.091,43,301,79.10119,3.4978168
82,67.295,17.885,18.1,1209,1403,1618,0.82,360,1509,67.539406,4.170568
83,67.429,17.647,22.3,1324,1450,1601,0.239,294,692,66.54068,3.9345093
84,67.402,17.809,12.5,1299,1626,1947,3.193,71,3725,80.10933,2.8070052
85,67.454,17.62,20.8,1212,1306,1376,0.228,40,516,81.9377,3.2818007
86,67.385,17.789,20.3,1138,1522,1878,1.659,90,2405,80.21469,3.1947627
87,67.277,17.902,28.8,1199,1406,1622,0.488,116,888,76.47707,3.2925408
88,67.445,17.615,22.2,1274,1394,1545,0.245,222,693,69.036964,3.477339
89,67.304,17.593,7.5,1122,1475,1797,9.389,61,4568,68.37178,1.3288879
90,67.299,17.908,22.4,1362,1530,1655,0.238,99,714,76.63811,3.3871934
91,67.321,17.607,16.3,1364,1448,1517,0.373,48,695,80.199486,3.2987177
