,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,16-8,234.0,225.0,440.0,df1,0,0.1,0.2,100,27.083550109863282,18.226164016723633,28.458785785768796,6.89851363644297,30.854833602905273,9.5663480758667
1,16-8,234.0,225.0,440.0,df1,0,0.01,0.2,100,36.22375621795654,24.994427108764647,35.28804509181118,7.885881652127788,37.87332534790039,8.676158905029297
2,16-8,234.0,225.0,440.0,df1,0,0.001,0.2,100,40.21256546020508,38.0822184753418,14.792535970806341,3.9126045960158233,16.72589111328125,11.207679748535156
3,24-12,442.0,433.0,440.0,df1,0,0.1,0.2,100,19.963201789855958,16.243484077453612,18.04131186301051,3.8327299560344374,22.187843322753906,6.3977789878845215
4,24-12,442.0,433.0,440.0,df1,0,0.01,0.2,100,36.289563159942624,25.19464084625244,35.346591188025386,8.16676564152965,37.21116638183594,9.602009773254395
5,24-12,442.0,433.0,440.0,df1,0,0.001,0.2,100,40.704802169799805,34.20723876953125,25.52510292514959,8.01147256706074,32.19186782836914,15.067041397094727
6,10-5,120.0,111.0,440.0,df1,0,0.1,0.2,100,25.014422817230226,22.38480842590332,21.109098601860506,9.479877042427232,25.138635635375977,10.347147941589355
7,10-5,120.0,111.0,440.0,df1,0,0.01,0.2,100,35.410193328857424,27.358539009094237,33.27930823632998,9.137654910586658,38.411075592041016,13.995779991149902
8,10-5,120.0,111.0,440.0,df1,0,0.001,0.2,100,43.8867748260498,42.29401138305664,6.702377607874525,3.66402581677362,11.432915687561035,4.635918617248535
9,16-8,234.0,225.0,440.0,df1,0,0.1,0.2,20,36.27904979705811,25.66258144378662,34.38133181597401,8.617289241142176,38.382144927978516,10.407370567321777
10,24-12,442.0,433.0,440.0,df1,0,0.1,0.2,20,37.90561000823975,24.60224452972412,36.9008263211509,7.278377431091467,39.901023864746094,9.61638355255127
11,10-5,120.0,111.0,440.0,df1,0,0.1,0.2,20,36.32593547821045,28.16848247528076,32.092202204710524,10.867086199523783,37.09128189086914,15.453239440917969
