,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,73.9686,56.8706,12.5,424,1019,3.818,117,4291,104.18924,18.356556
1,75.4779,58.3974,9.8,234,798,3.605,57,5579,119.4535,21.614681
2,75.487,58.3146,15.5,231,857,1.714,17,3679,141.38087,29.903053
3,73.1107,55.0259,12.9,756,933,0.581,168,1049,99.95261,28.926226
4,75.5001,58.2102,15.7,351,756,2.535,53,2476,115.09825,24.43436
5,75.5221,58.7392,10.5,365,698,1.841,309,3207,89.02459,28.420534
6,75.6629,58.5582,13.9,284,637,1.165,326,1731,98.83646,44.99095
7,75.6708,58.5799,10.9,243,625,2.032,270,3711,87.82683,22.409697
8,75.6894,58.6143,13.2,157,614,1.932,354,3563,93.296455,33.068207
9,75.7897,59.5643,10.5,322,459,0.434,94,1048,120.85359,32.60899
10,75.7858,59.5313,10.8,357,474,0.824,159,1522,107.73441,30.989157
11,75.9712,61.0686,20.9,304,802,1.133,356,1507,98.216385,43.23792
12,75.9619,61.0382,21.4,483,761,0.433,163,1274,104.34796,28.290497
13,73.9902,57.4136,9.8,165,469,2.687,45,3144,113.50418,24.809093
14,76.0139,61.171,18.2,519,709,0.376,340,844,108.973495,60.54547
15,76.219,66.3941,7.4,245,305,1.525,111,1310,116.685295,30.960958
16,76.2696,64.2964,13.3,376,628,1.431,241,1371,97.98183,36.17088
17,72.9675,54.2581,18.3,466,814,0.66,138,1499,105.58336,27.168377
18,73.0873,54.2435,19.8,544,892,0.661,34,1203,133.76387,36.55744
19,76.3203,64.3786,15.0,232,681,1.598,322,2346,95.52847,35.196754
20,76.3458,64.7045,16.4,463,732,0.313,349,1160,107.30993,56.104233
21,76.3428,64.6697,15.5,47,613,1.406,358,2959,99.55844,36.62288
22,76.3456,64.6204,16.9,95,806,1.581,5,3117,143.32426,30.042263
23,76.3921,64.8489,14.5,314,592,0.57,324,1249,108.40961,54.14647
24,73.9638,56.5161,17.2,342,874,1.994,37,2811,127.536835,27.811642
25,76.4123,65.0187,12.2,271,568,2.371,2,2454,129.5622,30.173555
26,76.5313,66.2337,11.6,117,651,9.504,276,5491,83.42736,13.698293
27,75.1067,59.4957,6.8,240,564,5.49,152,6833,85.830185,12.518615
28,74.4584,56.8355,15.8,262,1057,6.587,247,6949,92.414734,11.383418
29,75.9362,60.6878,21.6,141,620,6.364,36,2680,94.29132,18.586004
30,74.6193,56.2643,13.0,220,859,4.757,357,4446,84.13749,19.163618
31,76.6788,66.132,18.2,173,535,5.379,299,2551,87.081894,31.466606
32,75.4014,57.9265,6.7,160,358,4.296,266,4504,81.79396,25.186563
33,74.4386,56.8576,17.9,60,888,5.209,151,4580,95.89897,15.772793
34,74.5414,57.7073,10.1,408,673,4.371,41,3275,104.90247,21.461525
35,76.7157,66.4865,16.1,121,507,3.644,270,3820,87.57402,23.2276
36,76.4994,65.7944,15.4,324,690,2.662,14,2411,125.10704,26.878668
37,74.5172,56.5386,9.7,380,654,2.82,247,1972,85.9142,28.16198
38,76.3323,64.7329,14.3,66,658,2.364,20,3652,130.20316,26.838747
39,74.9525,56.9011,10.0,274,591,1.865,181,2321,92.6448,22.716688
40,76.2389,63.9717,11.5,223,656,3.617,341,4154,87.756485,25.915308
41,75.5742,58.5805,17.7,233,709,1.879,57,2362,118.53613,25.74555
42,75.5803,58.5568,16.8,303,699,1.368,19,1366,132.06616,33.261196
43,76.4981,65.8776,12.4,231,483,0.974,55,2023,123.04328,29.147066
44,74.5908,56.2078,8.7,303,573,2.118,349,2547,96.69054,45.771667
45,75.5703,58.4818,13.4,397,727,1.074,349,1906,97.78278,45.749615
46,75.2177,57.9952,9.1,351,598,0.921,35,2165,129.74182,34.433167
47,74.6847,57.2197,17.4,444,834,1.1,177,1822,97.50896,24.095356
48,75.433,57.9623,10.9,405,624,0.734,275,1550,100.371574,42.963997
49,76.3614,64.8941,13.2,404,721,0.565,262,1506,99.31125,37.042572
50,74.9907,57.3405,8.2,91,1029,437.891,330,46195,160.17447,405.65265
51,75.144,57.0945,11.7,530,642,0.322,301,927,109.65419,57.71874
52,74.7632,57.1551,7.9,7,1056,164.901,208,26056,86.199905,142.70273
53,76.329,64.4196,15.2,519,715,0.25,317,1108,106.89028,54.04792
54,76.0499,65.316,13.3,64,781,383.049,140,35714,140.36237,360.54016
55,74.4372,57.3147,10.2,128,1085,162.455,174,22706,80.14388,138.1935
56,75.5568,59.0772,9.8,54,998,396.401,291,41326,145.63599,365.31622
57,75.558,58.599,10.7,219,727,8.946,95,6129,84.92286,11.408925
58,75.9816,62.7231,7.0,159,872,373.218,21,34882,138.109,352.16812
59,75.6674,59.4073,10.7,45,949,367.35,330,36477,134.21927,334.80777
60,75.9973,61.6507,9.8,52,921,332.142,334,39753,130.80904,304.62766
61,76.6429,66.8801,14.8,101,813,231.108,307,26998,97.85348,206.26097
62,76.4071,65.3895,10.8,594,738,0.328,150,407,111.18881,33.994335
63,76.3362,65.5402,15.3,57,814,233.743,337,23993,94.72539,205.94415
64,75.7252,62.3796,8.3,63,922,957.197,144,57101,317.62558,915.29724
65,76.1697,64.3931,15.9,81,806,222.998,344,22918,91.48169,195.5199
66,75.5318,58.6057,9.0,335,492,1.743,155,2219,97.37544,24.128918
67,75.551,58.5181,10.7,275,727,4.936,152,4612,87.397285,15.373462
68,75.4599,58.9223,13.3,78,1145,249.782,313,35685,109.653046,220.9062
69,76.5794,66.4581,9.6,107,781,132.985,232,18882,74.606155,113.878105
70,74.7894,58.2277,8.6,39,988,223.167,121,27405,95.16524,200.79105
71,76.4637,66.5314,9.7,81,812,669.472,313,42120,221.98097,630.3382
72,75.8347,63.2603,8.0,79,783,237.934,139,25367,96.39728,217.82796
73,76.3979,66.8544,14.4,213,642,122.131,149,14335,64.75341,107.28951
74,76.5297,67.6479,12.2,238,581,178.459,137,13029,72.073364,161.2352
75,75.2299,58.2227,8.4,375,651,1.913,293,3133,88.748924,29.23706
76,75.2979,58.6413,14.4,87,1121,757.677,278,40813,245.73752,706.1313
77,74.902,57.1846,8.8,202,1059,80.007,319,21850,94.75674,57.5766
78,74.5137,56.896,12.7,133,1185,117.113,235,23348,81.41342,93.55227
79,76.2555,64.4109,11.4,116,870,85.768,304,19670,89.94961,65.62799
80,76.1119,62.6657,9.3,73,586,82.426,356,16779,84.086784,62.67015
81,74.8904,56.9508,12.0,351,707,1.6,258,2710,89.11832,25.49342
82,74.8544,56.8306,7.8,104,1020,71.86,308,19434,95.54091,50.362377
83,74.8908,57.0001,12.3,655,961,0.587,327,781,95.23141,46.754528
84,74.7449,56.8725,12.5,533,846,0.476,284,1554,95.01431,37.99875
85,74.7789,56.8184,8.0,125,867,71.183,233,16466,85.83545,48.97807
86,75.8842,63.9237,5.7,74,790,656.979,162,40841,219.83957,623.6018
87,75.7269,59.0058,6.8,73,742,74.533,319,15581,82.499084,50.646168
88,76.4858,65.6654,9.9,598,786,0.611,266,781,102.16814,45.10334
89,76.2857,64.6258,12.4,94,874,55.256,322,14728,101.77512,33.286243
90,75.182,59.41,9.3,251,841,55.722,143,13552,92.157776,34.844357
91,76.3643,65.0461,12.4,63,830,49.57,337,16934,115.3306,33.256428
92,76.4301,67.2561,12.6,261,573,76.466,148,10441,66.69541,60.717464
93,75.9879,64.6179,13.2,84,806,583.313,153,32440,192.76561,548.98016
94,76.7462,66.6493,9.0,92,538,50.176,335,12889,105.21713,33.540966
95,74.4245,57.7556,6.6,160,790,63.127,118,19794,105.69546,50.587273
96,75.2127,57.6527,9.4,99,1298,45.02,321,15289,112.291336,32.754627
97,76.3307,66.3284,19.1,279,723,54.808,141,9967,85.40256,31.934816
98,74.5422,56.4527,8.5,100,765,60.073,192,13806,89.39786,38.627903
99,76.0084,61.2886,13.0,208,843,30.525,10,10520,115.25774,24.858974
100,74.8026,58.6308,6.6,198,647,24.64,145,6599,115.040344,20.630913
101,74.5873,56.9074,12.5,216,956,13.694,0,9739,98.41917,16.072851
102,74.467,57.7245,9.8,304,886,17.404,84,6824,112.65576,15.214326
103,75.4663,58.1792,9.5,167,951,15.754,315,9529,117.06343,19.567394
104,75.3864,57.94,16.2,278,593,0.546,34,1490,132.86157,35.87488
105,75.4217,58.0463,8.9,274,719,14.392,195,7432,100.60659,14.052043
106,75.6832,58.7864,11.8,150,744,15.447,295,6753,104.65767,16.799553
107,74.3945,57.4345,6.1,173,450,7.982,105,6528,78.768814,10.731536
108,74.4296,57.4053,10.6,538,722,1.059,260,1418,97.2522,40.338028
109,74.6307,56.4206,11.0,84,985,8.766,30,8030,100.680725,14.387146
110,76.1383,65.8631,14.1,76,741,600.376,139,30972,197.52948,566.695
111,75.7608,62.9198,6.0,129,824,211.333,148,33815,104.337425,199.45134
112,75.6516,61.8378,9.3,63,922,360.306,163,31083,129.02576,331.48676
113,75.6015,61.3395,7.5,15,922,606.883,147,51533,214.19327,577.67163
114,75.4819,61.0979,5.6,61,887,310.278,152,45037,133.08955,296.77524
115,75.3486,60.1675,10.4,43,926,1412.73,133,55777,450.5844,1348.552
116,75.2229,59.5901,13.6,198,841,130.687,124,22551,80.39422,117.30902
117,75.1102,59.2655,6.8,14,848,367.397,123,39929,139.98123,347.3002
118,75.0626,58.9075,13.9,352,830,70.124,122,12274,71.084885,48.91105
119,74.8902,58.508,13.9,0,958,485.868,120,28956,162.01912,450.80176
120,74.7074,58.2278,16.1,182,727,25.34,116,9532,128.6918,20.244644
121,74.7482,57.9261,10.6,264,900,106.264,184,22050,81.91524,90.46756
122,74.6,57.6985,5.4,0,1036,299.365,108,36990,120.0071,277.5947
123,74.5079,57.689,9.7,344,893,13.297,93,7835,96.55426,15.408104
124,74.4506,56.9889,15.8,9,1207,27.938,199,12672,133.57954,26.802053
125,74.5941,56.6301,10.1,109,1026,82.005,354,14663,74.19661,52.6042
126,74.5587,56.256,9.3,100,758,47.833,217,14862,105.14422,30.343649
127,74.5863,57.1723,16.6,120,1019,52.022,360,16811,107.77355,34.04564
128,74.8307,57.6821,14.0,213,1050,257.603,196,27403,99.7968,228.11505
129,74.8418,56.7568,12.2,240,893,13.957,316,4418,88.56428,17.529545
130,75.118,57.0448,9.3,189,677,11.278,304,6843,83.89097,13.5261965
131,75.0909,57.6284,9.3,117,1038,402.558,322,46590,151.89595,372.7984
132,75.7706,59.114,21.9,271,507,5.406,17,2391,102.812614,22.638199
133,75.7177,60.0168,13.0,74,921,611.739,349,45980,207.80768,572.6058
134,75.9196,60.5828,29.7,268,593,1.957,288,1339,98.948875,42.809135
135,75.8909,61.2815,9.4,76,1156,431.435,324,35380,148.45593,389.3227
136,76.0326,61.2954,18.2,318,586,0.413,10,1146,142.74942,41.168842
137,76.0497,62.1375,9.5,67,881,350.008,353,35103,129.45279,318.80243
138,76.1482,63.8489,9.8,47,806,293.228,333,32838,115.9962,266.98248
139,76.2332,64.0428,12.8,334,677,2.538,10,2027,126.137344,28.443785
140,76.2436,65.049,11.6,26,817,289.488,322,24108,105.74636,258.22607
141,76.4177,65.3364,15.6,252,742,3.397,273,3878,87.54434,19.32104
142,76.4832,65.6256,18.0,314,551,0.249,172,881,111.23297,34.74397
143,76.4232,65.6586,8.3,94,778,73.065,323,12882,77.87418,45.244648
144,76.4797,65.6785,15.7,632,772,0.259,229,780,105.69539,42.286064
145,76.4929,65.6341,16.0,424,680,1.024,322,1214,104.09195,51.029675
146,76.5007,65.706,12.7,161,771,6.321,1,5319,110.855804,17.620848
147,76.5176,66.1516,14.5,168,576,2.564,258,2641,90.50613,26.05755
148,76.7334,67.2151,10.5,98,582,387.211,313,37052,141.3477,365.07175
149,73.1092,54.7271,15.5,507,1017,0.723,75,1763,123.11767,32.01469
150,73.139,55.4417,17.7,718,952,0.721,56,867,124.33517,33.741364
151,73.1033,54.5603,19.3,453,1259,2.011,178,3250,108.90126,22.363867
152,73.9392,56.3533,12.2,162,921,15.073,72,8989,107.095215,16.125608
153,73.05,54.3221,15.0,269,1072,16.767,177,7654,118.4434,17.975872
154,73.0346,54.4346,15.3,284,1081,6.527,205,6457,91.97705,11.817514
155,73.0654,54.4482,14.0,905,1033,0.388,291,748,96.41841,47.426304
156,73.0877,54.3992,16.8,296,785,2.691,38,2955,120.25634,25.046152
157,73.0837,54.3194,16.6,310,987,9.153,28,6679,93.830154,14.189835
158,73.131,55.0297,19.2,539,918,0.614,15,1942,143.07103,37.960155
159,73.0527,54.5345,17.8,367,1005,5.601,22,5663,118.456505,18.57859
160,73.0073,54.5157,16.3,422,869,1.102,155,2402,101.21213,23.353687
161,73.0671,54.7489,12.3,447,839,1.986,81,2677,111.57573,24.775253
162,73.0239,54.4843,14.6,697,963,1.043,245,1896,90.00873,28.55745
163,73.0918,54.6456,14.2,438,1146,12.781,12,7990,91.90331,17.717178
164,73.0308,54.5987,16.4,291,1117,24.916,177,11998,133.13654,20.598402
165,73.1409,54.9691,21.1,616,1125,0.484,354,1588,93.01553,36.624714
166,73.0873,53.7715,14.0,560,733,0.693,213,1316,99.87959,35.99397
167,73.0775,53.8714,13.1,298,854,17.598,124,8990,116.78823,15.586717
