,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,59-28,2318.0,2299.0,2304.0,df3,1,0.1,0.2,100,11.75500545501709,11.492488822937013,1.8672179532157065,1.1496271229291894,4.130311489105225,3.913480043411255
1,59-28,2318.0,2299.0,2304.0,df3,1,0.01,0.2,100,11.63239070892334,12.086224250793457,1.3544250818071604,0.4994305180239355,2.4363884925842285,1.9697610139846802
2,59-28,2318.0,2299.0,2304.0,df3,1,0.001,0.2,100,12.755774726867676,13.263999481201171,1.4267451383046874,0.4392378371190758,2.4854135513305664,0.6961243152618408
3,37-20,1170.0,1151.0,2304.0,df3,1,0.1,0.2,100,11.710695953369141,11.772711334228516,1.9608527188635616,1.3355432124299516,5.253871440887451,4.71669864654541
4,37-20,1170.0,1151.0,2304.0,df3,1,0.01,0.2,100,11.56247932434082,12.092679138183593,1.2895781673821296,0.4278892436481226,2.6305480003356934,1.1642110347747803
5,37-20,1170.0,1151.0,2304.0,df3,1,0.001,0.2,100,13.0787451171875,13.575672454833985,1.5055002894542209,0.39916936191455404,2.4530527591705322,0.7864331007003784
6,10-5,180.0,161.0,2304.0,df3,1,0.1,0.2,100,11.912779121398925,12.318379135131837,1.6980985734591993,0.5445315801970798,3.064760684967041,2.4839088916778564
7,10-5,180.0,161.0,2304.0,df3,1,0.01,0.2,100,11.712780838012696,12.293043174743651,1.3161726643022127,0.40854973495995806,2.3579225540161133,1.1389331817626953
8,10-5,180.0,161.0,2304.0,df3,1,0.001,0.2,100,19.085541191101075,19.990496711730955,5.182934732244433,5.297364979513532,7.655952453613281,7.602118968963623
9,59-28,2318.0,2299.0,2304.0,df3,1,0.001,0.2,50,14.20606517791748,14.665916786193847,1.9620590703128638,0.5443875768761636,2.5642077922821045,1.0598210096359253
10,37-20,1170.0,1151.0,2304.0,df3,1,0.001,0.2,60,14.486935157775878,14.970549240112305,2.0582465166380275,0.629342844213032,2.5773825645446777,0.9787500500679016
11,10-5,180.0,161.0,2304.0,df3,1,0.01,0.2,20,15.089041748046874,15.695375480651855,2.4166951029148303,1.6724374391356178,2.8620197772979736,1.802909255027771
12,10-5,180.0,161.0,2304.0,df3,1,0.01,0.2,25,15.010385208129883,15.203078956604005,5.964133607051167,5.656404951952119,8.448846817016602,8.135725021362305
