,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,73.9686,56.8706,12.5,424,803,1019,3.818,117,4291,114.53394,6.9490895
1,75.4779,58.3974,9.8,234,482,798,3.605,57,5579,122.1967,8.797533
2,75.487,58.3146,15.5,231,636,857,1.714,17,3679,138.28026,9.449548
3,73.1107,55.0259,12.9,756,870,933,0.581,168,1049,107.49676,8.513169
4,75.5001,58.2102,15.7,351,580,756,2.535,53,2476,122.05712,8.12427
5,75.5221,58.7392,10.5,365,442,698,1.841,309,3207,93.26091,10.007003
6,75.6629,58.5582,13.9,284,476,637,1.165,326,1731,95.636116,12.422911
7,75.6708,58.5799,10.9,243,448,625,2.032,270,3711,101.90305,8.423229
8,75.6894,58.6143,13.2,157,384,614,1.932,354,3563,95.42447,10.899788
9,75.7897,59.5643,10.5,322,359,459,0.434,94,1048,119.734825,8.901755
10,75.7858,59.5313,10.8,357,415,474,0.824,159,1522,111.24676,8.497054
11,75.9712,61.0686,20.9,304,731,802,1.133,356,1507,100.98407,13.457675
12,75.9619,61.0382,21.4,483,618,761,0.433,163,1274,114.78425,8.682039
13,73.9902,57.4136,9.8,165,391,469,2.687,45,3144,122.91167,8.572576
14,76.0139,61.171,18.2,519,596,709,0.376,340,844,93.39131,13.684639
15,76.219,66.3941,7.4,245,291,305,1.525,111,1310,117.136505,8.828092
16,76.2696,64.2964,13.3,376,573,628,1.431,241,1371,105.34796,10.32447
17,72.9675,54.2581,18.3,466,682,814,0.66,138,1499,115.557816,8.176819
18,73.0873,54.2435,19.8,544,706,892,0.661,34,1203,127.329834,9.326729
19,76.3203,64.3786,15.0,232,467,681,1.598,322,2346,99.98491,11.675274
20,76.3458,64.7045,16.4,463,665,732,0.313,349,1160,98.41095,13.6643915
21,76.3428,64.6697,15.5,47,494,613,1.406,358,2959,105.83144,11.956315
22,76.3456,64.6204,16.9,95,559,806,1.581,5,3117,144.28563,9.897089
23,76.3921,64.8489,14.5,314,518,592,0.57,324,1249,100.538895,13.310359
24,73.9638,56.5161,17.2,342,618,874,1.994,37,2811,127.84365,8.46033
25,76.4123,65.0187,12.2,271,422,568,2.371,2,2454,130.37216,9.899736
26,76.5313,66.2337,11.6,117,502,651,9.504,276,5491,97.68698,7.9433637
27,75.1067,59.4957,6.8,240,460,564,5.49,152,6833,104.9151,6.9775047
28,74.4584,56.8355,15.8,262,595,1057,6.587,247,6949,98.02632,6.5402675
29,75.9362,60.6878,21.6,141,473,620,6.364,36,2680,112.87267,7.637651
30,74.6193,56.2643,13.0,220,531,859,4.757,357,4446,89.6079,8.905698
31,76.6788,66.132,18.2,173,423,535,5.379,299,2551,93.48203,11.251725
32,75.4014,57.9265,6.7,160,250,358,4.296,266,4504,93.02438,7.6114154
33,74.4386,56.8576,17.9,60,551,888,5.209,151,4580,111.98074,7.0455174
34,74.5414,57.7073,10.1,408,523,673,4.371,41,3275,112.44004,8.1690235
35,76.7157,66.4865,16.1,121,403,507,3.644,270,3820,103.98453,8.245542
36,76.4994,65.7944,15.4,324,506,690,2.662,14,2411,128.56085,9.370461
37,74.5172,56.5386,9.7,380,469,654,2.82,247,1972,92.99931,9.258255
38,76.3323,64.7329,14.3,66,418,658,2.364,20,3652,136.20998,9.558019
39,74.9525,56.9011,10.0,274,389,591,1.865,181,2321,106.410515,7.909141
40,76.2389,63.9717,11.5,223,511,656,3.617,341,4154,96.36499,9.5867
41,75.5742,58.5805,17.7,233,552,709,1.879,57,2362,127.51288,8.349129
42,75.5803,58.5568,16.8,303,544,699,1.368,19,1366,130.81192,9.317205
43,76.4981,65.8776,12.4,231,345,483,0.974,55,2023,128.70605,9.261494
44,74.5908,56.2078,8.7,303,434,573,2.118,349,2547,88.28707,11.912454
45,75.5703,58.4818,13.4,397,618,727,1.074,349,1906,94.21461,12.642508
