,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
0,-16.5212,-69.9053,0.098,21.4,38.815903,13.231016
1,-16.5196,-69.9117,0.147,20.7,38.986233,13.373101
2,-16.5156,-69.9246,0.149,25.4,38.1747,12.840869
3,-16.3855,-69.1445,0.051,15.4,39.61106,14.414989
4,-16.384,-69.1411,0.037,20.7,38.80235,13.245131
5,-16.4572,-69.895,0.927,14.4,40.959,15.459174
6,-16.4687,-69.8873,0.899,21.4,40.00569,13.9767275
7,-16.4684,-69.8764,0.091,18.0,39.262928,13.802511
8,-16.4774,-69.8778,0.366,23.4,38.926456,13.257565
9,-16.4167,-70.5634,0.504,20.4,39.477467,13.746224
10,-16.4186,-70.5701,0.221,20.3,39.062096,13.492712
11,-16.3693,-69.1673,0.048,14.8,39.709152,14.591098
12,-16.3702,-70.5541,0.012,18.7,38.947342,13.568079
13,-16.369,-70.5575,0.114,27.8,37.463753,12.341211
14,-16.3656,-70.5518,0.04,19.4,38.886513,13.464929
15,-16.3736,-70.551,0.012,16.3,39.305294,14.117708
16,-16.3719,-70.5497,0.016,21.8,38.509922,13.08226
17,-16.3739,-70.5473,0.493,20.0,39.497528,13.794548
18,-16.3266,-69.1637,0.107,18.1,39.250275,13.771886
19,-17.9296,-68.9068,0.468,27.2,39.264404,13.273868
20,-17.9282,-68.9144,0.164,25.9,39.002438,13.079794
21,-17.9345,-68.9143,1.269,28.1,40.302963,13.850513
22,-16.3014,-70.3624,0.057,23.3,38.279694,12.907081
23,-16.2926,-70.3654,0.228,25.5,38.113712,12.871522
24,-16.2879,-70.3612,0.049,22.6,38.389133,12.983405
25,-16.2952,-70.3732,0.112,23.8,38.282448,12.912805
26,-16.2916,-70.3693,0.163,21.7,38.73102,13.223577
27,-16.3016,-70.3432,0.61,24.9,38.90393,13.344185
28,-16.2905,-70.3267,0.08,31.8,36.39226,11.550827
29,-16.2889,-70.3493,0.021,19.8,38.777634,13.365072
30,-16.2886,-70.3388,0.414,23.5,38.857227,13.273688
31,-16.2885,-70.3571,0.138,11.2,40.23286,15.692741
32,-16.2941,-70.3541,1.253,19.4,40.720528,14.655196
33,-16.2385,-70.3321,0.168,13.4,39.93872,15.044747
34,-16.2378,-70.37,0.4,23.0,38.8832,13.294773
35,-16.2498,-70.3793,0.098,19.6,38.900833,13.465601
36,-16.2533,-70.3326,0.829,19.4,40.053833,14.214201
37,-16.2476,-70.3358,0.119,16.5,39.389755,14.14998
38,-16.264,-70.3446,0.088,13.6,39.81899,14.935839
39,-16.2567,-70.3406,0.502,14.5,40.24976,15.017376
40,-16.2611,-70.3553,0.067,29.6,36.880653,11.881481
41,-16.2577,-70.3487,0.471,19.5,39.492332,13.840979
42,-16.2483,-70.3482,0.74,15.2,40.46659,15.027419
43,-16.2476,-70.3666,1.108,18.1,40.636326,14.735778
44,-16.2247,-70.3217,0.417,18.9,39.482216,13.896076
45,-16.2333,-70.3072,0.053,17.8,39.09072,13.771015
46,-16.2285,-70.312,0.168,16.3,39.48596,14.247387
47,-16.2156,-70.3613,0.113,31.0,36.597572,11.679842
48,-16.2154,-70.3277,0.232,15.4,39.724255,14.561685
49,-16.2091,-70.361,0.122,23.6,38.291584,12.929577
50,-16.2108,-70.3566,0.167,16.2,39.48773,14.269537
51,-16.2059,-70.3363,1.645,20.8,41.073822,14.76018
52,-16.2044,-70.3528,0.014,11.3,40.014088,15.529561
53,-16.2,-70.3472,0.329,15.6,39.827072,14.599322
54,-16.1958,-70.3257,0.012,13.3,39.727715,14.946171
55,-16.1965,-70.3283,0.099,19.0,38.966534,13.564717
56,-16.158,-70.2841,0.016,33.9,35.731873,11.268769
57,-16.1374,-70.2695,0.03,25.9,37.629894,12.580263
58,-16.1316,-70.2629,0.1,30.0,36.778934,11.810365
59,-16.12,-70.2534,0.122,29.1,37.027008,12.006562
60,-16.1145,-70.2523,0.013,23.7,38.03368,12.7793455
61,-16.1108,-70.2574,0.069,28.3,37.126923,12.115823
62,-16.1097,-70.2408,0.044,23.7,38.088245,12.812999
63,-16.1042,-70.2486,0.484,25.0,38.569786,13.166201
64,-16.1026,-70.2599,0.063,31.3,36.374588,11.563018
65,-16.0833,-70.2697,0.073,15.2,39.457535,14.436095
66,-16.0933,-70.2694,0.088,17.3,39.151985,13.895728
67,-16.0997,-70.2693,0.364,29.4,37.38707,12.211213
68,-16.0889,-70.3075,0.021,20.3,38.614548,13.253975
69,-16.0878,-70.3046,0.039,29.7,36.70636,11.7907
70,-16.0855,-70.2845,1.568,20.7,40.924767,14.6958065
71,-16.0718,-70.2467,0.029,19.4,38.74548,13.406545
72,-16.0707,-70.2847,0.018,13.2,39.692398,14.956831
73,-16.0741,-70.2837,0.081,18.0,39.026985,13.727581
74,-15.6086,-70.8007,0.029,10.3,39.91009,15.768368
75,-15.5857,-70.7673,0.01,9.9,39.9429,15.88747
76,-15.5857,-70.7594,0.019,21.0,38.221535,13.06137
77,-15.5878,-70.7634,0.2,20.8,38.54333,13.272943
78,-15.6046,-70.8029,0.038,10.1,39.95413,15.84616
79,-15.5968,-70.8085,2.35,11.0,43.00747,17.849379
80,-15.5861,-70.7949,0.011,9.4,40.027245,16.069035
81,-15.5858,-70.7978,0.023,6.0,40.659317,17.434546
82,-15.6049,-70.8222,0.133,18.2,38.81146,13.660217
83,-15.5836,-70.8242,0.209,15.6,39.313,14.365784
84,-15.5873,-70.8313,0.024,22.9,37.866035,12.776176
85,-15.5871,-70.8269,1.123,21.3,39.86898,14.084292
86,-15.5768,-70.8253,0.028,6.3,40.59526,17.305613
87,-15.5721,-70.8311,0.037,29.9,36.269318,11.611865
88,-15.5747,-70.826,0.019,4.1,40.935856,18.042301
89,-15.5707,-70.8185,1.197,14.8,40.808903,15.448533
90,-15.5483,-70.8232,0.111,12.4,39.648018,15.154454
91,-15.5705,-70.8275,0.045,12.1,39.615036,15.187173
92,-15.5592,-70.8302,0.034,31.9,35.769062,11.31941
93,-15.5624,-70.8256,0.494,23.5,38.565666,13.2462635
94,-15.5525,-70.8236,0.209,9.6,40.246395,16.179646
95,-15.4556,-70.85,0.081,22.4,37.99026,12.881045
96,-15.4388,-70.8265,0.023,20.5,38.237755,13.130105
97,-15.4507,-70.8491,0.029,24.4,37.49658,12.614401
98,-15.4471,-70.8528,0.15,16.6,38.994686,14.015781
99,-15.4441,-70.8465,0.14,25.5,37.443615,12.603771
100,-15.4349,-70.8407,0.736,20.0,39.388844,13.886635
101,-15.427,-70.8516,0.018,9.9,39.878616,15.865303
102,-15.4261,-70.8483,0.048,15.6,38.989944,14.17646
103,-15.4217,-70.6531,0.014,22.2,37.905422,12.826452
104,-15.42,-70.655,0.024,16.9,38.758564,13.814523
105,-15.4274,-70.6586,0.012,25.4,37.25555,12.483185
106,-15.4264,-70.6531,0.172,19.8,38.56687,13.373725
107,-15.4125,-70.6548,0.039,21.2,38.134945,13.01538
108,-15.4123,-70.6835,0.033,18.9,38.471256,13.397817
109,-15.4048,-70.6525,0.048,19.8,38.36818,13.2545
110,-15.4005,-70.6467,0.129,20.8,38.351627,13.178985
111,-15.36,-70.7687,0.44,22.6,38.545532,13.250051
112,-15.3574,-70.936,0.248,14.8,39.395992,14.600583
113,-15.3478,-70.6358,0.237,20.8,38.490376,13.269767
114,-15.3441,-70.6215,0.041,24.4,37.477856,12.608697
115,-15.3512,-70.7745,0.014,13.1,39.336864,14.863798
116,-15.3484,-70.7719,0.257,15.6,39.274364,14.3730755
117,-15.3452,-70.7583,0.015,18.7,38.434803,13.40754
118,-15.3398,-70.616,0.03,23.8,37.592525,12.646603
119,-15.3406,-70.6371,0.024,13.4,39.313377,14.7912
120,-15.3384,-70.6336,0.063,15.6,38.983673,14.176643
121,-15.3401,-70.9494,0.067,19.3,38.414753,13.348245
122,-15.3312,-70.9416,0.553,10.7,40.426685,16.080446
123,-15.3323,-70.7641,0.113,11.0,39.784386,15.560458
124,-15.3253,-70.7605,0.404,14.5,39.64933,14.794931
125,-15.3324,-70.7668,0.011,15.2,38.962547,14.237713
126,-15.3211,-70.7609,0.021,16.4,38.773117,13.917789
127,-15.3398,-70.7709,0.212,13.6,39.52592,14.881329
128,-15.3389,-70.7633,0.414,12.9,39.88935,15.242974
129,-15.3361,-70.7728,0.021,13.4,39.29989,14.788511
130,-15.3224,-70.9618,0.016,8.9,39.99179,16.208395
131,-15.3199,-70.9597,0.084,9.2,40.033043,16.161478
132,-15.315,-70.7776,0.049,23.8,37.599354,12.662509
133,-15.3145,-70.7894,0.043,23.7,37.605934,12.664594
134,-15.3138,-70.7858,0.029,21.4,38.01393,12.94701
135,-15.3134,-70.7818,0.037,18.3,38.509396,13.500439
136,-15.3111,-70.7741,0.099,17.8,38.676632,13.662956
137,-15.3088,-70.966,0.084,22.8,37.83016,12.802444
138,-15.3024,-70.951,0.117,19.6,38.431213,13.337978
139,-15.3128,-70.747,0.058,30.3,36.05699,11.509874
140,-15.3079,-70.7501,2.558,18.8,42.099625,15.780677
141,-15.3747,-70.6756,0.047,24.4,37.500206,12.620416
142,-15.3719,-70.6781,0.031,21.0,38.13423,13.033029
143,-15.3662,-70.6748,0.65,20.1,39.220512,13.773812
144,-15.3032,-70.7482,0.487,14.0,39.822395,14.980774
145,-15.298,-70.7502,0.363,9.9,40.294838,16.174978
146,-15.2857,-70.7485,0.03,31.1,35.791714,11.358995
147,-15.284,-70.7464,0.016,26.0,37.04979,12.342258
148,-15.2819,-70.745,0.039,27.6,36.67265,11.990565
149,-15.3976,-70.6789,0.533,27.0,37.802086,12.740162
150,-15.3801,-70.6436,0.542,16.4,39.600376,14.450268
151,-15.3723,-70.6871,1.458,25.7,39.495964,13.865767
152,-15.3098,-70.7654,0.05,10.1,39.839775,15.805148
153,-15.3066,-70.7644,0.012,4.9,40.690388,17.746685
154,-15.3375,-70.6887,0.124,17.6,38.7629,13.735111
155,-15.339,-70.7109,0.934,13.0,40.593597,15.693768
156,-15.3712,-70.6482,0.359,13.2,39.794353,15.108958
157,-15.3698,-70.6376,0.346,18.9,38.93264,13.689948
158,-15.3305,-70.6951,0.939,14.5,40.386326,15.2502575
159,-15.3202,-70.6854,0.019,8.4,40.09126,16.405954
160,-15.3305,-70.7046,1.196,10.6,41.331905,16.756218
161,-15.3153,-70.7296,0.274,19.9,38.64898,13.436944
162,-15.3445,-70.6962,2.305,15.5,42.15875,16.301256
163,-15.3376,-70.6727,0.122,22.2,38.053795,12.936866
164,-15.3652,-70.6803,0.313,12.6,39.811966,15.247906
165,-15.3628,-70.6951,1.075,15.0,40.516987,15.24427
166,-15.3633,-70.6488,1.263,17.3,40.48941,14.866343
167,-15.3899,-70.6414,1.738,17.5,41.138992,15.273078
168,-15.377,-70.667,1.136,25.6,39.045822,13.6091385
169,-15.4005,-70.687,0.873,22.8,39.17248,13.624515
170,-15.3898,-70.6823,0.63,24.4,38.516735,13.260518
171,-15.3741,-70.7244,0.144,14.9,39.24156,14.467901
172,-15.3759,-70.7102,2.115,19.3,41.463,15.272473
173,-15.357,-70.7301,0.011,34.3,35.026993,10.902595
174,-15.3554,-70.7273,0.079,28.4,36.593716,11.884357
175,-15.3529,-70.7199,2.546,16.2,42.392265,16.360348
176,-15.3256,-70.7217,2.007,15.3,41.755627,16.05562
177,-15.2992,-70.7547,1.146,9.2,41.49248,17.215876
178,-15.276,-71.0554,0.085,13.8,39.287888,14.726313
179,-15.2707,-71.0528,0.319,15.6,39.31254,14.421474
180,-15.2727,-70.9775,0.073,24.1,37.530643,12.655179
181,-15.2614,-70.9782,0.108,20.4,38.28622,13.198804
182,-15.2662,-70.9787,0.322,18.1,38.938595,13.810352
183,-15.2639,-71.2306,0.149,24.0,37.65576,12.743833
184,-15.2557,-71.0373,0.064,20.8,38.13752,13.081161
185,-15.2617,-71.0398,0.286,18.4,38.833668,13.713237
186,-15.2453,-70.814,0.028,13.2,39.290462,14.831073
187,-15.2457,-70.8103,0.058,17.6,38.609825,13.65683
188,-15.2441,-70.8054,0.011,28.1,36.467087,11.841765
189,-15.2551,-71.1938,0.079,26.8,36.882225,12.19669
190,-15.2512,-71.1992,0.023,14.0,39.136066,14.597486
191,-15.2515,-71.2215,0.329,16.1,39.22083,14.288346
192,-15.2479,-71.0422,0.029,15.6,38.86157,14.125857
193,-15.2463,-71.0539,0.242,17.7,38.859455,13.8139515
194,-15.2446,-71.0082,0.176,14.1,39.35081,14.712493
195,-15.2429,-71.0428,0.052,14.7,39.05294,14.408798
196,-15.2454,-71.2102,0.164,19.3,38.499157,13.4265785
197,-15.2464,-71.2045,0.134,23.1,37.80974,12.811508
198,-15.2388,-71.0384,0.108,20.0,38.326378,13.256057
199,-15.2371,-70.7938,0.774,18.4,39.58497,14.194656
200,-15.2352,-71.1911,0.175,20.3,38.37535,13.273204
201,-15.2152,-71.0473,0.309,15.4,39.305264,14.458979
202,-15.2105,-70.8147,0.108,19.2,38.436035,13.383455
203,-15.2052,-70.8147,0.081,19.7,38.324234,13.271786
204,-15.2186,-70.8237,2.036,18.6,41.34026,15.3090515
205,-15.2023,-70.8319,0.044,32.0,35.54559,11.241276
206,-15.1986,-70.8096,0.165,17.8,38.71973,13.708455
