,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
192,47.0724,12.6796,16.8,2798,3527,1.911,218,2555,73.38681,28.49671
193,47.0851,12.5903,18.9,2889,3028,0.136,146,293,54.0531,45.0966
194,47.0752,12.9266,20.3,2652,2818,0.142,212,494,45.422363,43.07938
195,47.1225,11.0887,22.9,2791,3023,0.119,24,506,89.74748,38.09486
196,47.0878,12.2683,26.7,2444,3222,1.919,297,1683,61.04121,26.480223
197,47.1042,11.9549,39.1,2558,2707,0.015,11,158,95.583694,38.937
198,47.0822,12.4009,18.9,2653,3248,2.161,104,2419,90.09092,28.138302
199,47.0883,12.3025,25.6,2764,3250,1.08,237,1010,52.03704,37.600616
200,47.1029,11.9509,42.2,2711,2893,0.023,347,182,45.167427,41.935463
201,47.0909,12.2897,25.5,2687,3129,0.228,136,972,68.888885,42.063396
202,47.1219,11.0644,27.8,2827,2944,0.031,82,261,68.990875,42.61655
203,47.1167,11.0732,20.0,2634,3081,0.518,23,1293,102.47166,34.727776
204,47.0934,12.1881,24.8,2557,2762,0.08,18,452,95.44058,38.24195
205,47.1205,11.0634,23.8,2896,2985,0.018,34,177,80.57874,41.070644
206,47.0897,12.281,31.8,3098,3236,0.062,308,177,37.33318,40.675842
207,47.0711,12.9367,33.3,2910,3032,0.025,211,226,43.14451,45.360626
208,47.1053,11.7343,12.2,2894,2946,0.042,99,269,63.516914,43.716396
209,47.0875,12.2834,32.6,2824,3213,0.25,120,435,65.51535,42.972637
210,47.0842,12.4759,21.4,2638,2728,0.036,68,202,75.98772,42.683353
211,47.0793,12.5881,21.1,2719,2885,0.059,106,472,65.71058,43.336636
212,47.0716,12.7082,29.2,2638,3628,0.91,73,1504,106.71771,29.954723
213,47.0669,12.9433,26.2,2748,2897,0.079,109,261,62.856236,43.549343
214,47.0972,11.9565,23.8,2825,2924,0.022,73,246,71.32261,42.456554
215,47.0936,12.0791,46.6,2758,2886,0.012,45,125,79.22813,40.884144
216,47.0777,12.5822,19.8,2917,3003,0.04,251,214,39.416615,43.771038
217,47.0925,11.9592,24.2,2749,2990,0.239,53,466,80.98834,40.095486
218,47.0884,12.2004,32.0,2647,2728,0.018,60,127,77.87372,42.860744
219,47.0775,12.2764,24.6,2672,3335,1.262,114,1313,81.21442,32.99327
220,47.1102,11.0277,26.6,2664,3156,0.406,0,889,106.69353,34.769283
221,47.089,12.1312,23.1,2704,2770,0.03,52,177,79.55441,42.84238
222,47.0652,12.6932,18.4,2869,3584,0.892,188,1803,74.548996,33.866013
223,47.0879,12.0849,39.8,2663,2955,0.115,75,375,76.044846,41.657887
224,47.1123,11.0642,21.2,3012,3135,0.073,113,280,60.485947,44.794544
225,47.0615,12.9516,30.4,2272,2583,0.112,59,571,88.93566,38.49138
226,47.0779,12.3115,22.9,2850,3221,0.535,240,918,49.21035,40.76814
227,47.0627,12.9433,31.1,2774,2854,0.017,40,125,80.7539,41.334827
228,47.1189,10.3663,25.7,2558,2932,0.176,355,720,47.61145,32.639645
229,47.1109,11.0363,31.6,2817,3048,0.078,70,472,75.555824,41.620613
230,47.0726,12.5819,22.2,2798,3024,0.18,269,532,42.28046,39.971855
231,47.051,13.2504,37.5,3056,3162,0.018,119,125,57.394165,44.95347
232,47.0778,12.2486,30.6,2292,3380,2.114,342,1605,71.7296,21.862762
233,47.081,12.3188,37.6,3011,3161,0.017,92,202,64.865555,44.11192
234,47.1092,11.0558,30.5,2681,2908,0.075,334,382,43.496407,38.332695
235,47.0807,12.324,30.7,2782,2944,0.022,86,255,68.91628,42.81807
236,47.1078,11.0453,21.1,2694,2860,0.203,5,567,96.796005,36.676605
237,47.0669,12.7186,31.5,3019,3174,0.028,56,250,74.39211,41.09974
238,47.1171,10.3766,25.5,2688,3061,0.28,75,851,81.33907,39.338936
239,47.0586,12.9555,39.7,2471,2585,0.021,11,127,98.59222,40.372242
240,47.0668,12.7059,37.9,3091,3189,0.014,209,112,42.706474,46.780212
241,47.0418,13.329,22.5,2857,3018,0.091,56,358,76.88946,41.566265
