,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
0,35.7639,75.9105,0.232,34.3,32.552643,9.453419
1,35.7539,75.9186,0.025,38.2,30.063738,10.085303
2,35.7507,75.9193,0.085,44.1,28.24501,10.478359
3,35.7722,75.1278,1.778,29.2,38.498306,6.3029475
4,36.0064,75.5932,559.807,19.4,559.61115,323.31525
5,36.0154,75.6874,0.05,30.2,33.473747,7.6274376
6,35.9917,75.5408,0.093,44.3,27.95963,10.423802
7,35.9667,75.6421,0.079,40.3,29.209763,10.180296
8,35.9381,75.6866,0.192,42.1,28.932575,10.363934
9,35.9031,75.7223,0.095,42.8,28.509842,10.362927
10,35.8996,75.7629,0.078,37.9,30.20702,10.026
11,35.8739,75.8415,0.03,37.8,30.16375,10.018382
12,35.7992,75.7631,0.173,31.6,33.406063,8.175898
13,35.7995,75.7544,0.066,31.5,33.13675,8.211088
14,35.7919,75.7445,0.194,37.4,30.825628,9.999542
15,35.7856,75.7659,0.186,29.7,34.1137,7.2744784
16,35.7408,75.8267,0.079,51.3,25.702791,10.626942
17,35.838,74.8601,2.996,30.6,40.820282,6.582617
18,35.839,74.8738,0.353,48.4,27.080471,10.7458935
19,35.9205,74.6246,0.784,34.1,33.78314,8.989346
20,35.9246,74.6298,0.046,34.6,31.257246,9.445436
21,35.9168,74.6189,0.122,43.2,28.091824,10.232909
22,35.9164,74.6107,0.063,44.1,27.690369,10.265164
23,36.0016,74.7496,0.107,23.6,35.34886,5.9039245
24,35.9948,74.7466,0.167,22.1,35.640934,5.817904
25,35.9895,74.7441,0.097,22.6,35.49987,5.939968
26,36.0073,74.75,0.722,21.9,36.841953,5.8683114
27,36.0137,74.6949,1.514,29.0,37.681232,6.3194027
28,36.0616,74.4285,1.277,29.0,36.92769,6.453264
29,36.0943,74.9443,0.172,37.1,30.434465,9.823421
30,36.0938,74.9373,0.028,46.9,26.741997,10.476905
31,36.0673,74.8171,105.036,22.3,141.42708,62.828056
32,36.1076,74.8178,0.609,34.3,33.151745,9.184573
33,36.0716,74.9526,0.051,48.0,26.475061,10.572386
34,36.0507,74.8685,0.091,48.8,26.263836,10.620949
35,36.1333,74.4642,13.115,36.0,53.952953,10.618776
36,36.1451,74.4361,0.052,37.1,29.880665,9.730242
37,36.2116,72.5513,0.176,39.1,28.735249,9.652824
38,36.2584,75.7825,0.031,53.1,24.645859,10.433058
39,36.2559,75.7857,0.039,34.2,31.702002,9.432357
40,36.2528,75.7805,0.267,48.9,26.668049,10.673534
41,36.3359,74.0381,1.495,19.4,37.32699,6.1992726
42,36.322,74.0146,9.22,20.8,49.427757,8.402823
43,36.3304,74.0,0.566,17.2,35.052338,6.1150174
44,36.3095,76.2808,0.033,28.0,34.326633,6.7138577
45,36.3083,76.2901,0.109,29.3,34.08925,7.191575
46,36.3069,76.2937,0.073,29.0,34.09477,7.0870676
47,36.3036,76.2991,0.136,28.7,34.38212,6.9169316
48,36.2994,76.3101,0.041,31.3,33.182205,8.198554
49,36.3366,74.413,0.046,37.9,29.402395,9.778782
50,36.3364,74.4103,0.038,42.2,27.897005,10.056022
51,36.3375,73.0984,0.05,15.5,33.38612,6.287335
52,36.3337,73.099,0.049,54.7,23.573042,10.249848
53,36.3476,73.0456,0.115,24.7,34.54136,5.911489
54,36.3442,73.0454,0.062,41.8,27.628952,9.844476
55,36.3603,73.4309,1.751,23.7,38.673492,6.1725683
56,36.3756,74.6871,9.908,42.5,46.86874,11.221062
57,36.3875,74.0066,0.534,20.1,35.94109,5.715975
58,36.3742,74.0094,0.086,27.0,34.04816,6.3529253
59,36.3706,74.0167,0.031,40.2,28.357752,9.8812275
60,36.371,74.0087,0.034,35.0,30.56456,9.366839
61,36.3691,74.0107,0.053,19.7,34.78224,5.5951486
62,36.3646,72.7405,2.258,30.0,38.587845,6.5172763
63,36.3766,74.207,1.418,32.7,35.85611,8.009368
64,36.3608,72.7758,1.8,31.2,36.98865,7.131049
65,36.3654,72.7613,0.302,40.8,28.461418,9.815794
66,36.3644,72.7663,0.057,42.6,27.281914,9.845094
67,36.4002,74.1683,0.101,29.8,33.140663,7.469707
68,36.416,75.2613,0.444,30.8,34.12722,7.6670723
69,36.4111,74.3634,0.328,40.4,29.169008,10.02867
70,36.4134,74.381,0.416,35.6,31.57256,9.502912
71,36.3996,74.3761,3.538,32.9,41.037235,7.1007915
72,36.407,74.3605,0.097,26.0,34.53137,6.106572
73,36.3912,74.3774,0.04,42.9,27.655706,10.08855
74,36.3828,74.3742,0.96,33.9,34.118477,8.786447
75,36.4666,75.6901,0.905,28.5,36.384525,6.442997
76,36.4576,75.6924,0.134,28.6,34.173836,6.8918467
77,36.4519,72.9354,1.616,24.3,38.32511,6.033066
78,36.4918,74.3881,0.805,35.1,33.026443,9.296545
79,36.4914,74.4016,0.056,34.5,30.970423,9.342553
80,36.5282,73.1157,0.075,48.5,25.5088,10.306893
81,36.5247,73.1123,0.107,33.9,30.907368,9.131922
82,36.5261,72.967,0.907,24.0,36.770386,5.757544
83,36.5201,72.9694,0.651,24.7,35.962532,5.729502
84,36.5751,75.8397,0.038,34.0,31.680262,9.364168
85,36.5691,75.8406,0.968,20.7,37.22175,5.715259
86,36.5629,75.8344,0.058,30.4,33.323853,7.785013
87,36.554,75.8405,4.76,24.5,43.949917,6.87685
88,36.5518,75.8651,0.12,37.1,30.374737,9.863382
89,36.5597,74.8965,0.4,37.6,30.55037,9.884381
