,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,81.0237,-68.0302,9.0,348,918,1206,5.123,146,5401,75.906136,7.296438
1,81.1403,-68.8844,19.0,759,1028,1241,0.569,8,1810,97.50231,9.013202
2,80.9223,-69.1043,7.4,536,889,1024,3.736,11,4792,91.838615,8.07966
3,80.8772,-69.2006,13.1,954,1135,1389,2.259,305,2974,61.428566,6.878695
4,80.8687,-69.2585,10.1,750,1109,1372,4.057,29,3673,86.98635,7.759721
5,80.8591,-69.1875,13.6,814,990,1113,0.419,116,1493,81.58305,8.296826
6,80.864,-69.3243,12.0,1060,1243,1406,3.763,55,2437,78.47501,7.2954617
7,80.883,-69.3642,17.4,848,1073,1312,1.268,18,1602,92.33105,8.635942
8,80.875,-69.4072,18.2,879,1087,1266,0.713,313,1309,64.10325,7.635101
9,80.8888,-69.4148,19.5,867,1088,1255,0.476,5,1150,95.65432,8.970281
10,80.9788,-69.7834,8.3,497,1159,1458,25.559,347,12390,50.224815,5.9371767
11,80.9836,-69.9346,10.2,909,1122,1225,4.427,319,1721,51.3536,6.600723
12,81.129,-68.7934,12.0,616,1065,1410,6.962,357,5098,53.12631,6.1690087
13,80.9364,-70.0664,7.4,595,1301,1559,85.034,348,14350,95.963264,13.061465
14,80.9374,-69.6664,11.9,1172,1365,1417,0.654,154,562,76.11127,7.5118895
15,80.927,-69.7046,14.2,802,1160,1396,2.497,106,3321,82.7674,7.7715144
16,80.9184,-69.7859,13.1,907,1326,1379,1.569,141,1797,79.35088,7.5913367
17,80.9051,-69.8307,10.7,886,1189,1440,5.399,84,4072,74.679924,6.8742604
18,80.8941,-69.7787,17.9,1008,1115,1257,0.375,75,707,84.4121,8.345438
19,81.0123,-70.181,18.7,642,1224,1365,8.205,326,1984,47.36736,5.777372
20,80.9847,-70.2948,13.5,404,1163,1367,6.839,312,4472,57.99751,6.3187404
21,80.97,-70.1924,11.9,1020,1068,1240,1.095,360,1419,58.68372,7.7705655
22,80.9454,-70.3599,10.0,636,903,1276,6.957,293,3656,48.540688,5.847409
23,81.1391,-68.6974,22.3,790,1042,1295,0.781,8,1415,95.81251,8.920703
24,80.9207,-70.3556,19.6,772,1237,1544,2.215,323,2556,65.84974,7.288577
