,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,43.2003,42.0891,43.2,3054,3202,3391,0.078,163,424,337,28.254404,3.0233479,29.125608,33.39687,23.817314,32.36245,30.976234,26.304874,25.349163,24.608442,30.054653,28.117172,25.458147,24.8816,28.802982,28.567055,25.21778,27.183962,28.33173,31.374668,24.78162,27.404177,26.501553,32.494133,26.198065,35.19974,29.850075
1,43.1992,42.7121,21.5,3271,3340,3363,0.042,49,177,92,29.090052,1.6115334,27.51576,30.665144,25.608488,28.781261,31.599346,27.180748,28.236269,26.919724,29.092693,29.430174,30.591766,30.485117,28.980633,31.226118,30.833351,27.808088,31.331858,30.250751,28.06412,28.46932,26.306356,29.969538,28.4575,28.930368,30.516806
2,43.3543,41.8426,28.8,3387,3623,3717,0.13,79,388,330,28.970797,1.9249032,28.698662,30.610304,24.328653,30.490616,32.53827,27.054306,29.93955,26.455212,31.33238,29.407217,28.561565,27.51184,27.520151,31.29448,29.142447,28.55802,26.994095,29.925503,27.412016,28.146484,27.483288,31.051857,28.826483,32.42302,28.563461
3,42.8031,43.8138,24.7,2368,3409,4130,4.187,353,5295,1762,56.64284,7.6793156,51.952446,66.33668,60.34631,44.8785,46.886448,65.45674,54.08131,50.432816,47.937904,65.035385,68.3923,66.393936,56.762302,62.507206,67.74227,46.577435,63.8349,53.784077,63.869,47.803307,50.444748,51.093098,55.817307,47.76012,59.944542
4,43.1191,42.6611,51.6,3751,3848,3961,0.033,145,158,210,36.77202,4.828702,38.85568,41.631542,30.313011,44.19291,41.306347,32.613907,34.758175,33.58144,40.89051,33.341022,30.710321,29.684595,37.025116,38.447,30.67369,37.225983,33.29989,42.106724,31.574831,36.671387,34.56394,44.091095,35.73605,47.767574,38.237724
5,43.1583,42.5158,31.9,3352,3508,3680,0.176,197,538,328,26.028042,2.6414015,28.063894,27.869785,19.525879,29.658249,29.28116,23.682545,26.247551,25.190031,28.319305,26.754044,22.164951,23.945694,27.326275,25.904688,24.78554,25.615654,23.32791,26.879208,23.728497,25.310596,25.075922,29.630833,25.1544,32.10385,25.154572
6,42.9523,43.52,34.4,3661,3846,3984,0.125,240,508,323,29.560024,3.7783039,33.224266,30.966036,21.332195,34.30039,33.63003,25.371506,30.50567,29.83735,32.83531,29.1489,23.445631,26.505444,31.478008,29.177708,26.985794,29.871578,24.307215,32.01391,26.261148,28.821163,28.835056,34.424366,28.998434,38.342987,28.38048
7,43.0973,43.2427,34.3,3365,3482,3606,0.101,333,428,241,26.538668,3.4371216,29.875984,30.916943,18.71783,30.62338,28.785913,22.524601,24.846153,27.08262,29.924692,28.10064,21.621544,25.781958,28.655373,23.979893,24.94942,25.847319,24.53493,27.405577,23.533028,25.650719,24.764229,30.101816,25.03553,35.2058,25.000721
8,43.3002,41.4506,33.8,2558,2912,3331,0.39,217,1182,773,24.041286,2.105194,24.49484,27.944782,19.20763,23.355349,25.75548,25.053701,21.19031,21.745167,22.321526,27.22594,25.100443,23.94761,25.479809,23.819338,25.465092,22.909466,25.02994,25.349827,24.598293,20.631592,22.773933,24.624454,21.93553,27.660027,23.412115
9,42.7584,43.7575,27.6,3208,3617,3903,0.553,245,1630,695,27.868092,2.113157,30.039267,28.0312,21.767664,29.824505,30.467905,26.020365,29.59421,27.92101,27.882158,28.015776,27.412428,26.989716,29.515633,26.561161,28.35323,27.760065,24.84654,29.322464,25.846949,26.655764,27.96581,28.703705,27.335176,33.151344,26.718273
