,layer architecture,model parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
2,10-5,180.0,2979.0,df2,0,0.001,0.2,300,45.38939437866211,39.89555068969727,0.9459050679796591,0.6470668202442557,1.4124573469161987,0.8351739048957825
0,10-5,180.0,2979.0,df2,0,0.01,0.2,300,48.487179565429685,36.390318603515624,2.068542014264314,1.4938228990877922,3.6432764530181885,1.9555652141571045
1,10-5,180.0,2979.0,df2,0,0.1,0.2,300,50.68696899414063,34.124932556152345,4.441429814123204,1.5855115045013677,5.973132610321045,4.411269664764404
