,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,43.2003,42.0891,43.2,3054,3391,0.078,163,424,58.240097,41.02601
1,43.1992,42.7121,21.5,3271,3363,0.042,49,177,73.57901,41.91137
2,43.3543,41.8426,28.8,3387,3717,0.13,79,388,72.5075,41.639122
3,42.8031,43.8138,24.7,2368,4130,4.187,353,5295,114.63936,17.140543
4,43.1191,42.6611,51.6,3751,3961,0.033,145,158,53.647163,45.351048
5,43.1583,42.5158,31.9,3352,3680,0.176,197,538,52.037666,42.49185
6,42.9523,43.52,34.4,3661,3984,0.125,240,508,47.386925,43.347557
7,43.0973,43.2427,34.3,3365,3606,0.101,333,428,42.05417,34.221146
8,43.3002,41.4506,33.8,2558,3331,0.39,217,1182,73.32083,29.775473
9,42.7584,43.7575,27.6,3208,3903,0.553,245,1630,65.32291,34.04607
10,42.6974,44.4001,23.1,3231,4292,1.688,166,3290,102.37312,21.139856
11,42.9564,43.5074,30.4,3629,4051,0.357,237,863,52.128193,42.279198
12,43.0834,43.2422,42.0,3307,3730,0.136,104,464,70.913284,41.470173
13,43.3778,42.4276,22.6,3053,5611,12.843,357,6902,90.634445,13.881768
14,43.2768,41.5514,32.7,2871,3321,0.221,93,641,77.91198,40.607376
15,43.2675,42.8305,36.0,3482,4079,0.343,298,1466,56.86128,35.666218
16,43.1282,42.3454,25.9,3109,3489,0.21,74,723,79.24334,40.019108
17,43.2352,42.9086,35.6,3543,3972,0.163,84,459,74.141014,39.675415
18,43.261,42.877,19.5,3083,3902,0.62,23,2034,115.79207,32.589073
19,42.6964,44.5204,33.1,4722,5007,0.134,105,391,67.68426,36.10832
20,42.713,44.1351,32.8,3424,3741,0.2,124,540,63.18376,43.228905
21,43.16,42.4675,17.4,3316,3367,0.036,246,182,38.70223,40.98997
22,42.8614,43.5906,27.9,2471,3501,1.424,9,1931,130.4319,32.487965
23,42.988,43.5216,19.8,3510,3716,0.176,103,704,65.3567,42.7986
24,42.859,43.587,28.2,2980,3139,0.015,12,302,89.14213,39.644444
25,42.8681,43.4682,39.8,3097,3535,0.124,318,501,48.639603,31.896812
26,43.2903,42.2136,27.2,3127,3430,0.166,347,615,45.797012,31.062538
27,42.9743,43.469,48.5,3624,3950,0.051,8,285,87.535126,39.248405
28,43.1319,42.1122,21.5,3131,3211,0.031,178,224,47.225864,42.94208
29,43.2019,41.8618,30.5,2599,3024,0.233,61,605,88.08106,38.289978
30,43.1413,42.6937,20.0,1865,4138,8.396,134,6912,135.67332,18.031767
31,43.3297,42.615,23.7,3158,3902,1.834,20,1863,107.11967,30.421879
32,43.0261,43.0031,33.0,3766,4471,0.423,127,1210,79.457306,33.821316
33,43.1728,42.5275,17.4,2687,4413,6.711,126,5847,128.44531,15.896762
34,43.2106,42.8294,47.1,3369,3566,0.012,343,180,40.49621,33.978245
35,43.2101,41.6184,45.9,2659,3115,0.102,117,440,74.01678,38.198402
36,42.9634,43.4607,37.9,3645,4013,0.241,230,682,50.189587,42.973305
37,43.4299,41.594,24.1,3103,3438,0.495,28,974,90.606224,36.830605
38,43.2387,42.2211,25.4,3110,3379,0.148,56,629,80.06239,40.501057
39,43.252,41.639,37.2,2849,3223,0.109,317,483,48.445366,30.40258
40,42.9169,43.4078,42.3,3170,3476,0.068,285,320,43.75707,35.434746
41,43.3375,42.3964,27.2,3932,4937,0.757,205,911,76.49947,31.803543
42,43.1645,42.0314,31.5,2934,3285,0.101,70,572,79.928314,40.87794
43,43.1757,42.5393,28.2,3289,3576,0.205,204,490,49.890587,41.884785
44,42.5439,43.9928,20.0,3139,3252,0.052,56,266,74.43566,40.796223
45,42.7372,44.1301,51.5,3727,4137,0.126,355,276,44.78775,34.882324
46,43.3281,42.6497,33.7,3210,3842,0.386,344,944,55.72312,29.832182
47,43.189,42.6081,33.7,3156,3256,0.023,332,180,42.686745,37.56218
48,43.422,41.5994,23.2,3161,3558,0.257,34,907,90.59685,37.382313
49,42.5392,44.0001,27.7,2901,3251,0.336,39,928,90.30932,37.439854
50,43.2691,42.9721,19.4,3539,3721,0.208,57,787,75.28176,40.46644
51,42.9166,43.4173,25.4,3219,3409,0.13,77,406,70.7033,42.242115
52,43.2536,41.6697,32.3,2204,3209,0.928,37,1951,128.91737,31.174665
53,43.1635,42.2138,25.0,2872,3145,0.286,69,652,79.293724,39.500175
54,42.7227,44.4479,43.5,3696,4079,0.133,2,348,90.578064,38.548695
55,42.679,44.4943,30.8,3889,4040,0.039,206,292,45.09835,45.826954
56,43.0298,43.2476,30.3,3245,3611,0.234,82,594,75.083954,40.76035
57,43.2132,41.8158,30.6,2726,3232,0.315,300,820,54.421284,28.774143
58,43.1696,42.6719,25.9,3011,4020,0.904,287,1822,75.208084,26.2204
59,42.75,44.0422,48.8,3748,4069,0.062,333,257,41.871185,37.104908
60,43.2164,42.5333,24.1,2860,3692,2.073,4,2091,118.46986,31.692621
61,43.1925,42.6192,30.2,3225,3472,0.111,340,419,43.06584,32.815098
62,43.2267,41.6943,28.0,2298,3477,2.15,1,2423,142.40341,34.080013
63,43.1825,42.6775,27.5,2730,4056,2.144,329,3225,96.609406,17.249825
64,43.1665,43.1535,31.5,3539,3727,0.084,71,261,68.68203,43.044785
65,43.3029,42.957,28.7,3402,4011,0.742,18,998,98.07468,34.619324
66,42.9524,43.2616,31.1,3507,4008,0.388,355,744,49.88295,32.197212
67,42.9422,43.2837,27.0,3170,3414,0.158,119,522,63.887196,42.54952
68,42.8674,43.4982,26.4,2815,3894,1.752,176,1888,91.7401,23.333141
69,43.2522,41.9666,30.8,3182,3474,0.11,74,483,74.535255,41.99188
70,43.2083,42.1234,15.7,3039,3314,0.46,182,586,53.21835,40.41599
71,43.2104,42.2734,28.9,3203,3368,0.071,206,380,46.24799,42.018036
72,42.7448,44.0393,37.5,3662,3971,0.077,227,410,47.57521,43.924606
73,43.2724,42.9496,24.1,3662,3988,0.17,174,682,56.01659,44.041294
74,43.2263,42.8761,30.5,3441,4152,0.648,284,1383,60.539345,34.132053
