,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,76.72,149.17,3.8,99,163,208,3.92,221,1500,109,93.9456,17.719135,101.16739,99.55485,59.183723,96.01034,96.78485,86.57933,101.14509,98.1673,97.5795,95.45235,99.05871,64.982315,99.51232,88.38432,89.00397,102.16079,107.38744,82.67245,115.285576,107.11472,113.434105,57.617794,84.18636,67.84099,138.37349
1,76.68,148.92,4.9,0,288,385,48.144,185,4900,385,104.37242,18.429651,112.811966,106.61507,68.923195,109.11826,107.53794,97.51699,112.668755,111.858894,109.98893,104.11594,110.5254,74.68082,111.1928,97.1707,95.146385,117.96481,117.28082,91.37,125.52392,115.84687,128.40756,64.12476,96.83284,76.57237,145.51457
2,76.67,148.93,4.5,243,324,371,1.809,153,1900,128,94.92445,16.611874,100.86225,98.15515,62.822815,96.516655,96.24512,88.28999,103.89973,98.558876,98.42192,97.12195,100.98484,67.64446,101.192505,90.39809,88.91603,102.57091,107.52609,82.1006,113.37492,109.36237,114.22436,61.672745,86.46876,69.878265,135.90198
3,76.7,148.85,6.6,63,212,314,3.819,319,3400,251,93.35999,18.71227,101.97786,104.74481,55.27106,96.62509,98.37483,87.262634,98.721535,100.784256,98.87838,94.602615,94.4469,64.70264,97.02238,84.18782,83.95335,104.46253,108.88069,83.3363,117.468506,99.03304,116.05894,53.090782,86.064156,66.78561,137.26285
4,76.65,148.65,9.4,0,242,413,12.966,148,3700,413,94.52678,16.759632,101.1058,99.78979,62.869392,98.26216,95.563835,91.06767,105.23445,100.43741,101.37658,95.81896,96.03587,68.21884,101.7828,85.95258,84.987564,106.55765,105.98578,81.0446,113.81324,102.99381,116.4667,59.4592,87.51525,68.15683,132.67293
5,76.65,148.57,5.4,309,376,392,0.402,284,1100,83,87.64102,17.082926,94.38772,95.95045,52.90278,91.385284,90.79339,80.89688,93.2635,93.43083,91.682,90.51207,90.142136,60.66857,91.4785,81.776726,81.10599,94.7001,102.06259,77.17194,108.51844,97.04423,106.759766,52.262627,78.195755,63.668026,130.26537
6,70.98,178.68,20.7,247,296,341,0.05,293,400,94,74.37442,16.76982,79.95394,90.50804,37.252117,77.14674,73.15404,74.862144,83.907646,87.27895,89.616066,80.15217,67.89595,56.415653,76.69786,63.844597,54.968376,83.744514,84.72526,64.643105,92.70168,64.96579,101.109245,40.136856,73.48771,54.561386,105.630745
7,70.98,178.67,24.3,143,172,207,0.02,275,100,64,71.56507,16.78013,76.461105,88.908394,33.013992,74.97762,69.12249,72.872856,81.29,84.04197,88.03193,77.28046,65.34052,55.849777,74.04725,58.68076,52.139153,82.68795,80.39132,61.905785,88.425255,60.439434,98.88624,37.23847,73.236595,53.141376,100.71595
8,71.0,178.65,30.4,172,221,271,0.03,277,300,99,70.02298,17.00996,73.13792,89.53182,31.831036,75.69266,66.62354,71.75333,78.401306,81.6909,89.972336,76.568306,66.10503,56.3155,74.40715,53.664284,48.230225,81.930145,77.14062,60.064064,86.404976,55.236122,99.43251,34.885662,74.50453,53.489227,93.56138
9,71.0,178.65,29.7,188,221,269,0.02,282,200,81,69.87537,16.95162,73.07174,89.245,31.88296,75.178894,66.617134,71.40897,78.26484,81.49877,89.33966,76.40877,65.756165,56.03416,74.1085,54.00293,48.362934,81.62822,77.27183,59.991207,86.18164,55.25359,99.14335,34.70486,74.236534,53.218513,94.07304
10,71.03,178.7,7.1,249,259,266,0.02,130,100,17,92.31554,16.251148,96.938866,98.656906,60.18675,94.2074,90.034836,87.96712,102.0171,98.05807,97.22687,96.81145,94.66708,67.95957,97.66483,89.25011,83.5016,97.20682,105.78386,76.34766,109.00414,102.684235,112.44888,62.591877,84.5611,67.53686,134.5744
