,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
262,-64.2931,-62.4475,0.011,29.9,66.24069,17.62715
263,-64.2671,-62.4604,0.026,27.5,67.00748,17.60122
264,-64.2656,-62.4593,0.014,20.8,69.30265,17.50756
265,-64.2776,-62.425,0.046,43.6,62.256905,18.294613
266,-64.2759,-62.4686,11.672,22.4,75.08809,18.57026
267,-64.2968,-62.4973,7.695,24.6,72.39984,18.206184
268,-64.3112,-62.5084,0.016,40.0,63.260696,18.10985
269,-64.3191,-62.5292,5.054,27.6,70.07736,18.017775
270,-64.4553,-62.4085,9.316,16.6,75.68946,18.617895
271,-64.3549,-62.5329,0.012,26.9,67.23658,17.616747
272,-64.3378,-62.5162,23.4,14.2,84.14925,22.301188
273,-64.8465,-63.4053,0.03,13.4,72.12742,17.776482
274,-64.8447,-63.3489,16.297,12.5,80.7164,20.501396
275,-64.4726,-62.4648,9.587,14.3,76.49176,18.89053
276,-64.3799,-62.5388,42.593,13.0,100.367874,28.222197
277,-64.4164,-62.6271,19.916,13.6,82.22504,21.28538
278,-64.4797,-62.6483,0.026,40.6,63.188046,18.168028
279,-64.4722,-62.643,3.383,22.6,70.77323,17.959946
280,-64.4819,-62.7396,13.317,8.9,80.09649,20.314367
281,-63.9984,-61.852,5.189,19.1,72.633026,18.133057
282,-63.9945,-61.9056,6.06,13.4,74.718544,18.46848
283,-64.0172,-61.897,6.108,17.2,73.65553,18.244806
284,-64.0143,-61.9521,7.565,12.0,75.92009,18.792398
285,-64.5857,-62.057,3.486,11.5,74.467186,18.304346
286,-64.0738,-61.9977,5.736,12.5,74.88389,18.465565
287,-64.5742,-62.8788,3.087,25.9,69.536674,17.826538
288,-64.8904,-63.4432,9.21,16.0,75.93302,18.661987
289,-64.6307,-63.1678,11.051,20.9,75.33173,18.569324
290,-64.626,-63.1122,0.055,20.8,69.4557,17.537865
291,-64.6234,-63.1121,0.01,20.6,69.49934,17.53349
292,-64.6161,-63.1213,0.749,20.4,69.978065,17.622066
293,-64.6067,-63.112,0.058,5.0,74.92337,18.355083
294,-64.6061,-63.1056,0.012,3.0,75.58336,18.60944
295,-64.6282,-63.0939,5.252,13.8,74.445404,18.377447
296,-64.855,-63.4407,4.273,16.7,73.185455,18.217075
297,-64.7034,-62.7031,4.695,23.9,71.29605,18.14345
