,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
0,49.0019,-121.235,0.073,29.0,9.398708,5.012848
1,49.1617,-121.59,0.262,29.6,9.345681,4.98793
2,49.1627,-121.209,0.307,31.0,8.85111,4.731842
3,49.1657,-121.601,0.184,25.3,11.587236,5.3424726
4,49.1666,-121.611,0.274,28.5,9.838009,5.1682854
5,49.1668,-121.218,0.348,39.8,6.7208924,3.4497252
6,49.1709,-121.628,0.172,30.9,8.794715,4.725668
7,49.1751,-121.66,0.17,23.3,12.951812,5.4812303
8,49.4291,-122.344,0.066,44.1,6.1680083,3.0064538
9,49.431,-122.353,0.075,37.0,7.0605965,3.757166
10,49.4353,-122.352,0.072,32.1,8.354596,4.531951
11,49.4383,-122.357,0.4,17.1,19.283585,5.6427283
12,49.4364,-122.362,0.05,21.6,14.1691065,5.6417236
13,49.4567,-125.761,0.419,15.5,21.352224,5.7487745
14,49.4658,-125.754,0.06,31.2,8.729,4.765052
15,49.4618,-125.748,0.921,18.1,19.298145,5.836607
16,49.4635,-125.764,0.998,21.6,15.931818,5.784763
17,49.4817,-125.646,0.623,24.4,12.976901,5.559493
18,49.4802,-125.657,0.132,21.5,14.489275,5.7383585
19,49.4864,-125.5,0.307,22.0,14.341631,5.7017117
20,49.5074,-122.72,0.163,21.1,14.832235,5.667725
21,49.5199,-125.739,0.071,21.4,14.488949,5.7540164
22,49.5311,-125.388,0.54,20.8,15.8564005,5.7461205
23,49.5316,-125.396,0.311,13.9,23.319555,5.9522676
24,49.5356,-122.109,0.096,30.9,8.7800255,4.7445264
25,49.5392,-122.102,0.104,31.1,8.717905,4.710655
26,49.54,-125.728,0.182,18.8,17.206186,5.7371383
27,49.5397,-125.397,0.747,13.4,25.028162,5.9907026
28,49.5439,-125.74,0.05,20.2,15.57769,5.767582
29,49.546,-125.607,0.066,25.5,11.503806,5.451838
30,49.5467,-125.45,0.151,20.3,15.651587,5.753543
31,49.5469,-125.443,0.144,18.0,17.959045,5.734185
32,49.547,-125.603,0.084,21.8,14.176708,5.7258325
33,49.5453,-125.383,0.232,36.1,7.3850203,4.0048556
34,49.549373627,-125.728973389,0.051,22.0,13.970193,5.7139688
35,49.5507,-125.457,0.154,24.9,12.003362,5.4836564
36,49.5511,-125.372,0.201,33.5,8.07032,4.4108925
37,49.5504,-125.353,0.751,16.1,21.298162,5.7319417
38,49.5457,-125.35,0.328,15.5,21.182085,5.748762
39,49.5524,-125.36,0.22,18.3,17.781425,5.7341843
40,49.5494,-125.363,0.251,9.1,30.490181,6.909111
41,49.5594,-125.368,0.06,24.2,12.365754,5.5285063
42,49.564,-122.074,0.178,23.5,12.913138,5.5030603
43,49.5663,-125.913,0.15,28.0,10.138291,5.331954
44,49.571,-115.423,0.353,20.8,15.2759695,5.4524884
45,49.5781,-125.399,0.139,13.1,24.09519,6.1413713
46,49.5802,-125.407,0.08,15.2,21.079557,5.7862773
47,49.5753,-122.807,0.58,18.2,18.492775,5.6883483
48,49.5768,-122.82,1.033,22.1,15.486161,5.6773844
49,49.572,-122.801,0.151,18.2,17.703978,5.655546
50,49.5858,-122.068,0.176,33.9,7.8810487,4.2569466
51,49.5837,-125.401,0.307,16.6,19.771736,5.7245197
52,49.5881,-125.412,0.059,29.9,9.204314,4.9989104
53,49.5877,-122.085,0.324,28.3,10.068471,5.2263994
54,49.5875,-122.094,0.127,26.8,10.681243,5.30042
55,49.5885,-122.074,0.267,31.6,8.671811,4.664064
56,49.5927,-122.241,0.164,30.4,9.014129,4.8660016
57,49.5889,-122.251,0.32,23.7,12.978473,5.501433
58,49.5917,-125.398,0.174,20.6,15.4120455,5.7583046
59,49.5987,-125.681,0.07,26.5,10.900045,5.4080696
60,49.6012,-125.671,0.064,27.1,10.540905,5.381806
61,49.6097,-122.093,0.133,23.3,13.007288,5.519523
62,49.6078,-122.087,0.187,20.9,15.065176,5.6612477
63,49.6266,-125.969,0.071,20.2,15.63895,5.780207
64,49.6301,-125.97,0.077,19.2,16.639029,5.7530484
65,49.6328,-125.981,0.091,23.8,12.715714,5.5897675
66,49.6374,-125.966,0.09,37.1,7.1065884,3.8567522
67,49.634,-125.97,0.168,27.5,10.445675,5.380488
68,49.6423,-122.208,0.073,22.6,13.449529,5.575514
69,49.6439,-122.237,0.092,24.3,12.258275,5.4396257
70,49.6432,-122.273,0.074,25.1,11.693983,5.3846045
71,49.6442,-122.246,0.075,38.3,6.8468213,3.6050477
72,49.6457,-122.279,0.119,24.7,12.017764,5.411601
73,49.6522,-122.548,0.064,27.6,10.177045,5.265063
74,49.6528,-122.277,0.101,22.7,13.419324,5.5716767
75,49.6541,-122.812,0.666,14.7,22.99544,5.7784247
76,49.655,-122.517,0.059,17.8,17.975767,5.6502137
77,49.6541,-122.833,0.179,10.7,27.835964,6.5440507
78,49.6523,-122.246,0.372,25.4,11.867415,5.39123
79,49.6477,-122.254,0.239,31.5,8.693823,4.6833124
80,49.6581,-122.51,0.11,24.9,11.881371,5.4044385
81,49.6599,-122.524,0.124,9.5,29.580244,6.8344207
82,49.6588,-122.824,0.358,16.6,19.839188,5.661007
83,49.6608,-122.834,0.148,22.8,13.430748,5.581541
84,49.6621,-122.285,0.115,26.8,10.68523,5.307183
85,49.665,-125.751,0.086,38.5,6.862366,3.6738257
86,49.6658,-122.843,0.231,23.4,13.107405,5.5394316
87,49.666877747,-125.74420166,0.051,36.5,7.219516,3.9209256
88,49.6665,-122.561,0.31,25.7,11.603657,5.3811135
89,49.6631,-125.759,0.309,27.0,10.895338,5.4147506
90,49.6699,-122.286,0.07,20.0,15.747302,5.661996
91,49.675,-125.743,0.054,24.5,12.186643,5.5207896
92,49.6749,-122.469,0.141,29.0,9.56351,5.121236
93,49.6645,-122.552,1.387,14.2,25.381445,5.926827
94,49.668,-122.528,0.266,8.8,31.0362,6.953742
95,49.6644,-122.531,0.133,13.5,23.510082,6.010395
96,49.6556,-122.534,0.675,20.2,16.655355,5.6798587
97,49.6699,-122.54,1.653,13.3,27.327297,6.1126184
98,49.6773,-125.415,0.209,29.7,9.408232,5.076317
99,49.6746,-125.749,0.1,33.3,8.079741,4.439348
100,49.6772,-125.752,0.125,27.6,10.341885,5.3651524
101,49.6798,-125.428,0.082,30.0,9.192142,4.9939027
102,49.6808,-125.883,0.112,24.7,12.126956,5.514849
103,49.6802,-122.474,0.145,24.6,12.132893,5.4295816
104,49.6821,-125.752,0.053,23.0,13.246517,5.644336
105,49.6858,-122.829,0.189,21.3,14.736708,5.6785984
106,49.6932,-122.53,0.118,22.1,13.924718,5.6321907
107,49.6905,-122.552,1.778,14.2,26.320698,6.065728
108,49.6864,-122.562,0.054,26.5,10.803868,5.323946
109,49.6828,-122.552,0.13,18.3,17.58332,5.6585703
110,49.6933,-122.539,0.137,12.1,25.59359,6.287614
111,49.6973,-122.537,0.194,10.2,28.66414,6.6478114
112,49.7129,-122.566,0.058,27.1,10.46217,5.296978
113,49.7125,-122.562,0.281,26.2,11.258489,5.3601575
114,49.7157,-121.93,0.312,27.6,10.448328,5.2804303
115,49.7197,-122.56,0.062,16.5,19.403372,5.6366343
116,49.7201,-122.562,0.082,16.3,19.68194,5.6378555
117,49.723,-125.654,0.364,21.8,14.671337,5.737244
118,49.7285,-125.787,0.114,30.8,8.927408,4.868966
119,49.7249,-125.787,0.184,22.9,13.514208,5.660441
120,49.7281,-117.122,0.184,28.1,9.905392,5.0875525
121,49.73,-122.617,0.11,22.5,13.608118,5.6029396
122,49.73166275,-122.613487244,0.083,33.2,8.041128,4.3749094
123,49.718,-121.943,0.363,15.5,21.25253,5.67719
124,49.7181,-121.955,0.645,9.0,31.64531,6.7977686
125,49.724,-121.93,3.788,18.6,25.26662,7.2123904
126,49.7348,-121.955,0.105,17.0,18.9201,5.6331925
127,49.7358,-122.614,0.08,35.4,7.441347,4.017059
128,49.741,-122.839,0.118,20.6,15.277004,5.7009006
129,49.74,-122.609,0.364,24.3,12.644736,5.4846883
130,49.7416,-122.535,0.715,15.0,22.717321,5.7529306
131,49.7425,-122.543,0.087,11.9,25.799448,6.350166
132,49.7462,-122.848,0.064,15.0,21.328684,5.770854
133,49.7432,-122.847,0.193,22.3,13.892527,5.6325216
134,49.7437,-122.855,0.243,23.5,13.068218,5.538245
