,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,81.0237,-68.0302,9.0,348,918,1206,5.123,146,5401,858,72.44529,2.4211566,69.06446,68.38268,73.63711,76.01495,72.052826,76.34755,72.011505,71.69957,69.40205,74.1644,75.11076,75.14962,72.75628,69.48934,74.74543,68.50711,70.14789,74.05466,74.90308,71.18276,69.37825,73.37413,73.60556,71.49572,74.45453
1,81.1403,-68.8844,19.0,759,1028,1241,0.569,8,1810,482,35.31093,1.9797249,32.961502,35.246586,35.709362,39.217472,34.79262,35.816578,34.66666,35.378254,34.07753,34.033066,38.876568,35.428596,35.82421,32.51636,33.68209,31.004517,32.481865,37.590332,38.045254,36.559082,35.269234,35.080677,37.75414,34.223953,36.53674
2,80.9223,-69.1043,7.4,536,889,1024,3.736,11,4792,488,69.45113,2.5142477,64.66402,68.02596,69.447136,69.47804,70.03028,71.896904,66.84264,69.28479,66.33705,69.35973,72.20864,72.42527,69.93379,65.88415,73.63217,64.40038,67.89346,70.87651,73.50466,67.40181,69.86788,71.918045,70.80173,68.690735,71.47237
3,80.8772,-69.2006,13.1,954,1135,1389,2.259,305,2974,435,44.416542,1.9481256,41.667576,39.70948,44.811882,44.678898,46.350662,46.832138,44.589626,45.211544,42.571716,44.713486,46.462334,46.948097,42.76684,43.052757,47.347908,42.092014,44.848816,46.842686,46.81361,44.04663,41.386967,43.86415,44.804333,44.226643,43.77273
4,80.8687,-69.2585,10.1,750,1109,1372,4.057,29,3673,622,58.979164,2.3896766,53.956966,57.869404,59.066883,59.808037,58.608284,61.316463,56.65556,58.95746,56.059742,58.845898,61.769196,61.534935,60.498764,55.349377,62.407032,55.353096,56.018337,60.68253,62.892815,57.1111,59.37343,60.829277,61.20218,58.079712,60.232685
5,80.8591,-69.1875,13.6,814,990,1113,0.419,116,1493,299,35.97496,1.9647057,31.431368,34.222313,34.43989,37.38656,36.53574,36.19227,34.137665,35.93019,35.038185,35.039173,39.137074,37.354576,36.451584,32.905933,38.170338,33.322617,34.686337,38.429012,40.09979,35.93498,35.922443,36.492817,36.773956,35.451412,37.887783
6,80.864,-69.3243,12.0,1060,1243,1406,3.763,55,2437,346,43.60461,2.046811,39.211857,43.039852,43.088657,43.730793,42.858265,44.934124,41.676254,43.164917,41.57612,42.80943,47.013035,45.53834,44.481747,40.40146,47.15171,40.3407,42.24212,45.439983,47.325417,43.15227,43.20732,45.299355,44.661903,43.312656,44.457
7,80.883,-69.3642,17.4,848,1073,1312,1.268,18,1602,464,35.929882,1.944736,32.935764,35.85979,36.217167,39.444668,35.57349,36.518806,34.881413,35.779633,34.715275,34.995663,39.04243,36.343857,36.75746,33.106792,35.561474,31.42569,33.172398,38.125248,38.85647,36.988014,35.875626,35.99415,38.42639,34.851788,36.797604
8,80.875,-69.4072,18.2,879,1087,1266,0.713,313,1309,387,31.853758,1.7993554,31.21566,29.57707,32.010017,31.390114,34.981213,32.57313,29.259096,32.492813,32.24999,32.06289,31.954077,31.787876,29.02645,29.01462,34.473763,30.361822,33.832527,34.97688,35.09643,30.797022,30.756197,31.797997,30.837988,30.365385,33.452934
9,80.8888,-69.4148,19.5,867,1088,1255,0.476,5,1150,388,32.12387,1.9789346,30.572248,32.273575,32.89158,35.749176,31.41795,32.21189,31.698555,31.589502,31.640722,30.064087,35.721542,32.608555,31.929754,29.12467,29.935106,27.524912,30.136532,34.50212,35.31448,33.269264,32.378304,32.41796,34.15689,30.817417,33.149963
10,80.9788,-69.7834,8.3,497,1159,1458,25.559,347,12390,961,105.10236,2.8814118,101.40011,98.67729,108.624855,106.43888,106.188095,108.23575,105.621544,103.13148,101.19765,103.2869,109.63386,108.1185,105.09411,106.29677,108.69511,102.787674,106.3479,108.56684,107.84425,102.81243,100.20283,105.19263,105.627396,104.542145,102.99411
11,80.9836,-69.9346,10.2,909,1122,1225,4.427,319,1721,316,46.690044,2.1376662,43.50827,42.291332,47.338562,46.550564,47.655487,49.951675,46.270996,47.584213,44.41026,46.966602,49.025276,50.570946,44.96828,44.67251,49.858105,44.366985,46.48787,49.191254,48.874283,46.792984,43.470547,45.811527,47.766068,46.331345,46.535164
12,81.129,-68.7934,12.0,616,1065,1410,6.962,357,5098,794,66.40919,2.2444656,63.45801,61.36402,66.63272,66.85682,68.65427,68.84649,66.16934,64.458084,63.227406,66.116035,69.50064,69.57229,66.34946,66.54227,69.808556,64.35925,66.90343,68.62934,67.808846,65.966644,62.399918,66.36526,68.91871,66.053856,65.26793
13,80.9364,-70.0664,7.4,595,1301,1559,85.034,348,14350,964,114.67565,2.9793653,110.80627,107.777084,119.37028,116.127594,116.23272,117.534904,115.59069,113.205124,111.44642,112.135704,118.6623,118.31019,114.782455,116.762825,117.84698,113.55788,115.39029,118.193985,117.335815,111.26719,110.04657,114.430214,113.52846,114.17921,112.37036
14,80.9374,-69.6664,11.9,1172,1365,1417,0.654,154,562,245,33.993454,2.1612132,29.744081,32.655544,31.6306,34.51725,33.06838,35.410152,32.16026,34.817135,33.195793,32.900074,37.24332,35.929077,33.546967,30.495436,37.07335,31.385756,33.16263,36.6924,38.16227,33.22965,33.17401,34.688976,35.06973,32.790688,37.092808
15,80.927,-69.7046,14.2,802,1160,1396,2.497,106,3321,594,43.487083,2.0859342,39.71148,40.9177,43.47105,44.790646,44.03667,44.810646,42.814396,43.73166,40.59378,43.468678,46.98226,45.755085,44.16262,40.228813,45.676094,40.433735,40.626804,45.405235,47.159107,42.858402,42.571224,43.378727,45.434715,43.169716,44.987865
16,80.9184,-69.7859,13.1,907,1326,1379,1.569,141,1797,472,38.595238,2.0972137,34.20238,36.06797,37.428192,40.092777,38.839954,39.459175,37.745438,38.58159,36.863686,38.256054,41.90494,41.096603,38.99966,35.209908,41.44085,35.9903,36.611023,41.084164,42.4222,38.163418,37.51703,38.544815,39.93595,37.86558,40.557293
17,80.9051,-69.8307,10.7,886,1189,1440,5.399,84,4072,554,54.06069,2.2789712,49.604973,52.1366,54.464413,54.716938,53.95292,56.408443,52.82846,53.832798,50.80591,53.671246,57.535316,56.60049,54.421906,50.574757,57.516434,50.588467,51.857437,56.206432,57.925064,52.612762,53.639748,55.68192,54.886654,53.373524,55.673656
18,80.8941,-69.7787,17.9,1008,1115,1257,0.375,75,707,249,27.22366,1.8517994,26.489534,27.037304,26.952976,30.429073,27.710173,26.401962,26.067957,26.749315,28.038986,24.566982,29.959738,27.168837,26.346022,23.69794,26.145273,23.774555,26.391407,30.555052,30.49737,28.20681,26.559355,28.233347,28.572485,25.600927,28.438128
19,81.0123,-70.181,18.7,642,1224,1365,8.205,326,1984,723,40.713737,1.7627776,39.136204,38.42131,41.12175,41.351357,43.458035,41.961277,37.651955,40.746185,40.5358,40.97702,39.9734,41.549232,39.67501,38.224598,44.04441,38.95167,41.902008,44.37684,43.20159,39.229507,39.639576,40.935867,40.59645,38.893322,41.28908
20,80.9847,-70.2948,13.5,404,1163,1367,6.839,312,4472,963,63.56044,2.1324663,61.452168,58.937397,63.71983,65.0864,65.17375,65.71853,62.78959,61.986137,59.851192,63.58176,65.58587,66.88099,64.236984,63.138634,66.91404,61.10188,63.87781,65.459816,64.50464,63.624603,59.433533,64.05468,65.96213,63.07054,62.868084
21,80.97,-70.1924,11.9,1020,1068,1240,1.095,360,1419,220,42.596573,1.9244915,40.583725,38.8863,44.205845,41.78732,43.983326,45.181293,42.05007,44.040825,41.058823,43.53788,44.10483,45.200657,39.90968,40.811275,45.785664,39.60256,42.924976,44.999523,44.79026,42.588867,40.15884,41.399097,42.980103,41.933205,42.409393
22,80.9454,-70.3599,10.0,636,903,1276,6.957,293,3656,640,60.076588,2.2049427,57.251804,54.61945,60.718994,61.62026,61.355114,62.856434,59.96208,58.589714,57.934113,59.80442,63.71491,63.642345,59.68198,59.156147,63.2167,58.027866,59.259594,62.16524,60.526318,59.569393,56.29596,60.385918,61.972054,59.57576,60.01206
23,81.1391,-68.6974,22.3,790,1042,1295,0.781,8,1415,505,30.644194,2.0357206,29.955626,31.516737,31.68868,34.51819,30.083553,29.681936,29.893736,30.162476,30.229273,27.847786,34.759926,31.073692,29.58517,28.048845,27.442795,27.649763,28.554792,33.591663,33.35723,32.02771,30.52396,30.39536,32.22172,28.755959,32.538197
