,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,81.0237,-68.0302,9.0,348,1206,5.123,146,5401,85.99692,10.288423
1,81.1403,-68.8844,19.0,759,1241,0.569,8,1810,125.11315,15.027788
2,80.9223,-69.1043,7.4,536,1024,3.736,11,4792,109.30542,12.4261465
3,80.8772,-69.2006,13.1,954,1389,2.259,305,2974,73.20415,9.5999365
4,80.8687,-69.2585,10.1,750,1372,4.057,29,3673,108.040886,12.186643
5,80.8591,-69.1875,13.6,814,1113,0.419,116,1493,104.237854,12.209503
6,80.864,-69.3243,12.0,1060,1406,3.763,55,2437,100.093216,11.240671
7,80.883,-69.3642,17.4,848,1312,1.268,18,1602,119.59384,14.280946
8,80.875,-69.4072,18.2,879,1266,0.713,313,1309,78.5084,9.889401
9,80.8888,-69.4148,19.5,867,1255,0.476,5,1150,123.91623,15.09675
10,80.9788,-69.7834,8.3,497,1458,25.559,347,12390,62.669952,9.837057
11,80.9836,-69.9346,10.2,909,1225,4.427,319,1721,59.139652,8.171662
12,81.129,-68.7934,12.0,616,1410,6.962,357,5098,56.10236,8.870493
13,80.9364,-70.0664,7.4,595,1559,85.034,348,14350,96.62063,39.782444
14,80.9374,-69.6664,11.9,1172,1417,0.654,154,562,98.80147,11.579669
15,80.927,-69.7046,14.2,802,1396,2.497,106,3321,103.020226,11.387563
16,80.9184,-69.7859,13.1,907,1379,1.569,141,1797,98.80447,11.459313
17,80.9051,-69.8307,10.7,886,1440,5.399,84,4072,91.28018,9.820181
18,80.8941,-69.7787,17.9,1008,1257,0.375,75,707,111.365204,13.328106
19,81.0123,-70.181,18.7,642,1365,8.205,326,1984,50.895042,8.825918
20,80.9847,-70.2948,13.5,404,1367,6.839,312,4472,59.935375,9.488796
21,80.97,-70.1924,11.9,1020,1240,1.095,360,1419,71.14759,9.315522
22,80.9454,-70.3599,10.0,636,1276,6.957,293,3656,53.704456,8.391181
23,81.1391,-68.6974,22.3,790,1295,0.781,8,1415,124.09868,14.939739
24,80.9207,-70.3556,19.6,772,1544,2.215,323,2556,78.52809,10.312518
25,80.9089,-70.3857,14.3,704,1544,4.614,295,3603,70.42541,9.318972
26,80.8792,-70.3778,9.8,547,1449,22.627,331,8577,51.524185,7.6732154
27,80.9007,-70.6023,25.9,763,1390,1.198,13,1465,123.67002,14.738871
28,80.8331,-70.4893,7.9,648,1609,54.007,325,14974,82.74626,23.244928
29,80.8829,-70.7461,24.6,820,1324,0.586,33,1104,121.0572,14.614042
30,80.8413,-70.8233,15.2,717,1410,6.379,309,3285,57.618233,8.646489
31,80.8667,-71.213,5.8,236,1435,77.919,45,21586,103.88701,41.650795
32,80.7746,-70.6803,6.9,582,1763,152.763,318,23227,140.99597,75.07987
33,80.7576,-71.0625,10.7,669,1616,11.86,320,7187,45.708427,6.8736167
34,81.1233,-68.5939,14.4,628,1508,16.765,14,7742,52.970802,7.4490523
35,80.7127,-70.9773,8.5,585,1742,85.949,300,18716,102.49703,41.3324
36,80.7117,-71.4217,13.8,617,1570,6.784,327,5186,61.484703,8.632635
37,80.6781,-71.4405,13.0,513,1636,19.033,320,7889,48.99749,6.7624907
38,80.6648,-71.5964,15.6,600,1502,4.707,330,4476,68.616646,9.637563
39,80.6475,-71.6501,17.7,710,1548,3.901,275,4338,76.38952,9.4637165
40,80.6441,-71.4976,21.9,896,1454,1.246,268,1938,84.48566,10.638804
41,80.6429,-71.366,9.8,668,1552,18.21,221,9703,44.139477,6.3519673
42,80.6185,-71.0924,11.5,651,1566,27.38,269,4506,49.061195,9.271027
43,80.653,-71.0189,8.4,450,1533,29.368,125,13163,66.88483,9.832676
44,80.6571,-70.8151,11.3,611,1670,17.189,248,5736,40.72796,6.3121157
45,81.109,-68.3905,9.3,366,1434,30.458,335,14259,73.56673,13.14028
46,80.6468,-70.681,13.0,905,1620,12.702,164,3033,42.675846,5.1760244
47,80.6425,-70.5131,9.9,161,1820,38.776,200,15943,87.89135,16.746847
48,80.5999,-70.3657,17.5,1015,1498,2.411,325,2249,72.823395,9.547148
