,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,47.4949,13.5987,19.9,2191,2277,2338,0.122,334,461,147,23.842205,1.8626769,24.47482,25.126316,21.782236,21.10197,21.88796,23.12911,23.535658,19.94806,25.352295,24.217026,28.715464,23.067421,23.511906,21.91193,25.632895,26.046139,25.163612,22.97262,24.957348,25.373735,25.59484,23.39494,22.72306,24.498508,21.935234
1,47.4845,13.6135,18.6,2203,2526,2855,2.292,49,1853,652,23.848427,1.0880423,22.547485,21.79136,24.765762,25.399069,24.531836,24.12027,23.26204,24.772102,23.116236,24.852589,22.622374,22.53601,24.049276,22.794613,23.685947,23.62093,25.204252,25.574108,22.914232,23.715918,26.045366,22.804682,24.664095,23.318539,23.501593
2,47.4835,13.596,17.8,2280,2458,2691,0.851,314,1140,411,24.763235,1.2986345,23.958815,25.52104,23.484303,22.828503,25.061527,24.374783,24.534597,22.52852,24.472315,25.794298,26.649061,23.594736,25.851171,23.803488,27.500368,26.030575,25.608408,24.678514,24.724815,23.9011,27.203352,24.256702,25.599924,24.490076,22.629906
3,47.4807,13.5829,32.4,2319,2422,2562,0.053,306,382,243,20.653248,2.4422252,23.293835,22.86142,18.242136,19.793234,20.319906,19.284954,16.01867,16.978945,24.006155,23.97966,26.103855,22.34872,19.527054,17.81119,18.95709,21.692436,19.53353,18.890047,22.821627,22.433016,19.098604,20.895563,17.903234,22.399448,21.136871
4,47.4774,13.6026,25.4,2656,2686,2778,0.057,291,202,122,20.364712,2.1155076,22.097979,21.072496,17.300951,20.996439,18.062067,20.867327,18.501734,17.412771,23.846346,22.460752,24.757107,22.251558,18.834448,17.86848,18.496902,22.693802,19.046902,17.585619,21.768759,22.284039,18.784534,20.275387,18.660095,22.066341,21.124928
5,47.4708,13.6304,14.0,2450,2601,2681,0.908,33,816,231,29.995293,1.5448766,29.490946,28.596573,30.863138,28.85157,28.562794,29.323515,30.443094,30.385445,28.654654,31.20057,29.587421,28.010284,29.130386,28.918217,30.751154,28.538414,33.547897,33.239376,27.240019,29.994442,29.92457,31.972364,30.806917,29.593084,32.255478
6,47.4735,13.6143,22.6,2650,2674,2690,0.014,186,103,40,19.328115,1.8573878,20.25745,20.48814,17.412922,20.061054,16.389515,18.169323,19.190474,17.26078,19.853815,19.990068,23.033537,21.15579,16.640347,18.445955,17.275824,20.759256,20.132154,16.006924,20.907253,21.568481,17.795082,19.097359,19.876348,18.74776,22.687248
7,47.4288,13.0368,23.0,2580,2657,2744,0.169,28,415,164,24.509998,2.1732209,23.30945,25.046934,26.706865,27.046682,22.543718,21.479986,24.427113,22.533844,22.22819,24.447773,26.838976,26.35545,22.697762,25.261324,21.425793,20.723476,27.682741,23.477234,24.80981,26.85729,24.033167,25.14654,25.896852,22.472897,29.300087
8,47.4247,13.0484,12.2,2664,2767,2809,0.327,6,813,145,35.053623,1.7362932,34.628643,33.860146,35.82868,33.008762,33.471798,34.393795,35.392216,35.195774,33.35659,36.681564,34.52315,33.157936,33.934837,33.978065,36.473316,34.364918,38.67257,39.104847,31.722578,34.84023,34.354614,37.38238,35.910915,34.974705,37.127583
9,47.4248,13.0783,10.3,2645,2671,2689,0.036,41,247,44,35.73325,2.058303,35.70027,35.308277,35.09037,31.151777,34.409122,34.437782,36.780117,37.05125,34.663815,37.223392,35.17747,33.077053,35.47731,34.535885,37.49334,36.260864,39.81167,39.514336,31.665815,35.70421,34.189323,38.25493,36.92168,35.511,37.92015
