,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,73.9686,56.8706,12.5,424,803,1019,3.818,117,4291,91.725655,1.8140599
1,75.4779,58.3974,9.8,234,482,798,3.605,57,5579,101.84201,1.6891985
2,75.487,58.3146,15.5,231,636,857,1.714,17,3679,105.66936,1.9545407
3,73.1107,55.0259,12.9,756,870,933,0.581,168,1049,84.93577,2.374274
4,75.5001,58.2102,15.7,351,580,756,2.535,53,2476,95.79843,1.8502678
5,75.5221,58.7392,10.5,365,442,698,1.841,309,3207,86.299484,3.150985
6,75.6629,58.5582,13.9,284,476,637,1.165,326,1731,85.346794,3.6260307
7,75.6708,58.5799,10.9,243,448,625,2.032,270,3711,88.55377,2.7014282
8,75.6894,58.6143,13.2,157,384,614,1.932,354,3563,88.82571,3.5511277
9,75.7897,59.5643,10.5,322,359,459,0.434,94,1048,94.43638,2.105131
10,75.7858,59.5313,10.8,357,415,474,0.824,159,1522,89.95563,2.2037063
11,75.9712,61.0686,20.9,304,731,802,1.133,356,1507,86.11832,3.844156
12,75.9619,61.0382,21.4,483,618,761,0.433,163,1274,90.19869,2.3850813
13,73.9902,57.4136,9.8,165,391,469,2.687,45,3144,98.24736,1.7191236
14,76.0139,61.171,18.2,519,596,709,0.376,340,844,84.01736,3.9311483
15,76.219,66.3941,7.4,245,291,305,1.525,111,1310,93.04547,1.9384865
16,76.2696,64.2964,13.3,376,573,628,1.431,241,1371,85.82908,2.8864174
17,72.9675,54.2581,18.3,466,682,814,0.66,138,1499,90.01932,2.1618745
18,73.0873,54.2435,19.8,544,706,892,0.661,34,1203,96.9953,2.059156
19,76.3203,64.3786,15.0,232,467,681,1.598,322,2346,88.08884,3.5123594
20,76.3458,64.7045,16.4,463,665,732,0.313,349,1160,86.37492,3.9847946
21,76.3428,64.6697,15.5,47,494,613,1.406,358,2959,91.5621,3.7519588
22,76.3456,64.6204,16.9,95,559,806,1.581,5,3117,108.16476,2.1103418
23,76.3921,64.8489,14.5,314,518,592,0.57,324,1249,87.124626,3.7872605
24,73.9638,56.5161,17.2,342,618,874,1.994,37,2811,99.377975,1.9052796
25,76.4123,65.0187,12.2,271,422,568,2.371,2,2454,102.27772,1.9227486
26,76.5313,66.2337,11.6,117,502,651,9.504,276,5491,83.284454,2.4929852
27,75.1067,59.4957,6.8,240,460,564,5.49,152,6833,93.561005,1.7960894
28,74.4584,56.8355,15.8,262,595,1057,6.587,247,6949,87.8613,2.0041668
29,75.9362,60.6878,21.6,141,473,620,6.364,36,2680,90.79514,1.3609109
30,74.6193,56.2643,13.0,220,531,859,4.757,357,4446,84.622894,3.1779172
31,76.6788,66.132,18.2,173,423,535,5.379,299,2551,83.00823,3.1483574
32,75.4014,57.9265,6.7,160,250,358,4.296,266,4504,85.96732,2.6237984
33,74.4386,56.8576,17.9,60,551,888,5.209,151,4580,90.630486,1.8824779
34,74.5414,57.7073,10.1,408,523,673,4.371,41,3275,92.91627,1.546069
35,76.7157,66.4865,16.1,121,403,507,3.644,270,3820,88.98323,2.7529602
36,76.4994,65.7944,15.4,324,506,690,2.662,14,2411,100.43861,1.9039313
37,74.5172,56.5386,9.7,380,469,654,2.82,247,1972,81.572044,2.713007
38,76.3323,64.7329,14.3,66,418,658,2.364,20,3652,105.91925,1.9197707
39,74.9525,56.9011,10.0,274,389,591,1.865,181,2321,88.34922,2.1901822
40,76.2389,63.9717,11.5,223,511,656,3.617,341,4154,87.90342,3.2745786
41,75.5742,58.5805,17.7,233,552,709,1.879,57,2362,98.041954,1.9488755
42,75.5803,58.5568,16.8,303,544,699,1.368,19,1366,99.47907,2.060825
43,76.4981,65.8776,12.4,231,345,483,0.974,55,2023,100.735214,2.0111916
44,74.5908,56.2078,8.7,303,434,573,2.118,349,2547,84.02648,3.660609
45,75.5703,58.4818,13.4,397,618,727,1.074,349,1906,84.95714,3.760935
