,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,67.93,33.83,5.8,235,242,250,0.03,55,180,88.35648,18.738737
1,67.87,33.5,5.7,228,239,246,0.03,352,177,68.37168,16.188623
2,67.82,33.75,18.8,701,726,749,0.02,341,135,66.07234,15.248561
3,67.83,33.77,20.1,671,696,725,0.02,329,125,66.65172,15.410446
4,67.139,16.345,8.5,926,1268,1807,21.469,152,9308,58.944283,12.314808
5,68.083,18.055,7.5,1160,1399,1468,4.886,96,1920,70.35827,14.173907
6,68.104,18.153,10.2,1138,1171,1215,0.137,138,512,75.99744,16.564556
7,68.145,18.166,17.0,1153,1261,1403,0.531,68,890,84.35079,18.164679
8,68.118,18.206,16.4,1219,1394,1480,0.734,123,879,78.52664,16.862337
9,68.122,18.085,14.2,1254,1329,1423,0.303,13,814,89.69415,19.490572
10,68.105,18.099,6.5,1434,1484,1532,0.374,193,832,70.50656,15.510432
11,68.567,18.446,19.7,1018,1120,1179,0.135,121,423,78.82215,17.107336
12,68.545,18.332,11.3,1037,1117,1263,1.048,76,1095,82.03287,17.59079
13,67.775,16.813,22.4,1162,1336,1452,0.563,35,662,87.54374,18.85639
14,67.135,16.471,7.7,1097,1352,1701,11.306,145,5416,59.03815,10.744416
15,67.154,16.444,26.2,1204,1436,1833,0.906,40,1399,90.62499,19.348217
16,67.187,16.697,21.2,1279,1402,1644,0.808,122,1012,78.866234,16.897047
17,67.227,16.893,31.1,1257,1376,1538,0.109,53,496,86.37322,18.655222
18,67.365,17.317,13.3,1252,1433,1636,1.069,301,1893,66.36978,14.477359
19,67.217,16.914,20.9,1329,1455,1487,0.133,41,337,86.0502,18.674608
20,67.41,17.443,11.3,1092,1371,1679,5.591,32,4196,83.3662,16.639725
21,67.362,17.392,25.4,1155,1431,1655,0.44,27,1152,92.449455,19.868462
22,67.262,17.353,24.4,1320,1497,1628,0.286,36,845,88.9185,19.159487
23,67.302,17.444,13.9,1191,1379,1744,2.547,152,2282,75.5834,15.660062
24,67.369,17.33,23.6,1288,1533,1598,0.286,42,736,88.434006,19.033897
25,67.292,17.341,17.3,1312,1538,1719,0.88,75,1391,85.33131,18.208872
26,67.298,17.312,19.2,1285,1477,1642,0.684,57,1166,86.66686,18.530117
27,67.352,16.999,13.3,1220,1316,1426,0.377,122,928,78.92811,17.011139
28,67.357,17.458,21.0,1282,1511,1641,0.425,42,973,88.8561,19.081068
29,67.508,17.315,24.6,1170,1419,1659,0.645,50,1309,89.464806,19.099651
30,67.424,17.421,10.7,1226,1380,1524,1.617,353,1421,60.66722,13.3988085
31,67.393,17.49,14.8,1162,1402,1655,1.811,132,2090,79.338135,16.620949
32,67.313,17.413,15.9,1289,1454,1727,0.693,359,1504,64.08197,14.343485
33,67.392,17.435,17.1,1132,1291,1458,0.742,140,1096,77.822136,16.646078
34,67.297,17.275,15.6,1333,1460,1562,0.437,14,677,89.23654,19.368515
35,67.315,17.43,21.1,1511,1637,1697,0.288,359,615,60.81708,13.950111
36,67.25,17.421,12.9,1388,1567,1894,1.633,135,1672,77.76973,16.49448
