,Farinotti Mean Thickness,Shapiro-Wilk statistic,Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Skew,RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name,region
148347,45.119488,0.9927458763122559,1.3789560930474704e-19,49.981873,5.1222157,-0.014700856464133473,RGI60-06.00001,G336215E64817N,20020928.0,20020928.0,-23.7852,64.8174,6.0,1.0,4.903,630.0,1419.0,922.0,15.0,336.0,3412.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148348,39.97644,0.9775417447090149,1.6737499872740967e-21,44.383263,2.8675873,-0.3711789620796855,RGI60-06.00002,G336231E64795N,20020928.0,20020928.0,-23.7686,64.7951,6.0,1.0,1.897,769.0,1415.0,1152.0,17.7,139.0,1823.0,0.0,0.0,1.0,0.0,0.0,9.0,,06
148349,30.972658,0.9775912761688232,1.1306463577887005e-12,30.697971,3.134868,0.44256295408445273,RGI60-06.00003,G336196E64798N,20020928.0,20020928.0,-23.8043,64.7979,6.0,1.0,0.751,761.0,1417.0,1012.0,22.8,262.0,1244.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148350,15.439375,0.9699151515960693,0.014310515485703945,16.286633,1.0369394,0.047705339682784655,RGI60-06.00004,G336179E64804N,20020928.0,-9999999.0,-23.821,64.8036,6.0,1.0,0.067,786.0,911.0,853.0,17.8,262.0,334.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148351,37.215042,0.9810463786125183,1.9193780137309602e-13,41.319984,3.3750765,-0.15042506196895852,RGI60-06.00005,G336201E64805N,20020928.0,20020928.0,-23.7993,64.8046,6.0,1.0,0.978,900.0,1416.0,1125.0,16.1,310.0,1960.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148352,37.8157,0.980403482913971,2.711733290174101e-13,41.901634,2.688689,-0.24935670513175942,RGI60-06.00006,G336247E64800N,20020928.0,20020928.0,-23.753,64.8003,6.0,1.0,0.912,817.0,1420.0,1087.0,17.3,114.0,2009.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148353,41.73053,0.9708697199821472,8.628227539871794e-29,47.82618,4.5418034,-0.42759850571150243,RGI60-06.00007,G336248E64812N,20020928.0,20020928.0,-23.7522,64.8116,6.0,1.0,2.712,708.0,1409.0,1010.0,15.7,67.0,2423.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148354,53.796143,0.938852846622467,1.3630044973565622e-35,51.94699,9.734134,0.7515363947823733,RGI60-06.00008,G341458E65405N,20009999.0,-9999999.0,-18.542,65.4045,6.0,1.0,2.166,922.0,1210.0,1060.0,13.6,46.0,1995.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148355,24.89097,0.963813066482544,2.4183075247180552e-12,26.992462,1.3519516,-0.33875877830308154,RGI60-06.00009,G341697E65639N,20009999.0,-9999999.0,-18.3031,65.6388,6.0,1.0,0.448,1240.0,1423.0,1336.0,19.2,87.0,902.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148356,28.527555,0.9710454344749451,2.1053690463914054e-17,30.052502,3.6717277,0.43266174196393814,RGI60-06.00010,G341706E65650N,20009999.0,-9999999.0,-18.2939,65.6495,6.0,1.0,1.0,1000.0,1397.0,1123.0,15.2,22.0,1503.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148357,21.071518,0.9470250010490417,5.870249425443674e-11,21.678278,2.783376,0.5015952916235633,RGI60-06.00011,G341690E65656N,20009999.0,-9999999.0,-18.3097,65.6563,6.0,1.0,0.258,1106.0,1274.0,1225.0,25.5,44.0,406.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148358,15.055555,0.9691776037216187,0.045638710260391235,16.135315,1.5903033,-0.08734118427589806,RGI60-06.00012,G341668E65641N,20009999.0,-9999999.0,-18.3319,65.641,6.0,1.0,0.052,1171.0,1307.0,1243.0,20.6,253.0,215.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148359,29.202356,0.9712050557136536,1.3797414969031864e-15,30.66748,3.1639845,0.18651935649613505,RGI60-06.00013,G341678E65644N,20009999.0,-9999999.0,-18.3225,65.6436,6.0,1.0,0.828,1063.0,1424.0,1235.0,16.3,328.0,1293.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148360,34.90241,0.9775859713554382,6.835269654968668e-13,33.491608,3.3203597,0.2511928285581881,RGI60-06.00014,G341029E65668N,20009999.0,-9999999.0,-18.9709,65.6683,6.0,1.0,0.771,948.0,1182.0,1120.0,17.2,342.0,1316.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148361,33.37822,0.9312936067581177,5.591911340064653e-18,32.233658,5.9652658,0.4687197870798142,RGI60-06.00015,G340996E65669N,20009999.0,-9999999.0,-19.0037,65.6694,6.0,1.0,0.469,978.0,1176.0,1137.0,19.3,109.0,1199.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148362,15.937478,0.9765294194221497,0.03275115042924881,16.735085,0.72755486,-0.022771458738372607,RGI60-06.00016,G341686E65664N,20009999.0,-9999999.0,-18.3142,65.6644,6.0,1.0,0.077,1077.0,1189.0,1160.0,23.6,63.0,355.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148363,69.29085,0.9538685083389282,8.379108448461716e-38,75.59617,13.76866,0.32483627971448953,RGI60-06.00017,G341080E65673N,20009999.0,-9999999.0,-18.9196,65.6725,6.0,1.0,3.279,1052.0,1326.0,1091.0,12.0,284.0,2959.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148364,16.783161,0.9815399050712585,0.03592846915125847,17.860752,1.0225824,-0.04848526555243433,RGI60-06.00018,G341317E65680N,20009999.0,-9999999.0,-18.6833,65.6796,6.0,1.0,0.096,1157.0,1331.0,1261.0,37.7,29.0,305.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148365,15.387888,0.9690327644348145,0.0003252276801504195,16.727379,1.130179,0.21564406240221096,RGI60-06.00019,G341287E65685N,20009999.0,-9999999.0,-18.7129,65.6845,6.0,1.0,0.119,1166.0,1278.0,1206.0,27.1,18.0,325.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148366,23.876888,0.9621406197547913,4.321422153452659e-08,26.32424,2.0848753,0.0814437500621325,RGI60-06.00020,G341264E65696N,20009999.0,-9999999.0,-18.7361,65.6958,6.0,1.0,0.229,1065.0,1171.0,1116.0,19.4,333.0,564.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148367,19.96989,0.9543740749359131,2.1056293064702913e-07,22.196556,1.3104897,-0.08360673744754442,RGI60-06.00021,G341250E65697N,20009999.0,-9999999.0,-18.7501,65.6965,6.0,1.0,0.165,1022.0,1141.0,1072.0,18.0,345.0,491.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148368,13.796546,0.980363667011261,6.934684643056244e-05,14.604765,0.757957,-0.08833038670340744,RGI60-06.00022,G341475E65450N,20009999.0,-9999999.0,-18.5253,65.4502,6.0,1.0,0.23,1080.0,1207.0,1134.0,21.8,42.0,413.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148369,13.638526,0.9772218465805054,0.020718147978186607,14.361992,0.5170404,-0.2885164020484231,RGI60-06.00023,G341561E65826N,20009999.0,-9999999.0,-18.4386,65.8259,6.0,1.0,0.086,814.0,1086.0,948.0,21.9,360.0,379.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148370,15.526993,0.9697650671005249,0.0005306799430400133,17.092266,1.1137711,0.03409397567031149,RGI60-06.00024,G341280E65699N,20009999.0,-9999999.0,-18.7197,65.6993,6.0,1.0,0.113,1048.0,1288.0,1152.0,23.1,25.0,486.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148371,61.184307,0.9423936605453491,0.0,70.65701,10.634721,0.18168007675428116,RGI60-06.00025,G341125E65684N,20009999.0,-9999999.0,-18.8748,65.6839,6.0,1.0,6.608,942.0,1378.0,1153.0,14.4,14.0,3133.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148372,62.495407,0.9336347579956055,0.0,74.1161,5.9995823,-0.5308385466340486,RGI60-06.00026,G341189E65689N,20009999.0,-9999999.0,-18.8107,65.6889,6.0,1.0,4.776,767.0,1291.0,1125.0,13.2,325.0,2826.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148373,51.350296,0.9563533663749695,6.165713243029195e-44,53.535286,8.040224,0.4167295637088572,RGI60-06.00027,G341169E65654N,20009999.0,-9999999.0,-18.8311,65.6541,6.0,1.0,5.093,996.0,1380.0,1177.0,13.0,63.0,1788.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148374,26.520752,0.9694849252700806,8.113074136448291e-17,28.502998,2.1077979,-0.2767569076087255,RGI60-06.00028,G341134E65654N,20009999.0,-9999999.0,-18.8658,65.6535,6.0,1.0,0.896,961.0,1322.0,1208.0,16.3,298.0,1014.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148375,34.064266,0.9836724996566772,2.1811710423924602e-11,38.146027,4.235649,0.16818115995994318,RGI60-06.00029,G341228E65643N,20009999.0,-9999999.0,-18.7725,65.6425,6.0,1.0,0.862,1028.0,1277.0,1184.0,11.8,349.0,1267.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148376,17.300228,0.970431923866272,0.026165388524532318,18.776073,0.96890754,-0.043189155498449955,RGI60-06.00030,G341217E65693N,20009999.0,-9999999.0,-18.7833,65.693,6.0,1.0,0.062,1180.0,1281.0,1199.0,16.6,11.0,354.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148377,24.925737,0.9756244421005249,3.053910546668703e-08,28.560287,2.3878644,0.10296494354789211,RGI60-06.00031,G341223E65697N,20009999.0,-9999999.0,-18.7775,65.6972,6.0,1.0,0.364,1032.0,1176.0,1118.0,19.9,48.0,740.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148378,17.407934,0.9705721139907837,0.00010336077684769407,18.756308,1.2523037,-0.05811020903757289,RGI60-06.00032,G341212E65702N,20009999.0,-9999999.0,-18.7876,65.7021,6.0,1.0,0.146,1088.0,1213.0,1144.0,22.3,74.0,425.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148379,26.79433,0.9853333234786987,0.00017087013111449778,28.590714,2.8078926,0.2295583590309527,RGI60-06.00033,G341259E65639N,20009999.0,-9999999.0,-18.7411,65.6385,6.0,1.0,0.277,1062.0,1275.0,1159.0,21.3,150.0,678.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148380,31.70287,0.9484667181968689,2.797205175819606e-11,30.662691,3.506849,0.054563859157984215,RGI60-06.00034,G341230E65638N,20009999.0,-9999999.0,-18.7699,65.6382,6.0,1.0,0.279,1087.0,1280.0,1213.0,25.6,179.0,431.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148381,29.413116,0.9754881262779236,0.00013938546180725098,30.968266,2.774417,-0.04556820573805484,RGI60-06.00035,G341200E65639N,20009999.0,-9999999.0,-18.7999,65.6392,6.0,1.0,0.167,1091.0,1256.0,1235.0,22.8,176.0,269.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148382,38.700882,0.9684607982635498,8.62642944012427e-20,39.105156,4.9441276,0.3457290101102241,RGI60-06.00036,G341082E65706N,20009999.0,-9999999.0,-18.9181,65.7055,6.0,1.0,1.167,939.0,1298.0,1125.0,12.2,42.0,1938.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148383,15.806012,0.9818455576896667,0.010939503088593483,16.020502,0.79868406,0.08298306990240283,RGI60-06.00037,G341001E65715N,20009999.0,-9999999.0,-18.9989,65.7154,6.0,1.0,0.128,1001.0,1199.0,1085.0,24.3,334.0,373.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148384,18.020403,0.9711381196975708,0.0018196945311501622,19.491285,1.823301,0.1639155471061941,RGI60-06.00038,G341300E65716N,20009999.0,-9999999.0,-18.6996,65.7156,6.0,1.0,0.101,1010.0,1082.0,1037.0,12.5,325.0,434.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148385,24.385153,0.9696182608604431,5.376100116772915e-16,23.224773,3.0999992,0.41750320472205027,RGI60-06.00039,G340978E65717N,20009999.0,-9999999.0,-19.022,65.7174,6.0,1.0,0.822,916.0,1214.0,1025.0,17.4,35.0,1181.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148386,15.184895,0.9741556644439697,0.00010127713903784752,15.834443,1.0154366,-0.07915903147163145,RGI60-06.00040,G341010E65720N,20009999.0,-9999999.0,-18.9901,65.7204,6.0,1.0,0.164,1051.0,1215.0,1148.0,24.3,41.0,382.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148387,60.786034,0.9374542832374573,0.0,64.45435,13.488522,0.4638446170593165,RGI60-06.00041,G341036E65712N,20009999.0,-9999999.0,-18.9644,65.7119,6.0,1.0,4.714,872.0,1299.0,1071.0,11.1,6.0,3067.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148388,13.467379,0.9716468453407288,0.0013213567435741425,14.774786,0.6158384,-0.26728225014789564,RGI60-06.00042,G341370E65719N,20009999.0,-9999999.0,-18.6297,65.7191,6.0,1.0,0.11,851.0,1260.0,1069.0,25.1,282.0,371.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148389,48.017605,0.9326287508010864,5.493089980153283e-43,59.507736,4.7869015,-0.454762167360793,RGI60-06.00043,G341343E65712N,20009999.0,-9999999.0,-18.6567,65.7117,6.0,1.0,3.16,672.0,1272.0,1019.0,14.8,17.0,3121.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148390,30.311188,0.966187596321106,1.5120742483461138e-17,33.511574,3.32481,-0.07845989199380977,RGI60-06.00044,G341432E65717N,20009999.0,-9999999.0,-18.568,65.7172,6.0,1.0,0.87,1038.0,1282.0,1175.0,15.9,100.0,1019.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
148391,18.419693,0.9599985480308533,2.9861096209060634e-06,18.769264,1.9377823,0.2710714678860115,RGI60-06.00045,G341394E65717N,20009999.0,-9999999.0,-18.6064,65.7174,6.0,1.0,0.15,1063.0,1198.0,1122.0,14.0,154.0,383.0,0.0,0.0,0.0,0.0,0.0,9.0,,06
