,RGIId,Farinotti Mean Thickness
27835,RGI60-14.02699,
27836,RGI60-14.02700,
27837,RGI60-14.02701,
27838,RGI60-14.02702,
27839,RGI60-14.02703,
27840,RGI60-14.02704,
27841,RGI60-14.02705,
27842,RGI60-14.02706,
27843,RGI60-14.02707,
27844,RGI60-14.02708,
27845,RGI60-14.02709,
27846,RGI60-14.02710,
27847,RGI60-14.02711,
27848,RGI60-14.02712,
27849,RGI60-14.02713,
27850,RGI60-14.02714,
27851,RGI60-14.02715,
27852,RGI60-14.02716,
27853,RGI60-14.02717,
27854,RGI60-14.02718,
27855,RGI60-14.02719,
27856,RGI60-14.02720,
27857,RGI60-14.02721,
27858,RGI60-14.02722,
27859,RGI60-14.02723,
27860,RGI60-14.02724,
27861,RGI60-14.02725,
27862,RGI60-14.02726,
27863,RGI60-14.02727,
27864,RGI60-14.02728,
27865,RGI60-14.02729,
27866,RGI60-14.02730,
27867,RGI60-14.02731,
27868,RGI60-14.02732,
27869,RGI60-14.02733,
27870,RGI60-14.02734,
27871,RGI60-14.02735,
27872,RGI60-14.02736,
27873,RGI60-14.02737,
27874,RGI60-14.02738,
27875,RGI60-14.02739,
27876,RGI60-14.02740,
27877,RGI60-14.02741,
27878,RGI60-14.02742,
27879,RGI60-14.02743,
27880,RGI60-14.02744,
27881,RGI60-14.02745,
27882,RGI60-14.02746,
27883,RGI60-14.02747,
27884,RGI60-14.02748,
27885,RGI60-14.02749,
27886,RGI60-14.02750,
27887,RGI60-14.02751,
27888,RGI60-14.02752,
27889,RGI60-14.02753,
27890,RGI60-14.02754,
27891,RGI60-14.02755,
27892,RGI60-14.02756,
27893,RGI60-14.02757,
27894,RGI60-14.02758,
27895,RGI60-14.02759,
27896,RGI60-14.02760,
27897,RGI60-14.02761,
27898,RGI60-14.02762,
27899,RGI60-14.02763,
27900,RGI60-14.02764,
27901,RGI60-14.02765,
27902,RGI60-14.02766,
27903,RGI60-14.02767,
27904,RGI60-14.02768,
27905,RGI60-14.02769,
27906,RGI60-14.02770,
27907,RGI60-14.02771,
27908,RGI60-14.02772,
27909,RGI60-14.02773,
27910,RGI60-14.02774,
27911,RGI60-14.02775,
27912,RGI60-14.02776,
27913,RGI60-14.02777,
27914,RGI60-14.02778,
27915,RGI60-14.02779,
27916,RGI60-14.02780,
27917,RGI60-14.02781,
27918,RGI60-14.02782,
27919,RGI60-14.02783,
27920,RGI60-14.02784,
27921,RGI60-14.02785,
27922,RGI60-14.02786,
27923,RGI60-14.02787,
27924,RGI60-14.02788,
27925,RGI60-14.02789,
27926,RGI60-14.02790,
27927,RGI60-14.02791,
27928,RGI60-14.02792,
27929,RGI60-14.02793,
27930,RGI60-14.02794,
27931,RGI60-14.02795,
27932,RGI60-14.02796,
27933,RGI60-14.02797,
27934,RGI60-14.02798,
27935,RGI60-14.02799,
27936,RGI60-14.02800,
27937,RGI60-14.02801,
27938,RGI60-14.02802,
27939,RGI60-14.02803,
27940,RGI60-14.02804,
27941,RGI60-14.02805,
27942,RGI60-14.02806,
27943,RGI60-14.02807,
27944,RGI60-14.02808,
27945,RGI60-14.02809,
27946,RGI60-14.02810,
27947,RGI60-14.02811,
27948,RGI60-14.02812,
27949,RGI60-14.02813,
27950,RGI60-14.02814,
27951,RGI60-14.02815,
27952,RGI60-14.02816,
27953,RGI60-14.02817,
27954,RGI60-14.02818,
27955,RGI60-14.02819,
27956,RGI60-14.02820,
27957,RGI60-14.02821,
27958,RGI60-14.02822,
27959,RGI60-14.02823,
27960,RGI60-14.02824,
27961,RGI60-14.02825,
27962,RGI60-14.02826,
27963,RGI60-14.02827,
27964,RGI60-14.02828,
27965,RGI60-14.02829,
27966,RGI60-14.02830,
27967,RGI60-14.02831,
27968,RGI60-14.02832,
27969,RGI60-14.02833,
27970,RGI60-14.02834,
27971,RGI60-14.02835,
27972,RGI60-14.02836,
27973,RGI60-14.02837,
27974,RGI60-14.02838,
27975,RGI60-14.02839,
27976,RGI60-14.02840,
27977,RGI60-14.02841,
27978,RGI60-14.02842,
27979,RGI60-14.02843,
27980,RGI60-14.02844,
27981,RGI60-14.02845,
27982,RGI60-14.02846,
27983,RGI60-14.02847,
27984,RGI60-14.02848,
27985,RGI60-14.02849,
27986,RGI60-14.02850,
27987,RGI60-14.02851,
27988,RGI60-14.02852,
27989,RGI60-14.02853,
27990,RGI60-14.02854,
27991,RGI60-14.02855,
27992,RGI60-14.02856,
27993,RGI60-14.02857,
27994,RGI60-14.02858,
27995,RGI60-14.02859,
27996,RGI60-14.02860,
27997,RGI60-14.02861,
27998,RGI60-14.02862,
27999,RGI60-14.02863,
28000,RGI60-14.02864,
28001,RGI60-14.02865,
28002,RGI60-14.02866,
28003,RGI60-14.02867,
28004,RGI60-14.02868,
28005,RGI60-14.02869,
28006,RGI60-14.02870,
28007,RGI60-14.02871,
28008,RGI60-14.02872,
28009,RGI60-14.02873,
28010,RGI60-14.02874,
28011,RGI60-14.02875,
28012,RGI60-14.02876,
28013,RGI60-14.02877,
28014,RGI60-14.02878,
28015,RGI60-14.02879,
28016,RGI60-14.02880,
28017,RGI60-14.02881,
28018,RGI60-14.02882,
28019,RGI60-14.02883,
28020,RGI60-14.02884,
28021,RGI60-14.02885,
28022,RGI60-14.02886,
28023,RGI60-14.02887,
28024,RGI60-14.02888,
28025,RGI60-14.02889,
28026,RGI60-14.02890,
28027,RGI60-14.02891,
28028,RGI60-14.02892,
28029,RGI60-14.02893,
28030,RGI60-14.02894,
28031,RGI60-14.02895,
28032,RGI60-14.02896,
28033,RGI60-14.02897,
28034,RGI60-14.02898,
28035,RGI60-14.02899,
28036,RGI60-14.02900,
28037,RGI60-14.02901,
28038,RGI60-14.02902,
28039,RGI60-14.02903,
28040,RGI60-14.02904,
28041,RGI60-14.02905,
28042,RGI60-14.02906,
28043,RGI60-14.02907,
28044,RGI60-14.02908,
28045,RGI60-14.02909,
28046,RGI60-14.02910,
28047,RGI60-14.02911,
28048,RGI60-14.02912,
28049,RGI60-14.02913,
28050,RGI60-14.02914,
28051,RGI60-14.02915,
28052,RGI60-14.02916,
28053,RGI60-14.02917,
28054,RGI60-14.02918,
28055,RGI60-14.02919,
28056,RGI60-14.02920,
28057,RGI60-14.02921,
28058,RGI60-14.02922,
28059,RGI60-14.02923,
28060,RGI60-14.02924,
28061,RGI60-14.02925,
28062,RGI60-14.02926,
28063,RGI60-14.02927,
28064,RGI60-14.02928,
28065,RGI60-14.02929,
28066,RGI60-14.02930,
28067,RGI60-14.02931,
28068,RGI60-14.02932,
28069,RGI60-14.02933,
28070,RGI60-14.02934,
28071,RGI60-14.02935,
28072,RGI60-14.02936,
28073,RGI60-14.02937,
28074,RGI60-14.02938,
28075,RGI60-14.02939,
28076,RGI60-14.02940,
28077,RGI60-14.02941,
28078,RGI60-14.02942,
28079,RGI60-14.02943,
28080,RGI60-14.02944,
28081,RGI60-14.02945,
28082,RGI60-14.02946,
28083,RGI60-14.02947,
28084,RGI60-14.02948,
28085,RGI60-14.02949,
28086,RGI60-14.02950,
28087,RGI60-14.02951,
28088,RGI60-14.02952,
28089,RGI60-14.02953,
28090,RGI60-14.02954,
28091,RGI60-14.02955,
28092,RGI60-14.02956,
28093,RGI60-14.02957,
28094,RGI60-14.02958,
28095,RGI60-14.02959,
28096,RGI60-14.02960,
28097,RGI60-14.02961,
28098,RGI60-14.02962,
28099,RGI60-14.02963,
28100,RGI60-14.02964,
28101,RGI60-14.02965,
28102,RGI60-14.02966,
28103,RGI60-14.02967,
28104,RGI60-14.02968,
28105,RGI60-14.02969,
28106,RGI60-14.02970,
28107,RGI60-14.02971,
28108,RGI60-14.02972,
28109,RGI60-14.02973,
28110,RGI60-14.02974,
28111,RGI60-14.02975,
28112,RGI60-14.02976,
28113,RGI60-14.02977,
28114,RGI60-14.02978,
28115,RGI60-14.02979,
28116,RGI60-14.02980,
28117,RGI60-14.02981,
28118,RGI60-14.02982,
28119,RGI60-14.02983,
28120,RGI60-14.02984,
28121,RGI60-14.02985,
28122,RGI60-14.02986,
28123,RGI60-14.02987,
28124,RGI60-14.02988,
28125,RGI60-14.02989,
28126,RGI60-14.02990,
28127,RGI60-14.02991,
28128,RGI60-14.02992,
28129,RGI60-14.02993,
28130,RGI60-14.02994,
28131,RGI60-14.02995,
28132,RGI60-14.02996,
28133,RGI60-14.02997,
28134,RGI60-14.02998,
28135,RGI60-14.02999,
28136,RGI60-14.03000,
28137,RGI60-14.03001,
28138,RGI60-14.03002,
28139,RGI60-14.03003,
28140,RGI60-14.03004,
28141,RGI60-14.03005,
28142,RGI60-14.03006,
28143,RGI60-14.03007,
28144,RGI60-14.03008,
28145,RGI60-14.03009,
28146,RGI60-14.03010,
28147,RGI60-14.03011,
28148,RGI60-14.03012,
28149,RGI60-14.03013,
28150,RGI60-14.03014,
28151,RGI60-14.03015,
28152,RGI60-14.03016,
28153,RGI60-14.03017,
28154,RGI60-14.03018,
28155,RGI60-14.03019,
28156,RGI60-14.03020,
28157,RGI60-14.03021,
28158,RGI60-14.03022,
28159,RGI60-14.03023,
28160,RGI60-14.03024,
28161,RGI60-14.03025,
28162,RGI60-14.03026,
28163,RGI60-14.03027,
28164,RGI60-14.03028,
28165,RGI60-14.03029,
28166,RGI60-14.03030,
28167,RGI60-14.03031,
28168,RGI60-14.03032,
28169,RGI60-14.03033,
28170,RGI60-14.03034,
28171,RGI60-14.03035,
28172,RGI60-14.03036,
28173,RGI60-14.03037,
28174,RGI60-14.03038,
28175,RGI60-14.03039,
28176,RGI60-14.03040,
28177,RGI60-14.03041,
28178,RGI60-14.03042,
28179,RGI60-14.03043,
28180,RGI60-14.03044,
28181,RGI60-14.03045,
28182,RGI60-14.03046,
28183,RGI60-14.03047,
28184,RGI60-14.03048,
28185,RGI60-14.03049,
28186,RGI60-14.03050,
28187,RGI60-14.03051,
28188,RGI60-14.03052,
28189,RGI60-14.03053,
28190,RGI60-14.03054,
28191,RGI60-14.03055,
28192,RGI60-14.03056,
28193,RGI60-14.03057,
28194,RGI60-14.03058,
28195,RGI60-14.03059,
28196,RGI60-14.03060,
28197,RGI60-14.03061,
28198,RGI60-14.03062,
28199,RGI60-14.03063,
28200,RGI60-14.03064,
28201,RGI60-14.03065,
28202,RGI60-14.03066,
28203,RGI60-14.03067,
28204,RGI60-14.03068,
28205,RGI60-14.03069,
28206,RGI60-14.03070,
28207,RGI60-14.03071,
28208,RGI60-14.03072,
28209,RGI60-14.03073,
28210,RGI60-14.03074,
28211,RGI60-14.03075,
28212,RGI60-14.03076,
28213,RGI60-14.03077,
28214,RGI60-14.03078,
28215,RGI60-14.03079,
28216,RGI60-14.03080,
28217,RGI60-14.03081,
28218,RGI60-14.03082,
28219,RGI60-14.03083,
28220,RGI60-14.03084,
28221,RGI60-14.03085,
28222,RGI60-14.03086,
28223,RGI60-14.03087,
28224,RGI60-14.03088,
28225,RGI60-14.03089,
28226,RGI60-14.03090,
28227,RGI60-14.03091,
28228,RGI60-14.03092,
28229,RGI60-14.03093,
28230,RGI60-14.03094,
28231,RGI60-14.03095,
28232,RGI60-14.03096,
28233,RGI60-14.03097,
28234,RGI60-14.03098,
28235,RGI60-14.03099,
28236,RGI60-14.03100,
28237,RGI60-14.03101,
28238,RGI60-14.03102,
28239,RGI60-14.03103,
28240,RGI60-14.03104,
28241,RGI60-14.03105,
28242,RGI60-14.03106,
28243,RGI60-14.03107,
28244,RGI60-14.03108,
28245,RGI60-14.03109,
28246,RGI60-14.03110,
28247,RGI60-14.03111,
28248,RGI60-14.03112,
28249,RGI60-14.03113,
28250,RGI60-14.03114,
28251,RGI60-14.03115,
28252,RGI60-14.03116,
28253,RGI60-14.03117,
28254,RGI60-14.03118,
28255,RGI60-14.03119,
28256,RGI60-14.03120,
28257,RGI60-14.03121,
28258,RGI60-14.03122,
28259,RGI60-14.03123,
28260,RGI60-14.03124,
28261,RGI60-14.03125,
28262,RGI60-14.03126,
28263,RGI60-14.03127,
28264,RGI60-14.03128,
28265,RGI60-14.03129,
28266,RGI60-14.03130,
28267,RGI60-14.03131,
28268,RGI60-14.03132,
28269,RGI60-14.03133,
28270,RGI60-14.03134,
28271,RGI60-14.03135,
28272,RGI60-14.03136,
28273,RGI60-14.03137,
28274,RGI60-14.03138,
28275,RGI60-14.03139,
28276,RGI60-14.03140,
28277,RGI60-14.03141,
28278,RGI60-14.03142,
28279,RGI60-14.03143,
28280,RGI60-14.03144,
28281,RGI60-14.03145,
28282,RGI60-14.03146,
28283,RGI60-14.03147,
28284,RGI60-14.03148,
28285,RGI60-14.03149,
28286,RGI60-14.03150,
28287,RGI60-14.03151,
28288,RGI60-14.03152,
28289,RGI60-14.03153,
28290,RGI60-14.03154,
28291,RGI60-14.03155,
28292,RGI60-14.03156,
28293,RGI60-14.03157,
28294,RGI60-14.03158,
28295,RGI60-14.03159,
28296,RGI60-14.03160,
28297,RGI60-14.03161,
28298,RGI60-14.03162,
28299,RGI60-14.03163,
28300,RGI60-14.03164,
28301,RGI60-14.03165,
28302,RGI60-14.03166,
28303,RGI60-14.03167,
28304,RGI60-14.03168,
28305,RGI60-14.03169,
28306,RGI60-14.03170,
28307,RGI60-14.03171,
28308,RGI60-14.03172,
28309,RGI60-14.03173,
28310,RGI60-14.03174,
28311,RGI60-14.03175,
28312,RGI60-14.03176,
28313,RGI60-14.03177,
28314,RGI60-14.03178,
28315,RGI60-14.03179,
28316,RGI60-14.03180,
28317,RGI60-14.03181,
28318,RGI60-14.03182,
28319,RGI60-14.03183,
28320,RGI60-14.03184,
28321,RGI60-14.03185,
28322,RGI60-14.03186,
28323,RGI60-14.03187,
28324,RGI60-14.03188,
28325,RGI60-14.03189,
28326,RGI60-14.03190,
28327,RGI60-14.03191,
28328,RGI60-14.03192,
28329,RGI60-14.03193,
28330,RGI60-14.03194,
28331,RGI60-14.03195,
28332,RGI60-14.03196,
28333,RGI60-14.03197,
28334,RGI60-14.03198,
28335,RGI60-14.03199,
28336,RGI60-14.03200,
28337,RGI60-14.03201,
28338,RGI60-14.03202,
28339,RGI60-14.03203,
28340,RGI60-14.03204,
28341,RGI60-14.03205,
28342,RGI60-14.03206,
28343,RGI60-14.03207,
28344,RGI60-14.03208,
28345,RGI60-14.03209,
28346,RGI60-14.03210,
28347,RGI60-14.03211,
28348,RGI60-14.03212,
28349,RGI60-14.03213,
28350,RGI60-14.03214,
28351,RGI60-14.03215,
28352,RGI60-14.03216,
28353,RGI60-14.03217,
28354,RGI60-14.03218,
28355,RGI60-14.03219,
28356,RGI60-14.03220,
28357,RGI60-14.03221,
28358,RGI60-14.03222,
28359,RGI60-14.03223,
28360,RGI60-14.03224,
28361,RGI60-14.03225,
28362,RGI60-14.03226,
28363,RGI60-14.03227,
28364,RGI60-14.03228,
28365,RGI60-14.03229,
28366,RGI60-14.03230,
28367,RGI60-14.03231,
28368,RGI60-14.03232,
28369,RGI60-14.03233,
28370,RGI60-14.03234,
28371,RGI60-14.03235,
28372,RGI60-14.03236,
28373,RGI60-14.03237,
28374,RGI60-14.03238,
28375,RGI60-14.03239,
28376,RGI60-14.03240,
28377,RGI60-14.03241,
28378,RGI60-14.03242,
28379,RGI60-14.03243,
28380,RGI60-14.03244,
28381,RGI60-14.03245,
28382,RGI60-14.03246,
28383,RGI60-14.03247,
28384,RGI60-14.03248,
28385,RGI60-14.03249,
28386,RGI60-14.03250,
28387,RGI60-14.03251,
28388,RGI60-14.03252,
28389,RGI60-14.03253,
28390,RGI60-14.03254,
28391,RGI60-14.03255,
28392,RGI60-14.03256,
28393,RGI60-14.03257,
28394,RGI60-14.03258,
28395,RGI60-14.03259,
28396,RGI60-14.03260,
28397,RGI60-14.03261,
28398,RGI60-14.03262,
28399,RGI60-14.03263,
28400,RGI60-14.03264,
28401,RGI60-14.03265,
28402,RGI60-14.03266,
28403,RGI60-14.03267,
28404,RGI60-14.03268,
28405,RGI60-14.03269,
28406,RGI60-14.03270,
28407,RGI60-14.03271,
28408,RGI60-14.03272,
28409,RGI60-14.03273,
28410,RGI60-14.03274,
28411,RGI60-14.03275,
28412,RGI60-14.03276,
28413,RGI60-14.03277,
28414,RGI60-14.03278,
28415,RGI60-14.03279,
28416,RGI60-14.03280,
28417,RGI60-14.03281,
28418,RGI60-14.03282,
28419,RGI60-14.03283,
28420,RGI60-14.03284,
28421,RGI60-14.03285,
28422,RGI60-14.03286,
28423,RGI60-14.03287,
28424,RGI60-14.03288,
28425,RGI60-14.03289,
28426,RGI60-14.03290,
28427,RGI60-14.03291,
28428,RGI60-14.03292,
28429,RGI60-14.03293,
28430,RGI60-14.03294,
28431,RGI60-14.03295,
28432,RGI60-14.03296,
28433,RGI60-14.03297,
28434,RGI60-14.03298,
28435,RGI60-14.03299,
28436,RGI60-14.03300,
28437,RGI60-14.03301,
28438,RGI60-14.03302,
28439,RGI60-14.03303,
28440,RGI60-14.03304,
28441,RGI60-14.03305,
28442,RGI60-14.03306,
28443,RGI60-14.03307,
28444,RGI60-14.03308,
28445,RGI60-14.03309,
28446,RGI60-14.03310,
28447,RGI60-14.03311,
28448,RGI60-14.03312,
28449,RGI60-14.03313,
28450,RGI60-14.03314,
28451,RGI60-14.03315,
28452,RGI60-14.03316,
28453,RGI60-14.03317,
28454,RGI60-14.03318,
28455,RGI60-14.03319,
28456,RGI60-14.03320,
28457,RGI60-14.03321,
28458,RGI60-14.03322,
28459,RGI60-14.03323,
28460,RGI60-14.03324,
28461,RGI60-14.03325,
28462,RGI60-14.03326,
28463,RGI60-14.03327,
28464,RGI60-14.03328,
28465,RGI60-14.03329,
28466,RGI60-14.03330,
28467,RGI60-14.03331,
28468,RGI60-14.03332,
28469,RGI60-14.03333,
28470,RGI60-14.03334,
28471,RGI60-14.03335,
28472,RGI60-14.03336,
28473,RGI60-14.03337,
28474,RGI60-14.03338,
28475,RGI60-14.03339,
28476,RGI60-14.03340,
28477,RGI60-14.03341,
28478,RGI60-14.03342,
28479,RGI60-14.03343,
28480,RGI60-14.03344,
28481,RGI60-14.03345,
28482,RGI60-14.03346,
28483,RGI60-14.03347,
28484,RGI60-14.03348,
28485,RGI60-14.03349,
28486,RGI60-14.03350,
28487,RGI60-14.03351,
28488,RGI60-14.03352,
28489,RGI60-14.03353,
28490,RGI60-14.03354,
28491,RGI60-14.03355,
28492,RGI60-14.03356,
28493,RGI60-14.03357,
28494,RGI60-14.03358,
28495,RGI60-14.03359,
28496,RGI60-14.03360,
28497,RGI60-14.03361,
28498,RGI60-14.03362,
28499,RGI60-14.03363,
28500,RGI60-14.03364,
28501,RGI60-14.03365,
28502,RGI60-14.03366,
28503,RGI60-14.03367,
28504,RGI60-14.03368,
28505,RGI60-14.03369,
28506,RGI60-14.03370,
28507,RGI60-14.03371,
28508,RGI60-14.03372,
28509,RGI60-14.03373,
28510,RGI60-14.03374,
28511,RGI60-14.03375,
28512,RGI60-14.03376,
28513,RGI60-14.03377,
28514,RGI60-14.03378,
28515,RGI60-14.03379,
28516,RGI60-14.03380,
28517,RGI60-14.03381,
28518,RGI60-14.03382,
28519,RGI60-14.03383,
28520,RGI60-14.03384,
28521,RGI60-14.03385,
28522,RGI60-14.03386,
28523,RGI60-14.03387,
28524,RGI60-14.03388,
28525,RGI60-14.03389,
28526,RGI60-14.03390,
28527,RGI60-14.03391,
28528,RGI60-14.03392,
28529,RGI60-14.03393,
28530,RGI60-14.03394,
28531,RGI60-14.03395,
28532,RGI60-14.03396,
28533,RGI60-14.03397,
28534,RGI60-14.03398,
28535,RGI60-14.03399,
28536,RGI60-14.03400,
28537,RGI60-14.03401,
28538,RGI60-14.03402,
28539,RGI60-14.03403,
28540,RGI60-14.03404,
28541,RGI60-14.03405,
28542,RGI60-14.03406,
28543,RGI60-14.03407,
28544,RGI60-14.03408,
28545,RGI60-14.03409,
28546,RGI60-14.03410,
28547,RGI60-14.03411,
28548,RGI60-14.03412,
28549,RGI60-14.03413,
28550,RGI60-14.03414,
28551,RGI60-14.03415,
28552,RGI60-14.03416,
28553,RGI60-14.03417,
28554,RGI60-14.03418,
28555,RGI60-14.03419,
28556,RGI60-14.03420,
28557,RGI60-14.03421,
28558,RGI60-14.03422,
28559,RGI60-14.03423,
28560,RGI60-14.03424,
28561,RGI60-14.03425,
28562,RGI60-14.03426,
28563,RGI60-14.03427,
28564,RGI60-14.03428,
28565,RGI60-14.03429,
28566,RGI60-14.03430,
28567,RGI60-14.03431,
28568,RGI60-14.03432,
28569,RGI60-14.03433,
28570,RGI60-14.03434,
28571,RGI60-14.03435,
28572,RGI60-14.03436,
28573,RGI60-14.03437,
28574,RGI60-14.03438,
28575,RGI60-14.03439,
28576,RGI60-14.03440,
28577,RGI60-14.03441,
28578,RGI60-14.03442,
28579,RGI60-14.03443,
28580,RGI60-14.03444,
28581,RGI60-14.03445,
28582,RGI60-14.03446,
28583,RGI60-14.03447,
28584,RGI60-14.03448,
28585,RGI60-14.03449,
28586,RGI60-14.03450,
28587,RGI60-14.03451,
28588,RGI60-14.03452,
28589,RGI60-14.03453,
28590,RGI60-14.03454,
28591,RGI60-14.03455,
28592,RGI60-14.03456,
28593,RGI60-14.03457,
28594,RGI60-14.03458,
28595,RGI60-14.03459,
28596,RGI60-14.03460,
28597,RGI60-14.03461,
28598,RGI60-14.03462,
28599,RGI60-14.03463,
28600,RGI60-14.03464,
28601,RGI60-14.03465,
28602,RGI60-14.03466,
28603,RGI60-14.03467,
28604,RGI60-14.03468,
28605,RGI60-14.03469,
28606,RGI60-14.03470,
28607,RGI60-14.03471,
28608,RGI60-14.03472,
28609,RGI60-14.03473,
28610,RGI60-14.03474,
28611,RGI60-14.03475,
28612,RGI60-14.03476,
28613,RGI60-14.03477,
28614,RGI60-14.03478,
28615,RGI60-14.03479,
28616,RGI60-14.03480,
28617,RGI60-14.03481,
28618,RGI60-14.03482,
28619,RGI60-14.03483,
28620,RGI60-14.03484,
28621,RGI60-14.03485,
28622,RGI60-14.03486,
28623,RGI60-14.03487,
28624,RGI60-14.03488,
28625,RGI60-14.03489,
28626,RGI60-14.03490,
28627,RGI60-14.03491,
28628,RGI60-14.03492,
28629,RGI60-14.03493,
28630,RGI60-14.03494,
28631,RGI60-14.03495,
28632,RGI60-14.03496,
28633,RGI60-14.03497,
28634,RGI60-14.03498,
28635,RGI60-14.03499,
28636,RGI60-14.03500,
28637,RGI60-14.03501,
28638,RGI60-14.03502,
28639,RGI60-14.03503,
28640,RGI60-14.03504,
28641,RGI60-14.03505,
28642,RGI60-14.03506,
28643,RGI60-14.03507,
28644,RGI60-14.03508,
28645,RGI60-14.03509,
28646,RGI60-14.03510,
28647,RGI60-14.03511,
28648,RGI60-14.03512,
28649,RGI60-14.03513,
28650,RGI60-14.03514,
28651,RGI60-14.03515,
28652,RGI60-14.03516,
28653,RGI60-14.03517,
28654,RGI60-14.03518,
28655,RGI60-14.03519,
28656,RGI60-14.03520,
28657,RGI60-14.03521,
28658,RGI60-14.03522,
28659,RGI60-14.03523,
28660,RGI60-14.03524,
28661,RGI60-14.03525,
28662,RGI60-14.03526,
28663,RGI60-14.03527,
28664,RGI60-14.03528,
28665,RGI60-14.03529,
28666,RGI60-14.03530,
28667,RGI60-14.03531,
28668,RGI60-14.03532,
28669,RGI60-14.03533,
28670,RGI60-14.03534,
28671,RGI60-14.03535,
28672,RGI60-14.03536,
28673,RGI60-14.03537,
28674,RGI60-14.03538,
28675,RGI60-14.03539,
28676,RGI60-14.03540,
28677,RGI60-14.03541,
28678,RGI60-14.03542,
28679,RGI60-14.03543,
28680,RGI60-14.03544,
28681,RGI60-14.03545,
28682,RGI60-14.03546,
28683,RGI60-14.03547,
28684,RGI60-14.03548,
28685,RGI60-14.03549,
28686,RGI60-14.03550,
28687,RGI60-14.03551,
28688,RGI60-14.03552,
28689,RGI60-14.03553,
28690,RGI60-14.03554,
28691,RGI60-14.03555,
28692,RGI60-14.03556,
28693,RGI60-14.03557,
28694,RGI60-14.03558,
28695,RGI60-14.03559,
28696,RGI60-14.03560,
28697,RGI60-14.03561,
28698,RGI60-14.03562,
28699,RGI60-14.03563,
28700,RGI60-14.03564,
28701,RGI60-14.03565,
28702,RGI60-14.03566,
28703,RGI60-14.03567,
28704,RGI60-14.03568,
28705,RGI60-14.03569,
28706,RGI60-14.03570,
28707,RGI60-14.03571,
28708,RGI60-14.03572,
28709,RGI60-14.03573,
28710,RGI60-14.03574,
28711,RGI60-14.03575,
28712,RGI60-14.03576,
28713,RGI60-14.03577,
28714,RGI60-14.03578,
28715,RGI60-14.03579,
28716,RGI60-14.03580,
28717,RGI60-14.03581,
28718,RGI60-14.03582,
28719,RGI60-14.03583,
28720,RGI60-14.03584,
28721,RGI60-14.03585,
28722,RGI60-14.03586,
28723,RGI60-14.03587,
28724,RGI60-14.03588,
28725,RGI60-14.03589,
28726,RGI60-14.03590,
28727,RGI60-14.03591,
28728,RGI60-14.03592,
28729,RGI60-14.03593,
28730,RGI60-14.03594,
28731,RGI60-14.03595,
28732,RGI60-14.03596,
28733,RGI60-14.03597,
28734,RGI60-14.03598,
28735,RGI60-14.03599,
28736,RGI60-14.03600,
28737,RGI60-14.03601,
28738,RGI60-14.03602,
28739,RGI60-14.03603,
28740,RGI60-14.03604,
28741,RGI60-14.03605,
28742,RGI60-14.03606,
28743,RGI60-14.03607,
28744,RGI60-14.03608,
28745,RGI60-14.03609,
28746,RGI60-14.03610,
28747,RGI60-14.03611,
28748,RGI60-14.03612,
28749,RGI60-14.03613,
28750,RGI60-14.03614,
28751,RGI60-14.03615,
28752,RGI60-14.03616,
28753,RGI60-14.03617,
28754,RGI60-14.03618,
28755,RGI60-14.03619,
28756,RGI60-14.03620,
28757,RGI60-14.03621,
28758,RGI60-14.03622,
28759,RGI60-14.03623,
28760,RGI60-14.03624,
28761,RGI60-14.03625,
28762,RGI60-14.03626,
28763,RGI60-14.03627,
28764,RGI60-14.03628,
28765,RGI60-14.03629,
28766,RGI60-14.03630,
28767,RGI60-14.03631,
28768,RGI60-14.03632,
28769,RGI60-14.03633,
28770,RGI60-14.03634,
28771,RGI60-14.03635,
28772,RGI60-14.03636,
28773,RGI60-14.03637,
28774,RGI60-14.03638,
28775,RGI60-14.03639,
28776,RGI60-14.03640,
28777,RGI60-14.03641,
28778,RGI60-14.03642,
28779,RGI60-14.03643,
28780,RGI60-14.03644,
28781,RGI60-14.03645,
28782,RGI60-14.03646,
28783,RGI60-14.03647,
28784,RGI60-14.03648,
28785,RGI60-14.03649,
28786,RGI60-14.03650,
28787,RGI60-14.03651,
28788,RGI60-14.03652,
28789,RGI60-14.03653,
28790,RGI60-14.03654,
28791,RGI60-14.03655,
28792,RGI60-14.03656,
28793,RGI60-14.03657,
28794,RGI60-14.03658,
28795,RGI60-14.03659,
28796,RGI60-14.03660,
28797,RGI60-14.03661,
28798,RGI60-14.03662,
28799,RGI60-14.03663,
28800,RGI60-14.03664,
28801,RGI60-14.03665,
28802,RGI60-14.03666,
28803,RGI60-14.03667,
28804,RGI60-14.03668,
28805,RGI60-14.03669,
28806,RGI60-14.03670,
28807,RGI60-14.03671,
28808,RGI60-14.03672,
28809,RGI60-14.03673,
28810,RGI60-14.03674,
28811,RGI60-14.03675,
28812,RGI60-14.03676,
28813,RGI60-14.03677,
28814,RGI60-14.03678,
28815,RGI60-14.03679,
28816,RGI60-14.03680,
28817,RGI60-14.03681,
28818,RGI60-14.03682,
28819,RGI60-14.03683,
28820,RGI60-14.03684,
28821,RGI60-14.03685,
28822,RGI60-14.03686,
28823,RGI60-14.03687,
28824,RGI60-14.03688,
28825,RGI60-14.03689,
28826,RGI60-14.03690,
28827,RGI60-14.03691,
28828,RGI60-14.03692,
28829,RGI60-14.03693,
28830,RGI60-14.03694,
28831,RGI60-14.03695,
28832,RGI60-14.03696,
