,Farinotti Mean Thickness,Shapiro-Wilk statistic,Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Skew,RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name,region
50203,25.898361,0.9729675054550171,4.042270804107545e-13,25.99551,2.1340299,-0.2735429655728686,RGI60-08.02632,G016928E67988N,20010820.0,-9999999.0,16.928,67.988,8.0,1.0,0.657,1090.0,1343.0,1235.0,18.9,27.0,784.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50204,12.390801,0.9676128625869751,0.004271017853170633,13.271437,0.63452214,-0.44416147447087495,RGI60-08.02633,G016840E68040N,20010820.0,-9999999.0,16.84,68.04,8.0,1.0,0.076,939.0,1050.0,977.0,20.2,14.0,293.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50205,22.24268,0.9508128762245178,8.281273444765702e-09,21.62886,2.0331616,0.7636522543480295,RGI60-08.02634,G016903E67980N,20010820.0,-9999999.0,16.903,67.98,8.0,1.0,0.197,1164.0,1342.0,1265.0,18.0,266.0,334.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50206,60.645588,0.9851495027542114,6.035578395575947e-13,60.64141,8.15638,0.24352598963915872,RGI60-08.02635,G016883E67987N,20010820.0,-9999999.0,16.883,67.987,8.0,1.0,1.162,1140.0,1501.0,1189.0,10.9,32.0,1721.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50207,92.88797,0.9684271216392517,1.2938272799018896e-39,90.969475,15.905726,0.3673472750649172,RGI60-08.02636,G016835E68020N,20010820.0,-9999999.0,16.835,68.02,8.0,1.0,5.35,926.0,1346.0,1147.0,5.9,69.0,3886.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50208,50.20643,0.9783122539520264,3.3503911822663213e-07,51.796547,5.6680655,-0.44625814628110655,RGI60-08.02637,G016828E68032N,20010820.0,-9999999.0,16.828,68.032,8.0,1.0,0.338,1078.0,1210.0,1103.0,8.7,337.0,757.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50209,42.442886,0.982576847076416,5.353085437502628e-17,44.68726,5.081564,0.3457176488725774,RGI60-08.02638,G016793E68021N,20010820.0,-9999999.0,16.793,68.021,8.0,1.0,1.571,1011.0,1369.0,1192.0,13.8,344.0,1805.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50210,116.585266,0.9685418605804443,1.6255062186167878e-43,109.67133,16.721199,0.1673631410370031,RGI60-08.02639,G016825E68005N,20010820.0,-9999999.0,16.825,68.005,8.0,1.0,6.881,1048.0,1515.0,1192.0,7.3,117.0,2791.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50211,151.55879,0.9733930230140686,7.91122666213076e-40,159.51427,14.065678,-0.3334471343015224,RGI60-08.02640,G016873E68003N,20010820.0,-9999999.0,16.873,68.003,8.0,1.0,6.424,820.0,1519.0,1135.0,5.7,54.0,3980.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50212,31.845762,0.9248234033584595,4.775869488700705e-15,36.59368,2.4106522,-0.5318167098043112,RGI60-08.02641,G016868E67981N,20010820.0,-9999999.0,16.868,67.981,8.0,1.0,0.31,1171.0,1488.0,1321.0,21.3,134.0,683.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
