,CenLon,CenLat,Area,thickness,Slope,Zmin,Zmed,Zmax,Aspect,Lmax
120,87.487480164,50.097679138,0.208,44.0,38.8,3105,3490,3668,17,610
121,87.780303955,50.047698975,0.762,86.0,23.9,2792,3314,3496,342,1699
122,88.10118103,49.76593399,2.365,55.0,17.9,3019,3291,3910,16,3199
123,87.483573914,50.141586304,0.098,36.0,39.6,2931,3220,3332,339,390
124,87.868423462,49.741077423,2.933,58.0,16.0,2771,3081,3378,22,3203
125,87.812393188,49.748497009,0.072,44.0,7.1,3004,3025,3058,50,500
126,87.71862793,49.903869629,3.481,53.0,17.2,3037,3368,3810,52,3859
127,87.690246582,50.080078125,5.668,90.0,21.1,2677,3330,3997,88,5621
128,87.56199646,50.079444885,0.029,43.0,37.3,2825,2885,2971,338,190
129,87.830444336,49.771846771,5.18,63.0,14.5,2822,3158,3609,59,4373
130,87.718002319,50.032310486,6.593,68.0,16.0,2796,3142,3703,104,4635
131,87.912254333,49.737232208,5.613,53.0,18.6,2705,3137,3688,35,4966
132,87.553527832,49.83568573,0.147,50.0,26.4,2842,2958,3148,16,609
133,87.615287781,49.836715698,0.392,42.0,22.7,2878,3075,3251,337,1010
134,87.375350952,49.854896545,0.542,48.0,33.0,2716,2935,3192,11,704
135,87.750991821,49.925354004,0.159,44.0,18.5,3472,3549,3592,46,403
136,87.561233521,49.834014893,0.467,50.0,28.6,2634,2867,3408,14,1407
137,87.695518494,49.891189575,0.896,45.0,25.0,3089,3325,3896,93,1910
138,87.624099731,49.846458435,0.814,56.0,22.5,2940,3121,3476,343,1370
139,87.592224121,49.812568665,0.638,53.0,17.0,2938,3096,3273,153,1352
140,87.503120422,50.042724609,0.736,69.0,19.3,2847,3019,3160,126,1546
141,87.696647644,49.779018402,0.127,62.0,23.1,2875,2953,3048,307,593
142,87.612625122,49.811115265,1.238,47.0,14.4,2915,3081,3405,149,1862
143,87.469734192,50.035167694,1.193,77.0,13.8,2829,2976,3278,130,1928
144,87.655677795,49.844608307,0.358,49.0,22.8,3166,3309,3578,84,787
145,87.523498535,49.819374084,1.267,64.0,19.0,2792,3014,3315,39,2237
146,87.490966797,49.834091187,1.799,63.0,16.4,2805,2980,3314,26,1514
147,87.343681335,49.863754272,0.117,51.0,36.7,2897,3140,3278,332,446
148,87.573745728,49.818733215,1.731,55.0,15.2,2885,3063,3382,153,1495
149,87.532264709,50.064025879,2.216,74.0,15.7,2850,3226,3834,199,3030
150,87.506484985,49.82598877,1.704,57.0,20.0,2766,3015,3322,21,2189
151,87.552658081,49.809661865,0.086,61.0,18.9,2992,3063,3130,171,301
152,87.507865906,50.055580139,1.102,69.0,16.3,2833,3127,3359,110,2125
153,87.59413147,49.825649261,4.094,60.0,22.4,2643,2987,3853,326,2892
154,90.845092773,48.662528992,2.385,68.0,18.1,3056,3771,4126,344,3594
155,10.982920789,47.415938932,0.351,17.0,7.5,2492,2583,2835,150,1060
156,10.973305067,47.400649446,0.029,5.0,18.7,2583,2625,2651,43,190
157,10.99304939,47.423950848,0.223,12.0,29.7,2253,2399,2678,49,780
158,12.866014911,47.574639999,0.028,4.0,25.9,1974,2095,2215,36,370
159,12.9292,47.5551,0.058,6.0,15.3,1997,2031,2151,52,400
160,16.1702,78.2521,3.905,59.0,12.6,289,580,932,72,4579
161,7.87484,45.9221,0.038,100.0,28.8,4180,4289,4333,88,230
162,-73.1078,-47.2171,0.308,307.0,26.8,1401,1522,1682,171,659
163,9.38896,46.9603,0.082,17.0,23.7,2589,2687,2778,56,285
164,11.7307,46.9641,1.689,28.0,18.1,2497,2995,3318,238,3185
165,10.6078,46.477,0.09,46.0,18.3,3068,3149,3194,143,424
166,12.0965,46.9069,1.801,40.0,17.9,2617,2980,3197,24,1804
167,11.1832,46.9514,6.331,68.0,13.9,2548,3000,3429,96,4492
168,10.6806,46.4565,1.367,18.0,17.0,2709,3056,3283,341,1763
169,11.2407,46.9723,0.083,11.0,30.5,2924,3092,3181,309,441
170,10.8951,46.7653,0.839,19.0,13.7,3064,3353,3485,195,1099
171,11.2286,46.974,0.525,12.0,19.8,2438,2610,2748,334,1189
172,10.6618,46.537,4.364,18.0,15.0,2592,3157,3391,26,3408
173,10.7242,46.7859,2.383,9.0,21.2,2742,3232,3576,238,2474
174,10.7002,46.4643,0.94,15.0,19.0,2880,3101,3281,327,1293
175,10.5695,46.4932,4.057,15.0,22.8,2276,2795,3680,79,4395
176,11.1271,47.0445,3.179,51.0,15.8,2560,3051,3283,17,3411
177,11.0745,47.0723,1.721,41.0,13.9,2653,2867,3093,4,2250
178,11.1243,47.0284,0.19,42.0,28.3,2901,3019,3174,85,530
179,11.1117,47.0276,0.592,73.0,22.4,2746,3038,3195,303,1196
180,9.69511,47.0592,1.173,19.0,14.3,2480,2623,2761,45,1643
181,10.8648,46.9209,1.369,27.0,16.9,2870,3082,3376,56,1925
182,11.1052,46.9877,2.131,42.0,18.2,2686,2975,3246,40,2358
183,11.1339,46.9782,1.356,37.0,15.2,2627,2886,3183,352,2054
184,11.0698,46.8264,1.026,34.0,21.8,2508,3028,3338,330,2545
185,11.1036,46.9762,0.243,39.0,18.9,2871,3044,3129,273,834
186,11.6636,47.0654,3.69,34.0,17.7,2597,2973,3266,0,2746
187,10.757,46.8489,16.624,94.0,11.3,2140,3093,3488,7,8242
188,11.0277,47.1102,0.406,20.0,26.6,2664,2935,3156,0,889
189,10.4793,47.1715,0.029,11.0,32.7,2756,2792,2833,103,146
