,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
46,50,76.0,79.28374541,44.885745395,2.652,3120.0,3309.0,3555.0,14.3,21.0,2268.0
47,51,49.0,79.31613139,44.878485551,0.056,3291.0,3325.0,3375.0,18.3,107.0,226.0
48,52,49.0,79.314866485,44.917077444,0.617,3202.0,3348.0,3570.0,15.9,345.0,1631.0
49,53,52.0,79.452026367,44.857719421,1.897,3122.0,3322.0,3719.0,18.7,74.0,2188.0
50,54,43.0,79.461028509,44.839293211,0.992,3112.0,3258.0,3480.0,16.7,26.0,1412.0
51,56,52.0,79.485387473,44.890763961,1.327,3299.0,3451.0,3680.0,14.5,33.0,1845.0
52,57,47.0,79.526038227,44.967605973,1.314,3323.0,3527.0,3897.0,15.9,24.0,2220.0
53,58,45.0,79.546013352,44.955184035,1.183,3334.0,3541.0,3856.0,18.7,24.0,2174.0
54,59,49.0,79.562391117,44.953153034,0.649,3342.0,3476.0,3812.0,18.0,1.0,1409.0
55,60,54.0,79.669416738,44.92567769,0.06,3479.0,3537.0,3642.0,27.1,48.0,293.0
56,61,67.0,79.633519607,44.945750706,1.632,3296.0,3498.0,3931.0,16.1,360.0,2247.0
57,62,37.0,79.663438612,44.962358461,0.88,3394.0,3515.0,3699.0,14.5,9.0,1258.0
58,63,39.0,79.681942852,44.965957519,0.685,3438.0,3634.0,3819.0,20.7,355.0,1494.0
59,64,32.0,79.757316181,44.995109976,0.808,3324.0,3463.0,3955.0,18.3,15.0,1762.0
60,65,44.0,79.821880477,44.996490367,1.434,3300.0,3505.0,3915.0,17.4,328.0,2215.0
61,66,54.0,79.835355212,45.00801858,1.448,3410.0,3582.0,3773.0,13.1,2.0,2107.0
62,67,40.0,79.475802567,44.583903279,1.595,3258.0,3497.0,3751.0,19.1,20.0,2160.0
63,68,37.0,79.497947713,44.586206486,0.689,3318.0,3515.0,3785.0,19.3,7.0,1603.0
64,69,58.0,79.551238561,44.686839947,1.652,3316.0,3508.0,3754.0,18.4,308.0,1957.0
65,70,51.0,79.59571807,44.70147069,0.903,3387.0,3567.0,3821.0,16.7,82.0,1972.0
66,72,59.0,79.72039032,44.704994202,0.738,3366.0,3581.0,3915.0,24.3,53.0,1700.0
67,73,50.0,79.725637008,44.684881459,1.528,3366.0,3568.0,3930.0,13.9,33.0,2169.0
68,74,47.0,79.739190334,44.681071036,0.635,3287.0,3458.0,3578.0,13.8,21.0,1520.0
69,75,36.0,79.733762272,44.665076438,1.169,3483.0,3670.0,3906.0,14.2,276.0,2117.0
70,76,47.0,79.967235201,44.741688596,1.803,3422.0,3630.0,3937.0,16.1,70.0,2142.0
71,77,29.0,79.938517188,44.776076207,2.676,3325.0,3564.0,3963.0,15.2,354.0,2810.0
72,78,31.0,79.825875998,44.776952097,1.351,3271.0,3466.0,3806.0,21.3,11.0,1622.0
73,79,54.0,80.291483162,44.579584996,0.829,3650.0,3790.0,4036.0,12.9,170.0,1875.0
74,80,49.0,80.276369211,44.577417441,2.346,3543.0,3783.0,4173.0,14.0,149.0,2706.0
75,81,25.0,80.240828891,44.584959252,2.626,3228.0,3495.0,3733.0,10.6,359.0,2883.0
76,82,48.0,80.140167063,44.614966703,1.316,3316.0,3721.0,4068.0,23.6,99.0,2207.0
77,83,47.0,80.173226455,44.572747187,1.361,3447.0,3719.0,3997.0,16.6,203.0,2396.0
78,84,45.0,80.188778614,44.57742406,1.702,3495.0,3705.0,4049.0,18.5,148.0,2031.0
79,85,40.0,80.120327356,44.566471115,0.338,3536.0,3680.0,3802.0,17.7,204.0,1048.0
80,86,49.0,80.119691135,44.59183758,1.225,3276.0,3637.0,3859.0,20.3,356.0,1865.0
81,87,42.0,80.126955291,44.626843317,1.001,3234.0,3651.0,4061.0,25.9,347.0,2139.0
82,88,27.0,80.107788202,44.594678897,0.406,3290.0,3523.0,3741.0,21.4,356.0,1434.0
83,89,59.0,80.092400619,44.590538108,0.989,3291.0,3595.0,3887.0,23.6,338.0,1667.0
84,90,36.0,80.228503062,45.082519212,2.341,3169.0,3663.0,4397.0,22.5,347.0,3439.0
85,91,48.0,80.238317299,45.095799218,0.663,3379.0,3637.0,4004.0,22.0,341.0,1793.0
86,92,33.0,9.69511,47.0592,1.173,2480.0,2623.0,2761.0,14.3,45.0,1643.0
87,93,35.0,7.87051,45.9936,14.312,2514.0,3292.0,3761.0,12.8,311.0,7763.0
88,94,29.0,11.6636,47.0654,3.69,2597.0,2973.0,3266.0,17.7,0.0,2746.0
89,95,30.0,10.757,46.8489,16.624,2140.0,3093.0,3488.0,11.3,7.0,8242.0
90,96,62.0,13.6026,47.4774,0.057,2656.0,2686.0,2778.0,25.4,291.0,202.0
91,97,61.0,10.9827,46.7845,8.938,2467.0,3000.0,3357.0,11.1,344.0,6175.0
92,98,20.0,10.7998,46.8465,0.063,3123.0,3232.0,3297.0,24.5,122.0,387.0
93,99,78.0,13.6135,47.4845,2.292,2203.0,2526.0,2855.0,18.6,49.0,1853.0
94,100,20.0,10.7584,46.8003,8.036,2430.0,3051.0,3674.0,16.2,71.0,7178.0
95,101,71.0,10.7907,46.8424,3.965,2773.0,3185.0,3460.0,11.6,123.0,4202.0
96,102,29.0,12.6967,47.0991,17.774,2086.0,2984.0,3487.0,15.9,112.0,8667.0
97,103,36.0,13.6304,47.4708,0.908,2450.0,2601.0,2681.0,14.0,33.0,816.0
98,104,49.0,12.6823,47.1953,0.912,2494.0,2771.0,2929.0,17.7,27.0,1230.0
99,105,33.0,11.0795,46.9982,3.645,2484.0,2949.0,3243.0,16.3,351.0,3082.0
100,106,50.0,10.818,46.8762,8.559,2810.0,3142.0,3559.0,14.7,165.0,3087.0
101,108,67.0,14.0691,77.9714,6.737,195.0,336.0,521.0,10.1,56.0,3780.0
102,109,63.0,14.9968,77.4722,27.098,160.0,490.0,889.0,9.1,358.0,12765.0
103,110,9.0,16.258,78.6982,3.82,259.0,509.0,742.0,11.1,145.0,4760.0
104,111,32.0,15.6267,78.1281,3.463,332.0,583.0,970.0,12.8,351.0,4254.0
105,112,48.0,11.8309,78.8876,9.811,98.0,292.0,698.0,12.5,349.0,5888.0
106,113,61.0,11.6951,78.9078,4.637,55.0,284.0,619.0,13.2,31.0,4272.0
107,114,79.0,13.9535,78.0409,1.137,194.0,319.0,423.0,15.1,35.0,1964.0
