,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
171,312,235.0,87.912254333,49.737232208,5.613,2705.0,3137.0,3688.0,18.6,35.0,4966.0
172,314,36.0,87.561233521,49.834014893,0.467,2634.0,2867.0,3408.0,28.6,14.0,1407.0
173,315,72.0,87.615287781,49.836715698,0.392,2878.0,3075.0,3251.0,22.7,337.0,1010.0
174,316,420.0,87.375350952,49.854896545,0.542,2716.0,2935.0,3192.0,33.0,11.0,704.0
175,317,29.0,87.761383057,49.932563782,0.682,3052.0,3279.0,3500.0,15.8,14.0,1538.0
176,318,267.0,87.570899963,49.829650879,0.571,2708.0,2940.0,3393.0,25.5,20.0,1278.0
177,319,270.0,87.695518494,49.891189575,0.896,3089.0,3325.0,3896.0,25.0,93.0,1910.0
178,320,526.0,87.624099731,49.846458435,0.814,2940.0,3121.0,3476.0,22.5,343.0,1370.0
179,321,541.0,87.592224121,49.812568665,0.638,2938.0,3096.0,3273.0,17.0,153.0,1352.0
180,322,48.0,87.503120422,50.042724609,0.736,2847.0,3019.0,3160.0,19.3,126.0,1546.0
181,323,42.0,87.708122253,49.779998779,1.732,2875.0,3030.0,3414.0,12.9,206.0,2229.0
182,324,215.0,87.612625122,49.811115265,1.238,2915.0,3081.0,3405.0,14.4,149.0,1862.0
183,325,13.0,87.469734192,50.035167694,1.193,2829.0,2976.0,3278.0,13.8,130.0,1928.0
184,326,40.0,87.655677795,49.844608307,0.358,3166.0,3309.0,3578.0,22.8,84.0,787.0
185,327,265.0,87.523498535,49.819374084,1.267,2792.0,3014.0,3315.0,19.0,39.0,2237.0
186,328,225.0,87.490966797,49.834091187,1.799,2805.0,2980.0,3314.0,16.4,26.0,1514.0
187,329,39.0,87.354537964,49.859680176,1.389,2836.0,3056.0,3310.0,15.7,21.0,1818.0
188,330,36.0,87.573745728,49.818733215,1.731,2885.0,3063.0,3382.0,15.2,153.0,1495.0
189,331,47.0,87.532264709,50.064025879,2.216,2850.0,3226.0,3834.0,15.7,199.0,3030.0
190,332,81.0,87.506484985,49.82598877,1.704,2766.0,3015.0,3322.0,20.0,21.0,2189.0
191,333,82.0,87.554397583,49.817615509,1.797,2661.0,3079.0,3387.0,17.2,336.0,2701.0
192,334,14.0,87.507865906,50.055580139,1.102,2833.0,3127.0,3359.0,16.3,110.0,2125.0
193,335,8.0,87.59413147,49.825649261,4.094,2643.0,2987.0,3853.0,22.4,326.0,2892.0
194,364,21.0,90.845092773,48.662528992,2.385,3056.0,3771.0,4126.0,18.1,344.0,3594.0
195,384,23.0,10.982920789,47.415938932,0.351,2492.0,2583.0,2835.0,7.5,150.0,1060.0
196,385,34.0,10.973305067,47.400649446,0.029,2583.0,2625.0,2651.0,18.7,43.0,190.0
197,386,28.0,10.99304939,47.423950848,0.223,2253.0,2399.0,2678.0,29.7,49.0,780.0
198,387,10.0,12.866638189,47.571169259,0.047,2259.0,2352.0,2446.0,48.6,19.0,100.0
199,388,47.0,12.9292,47.5551,0.058,1997.0,2031.0,2151.0,15.3,52.0,400.0
200,396,20.0,16.1702,78.2521,3.905,289.0,580.0,932.0,12.6,72.0,4579.0
201,400,48.0,7.87484,45.9221,0.038,4180.0,4289.0,4333.0,28.8,88.0,230.0
202,404,47.0,-73.1078,-47.2171,0.308,1401.0,1522.0,1682.0,26.8,171.0,659.0
203,442,270.0,7.40374,45.958,7.235,2568.0,3345.0,3767.0,18.0,201.0,6398.0
204,443,97.0,7.45732,45.9566,11.614,2477.0,3022.0,3748.0,13.7,248.0,8845.0
205,444,89.0,7.32284,45.9244,6.904,2369.0,3057.0,4190.0,19.4,73.0,5756.0
206,445,238.0,11.7307,46.9641,1.689,2497.0,2995.0,3318.0,18.1,238.0,3185.0
207,446,30.0,10.6115,46.4674,2.163,2692.0,3139.0,3388.0,16.3,32.0,2761.0
208,447,115.0,12.0965,46.9069,1.801,2617.0,2980.0,3197.0,17.9,24.0,1804.0
209,448,391.0,11.1832,46.9514,6.331,2548.0,3000.0,3429.0,13.9,96.0,4492.0
210,450,115.0,10.6806,46.4565,1.367,2709.0,3056.0,3283.0,17.0,341.0,1763.0
211,451,205.0,11.2537,46.9675,1.255,2610.0,2885.0,3145.0,18.3,87.0,1969.0
212,452,300.0,10.8951,46.7653,0.839,3064.0,3353.0,3485.0,13.7,195.0,1099.0
213,453,20.0,11.2247,46.9656,0.841,2650.0,2783.0,2980.0,15.8,175.0,1396.0
214,454,26.0,10.6618,46.537,4.364,2592.0,3157.0,3391.0,15.0,26.0,3408.0
215,456,32.0,10.7242,46.7859,2.383,2742.0,3232.0,3576.0,21.2,238.0,2474.0
216,457,100.0,10.7002,46.4643,0.94,2880.0,3101.0,3281.0,19.0,327.0,1293.0
217,458,15.0,10.5545,46.4904,0.012,3547.0,3586.0,3623.0,30.5,121.0,125.0
